"GIRPctFairwayBunker_RANKTHISWEEK_2006","GIRPctFairwayBunker_RANKLASTWEEK_2006","GIRPctFairwayBunker_PLAYERNAME_2006","GIRPctFairwayBunker_ROUNDS_2006","GIRPctFairwayBunker_Pct_2006","GIRPctFairwayBunker_GREENSHIT_2006","GIRPctFairwayBunker_HOLES_2006","GIRPctFairwayBunker_RELATIVEPAR_2006","stat_name","year"
1,1,"Tiger Woods",55,78.6,11,14,-2,"GIRPctFairwayBunker",2006
2,2,"Sergio Garcia",59,62.2,23,37,-5,"GIRPctFairwayBunker",2006
2,2,"Thomas Levet",53,62.2,28,45,-6,"GIRPctFairwayBunker",2006
4,4,"Robert Garrigus",85,62,31,50,-2,"GIRPctFairwayBunker",2006
5,5,"Steve Stricker",64,61.9,26,42,-7,"GIRPctFairwayBunker",2006
6,6,"Stephen Leaney",84,61.1,33,54,-10,"GIRPctFairwayBunker",2006
7,7,"Hunter Mahan",98,60.3,38,63,-3,"GIRPctFairwayBunker",2006
8,8,"Vaughn Taylor",88,60,39,65,-11,"GIRPctFairwayBunker",2006
9,9,"Jonathan Byrd",66,58.5,24,41,-6,"GIRPctFairwayBunker",2006
10,10,"DA Points",82,58.3,35,60,-5,"GIRPctFairwayBunker",2006
11,11,"Rory Sabbatini",84,58.2,32,55,-10,"GIRPctFairwayBunker",2006
11,11,"John Senden",96,58.2,39,67,-4,"GIRPctFairwayBunker",2006
13,13,"Chris DiMarco",83,57.7,30,52,-7,"GIRPctFairwayBunker",2006
13,13,"Jeff Gove",91,57.7,30,52,-7,"GIRPctFairwayBunker",2006
15,15,"David Branshaw",98,57.6,38,66,-2,"GIRPctFairwayBunker",2006
15,15,"Jim Furyk",89,57.6,19,33,-6,"GIRPctFairwayBunker",2006
17,17,"JB Holmes",81,57.4,27,47,-10,"GIRPctFairwayBunker",2006
18,18,"Justin Leonard",83,56.9,33,58,-13,"GIRPctFairwayBunker",2006
19,19,"John Cook",67,56.8,21,37,-3,"GIRPctFairwayBunker",2006
19,19,"Kirk Triplett",58,56.8,21,37,-4,"GIRPctFairwayBunker",2006
21,21,"Scott Gutschewski",53,56.4,22,39,-4,"GIRPctFairwayBunker",2006
22,22,"Stewart Cink",93,56.1,32,57,-6,"GIRPctFairwayBunker",2006
22,22,"Joe Durant",101,56.1,23,41,-4,"GIRPctFairwayBunker",2006
24,24,"Jeff Brehaut",100,56,42,75,-8,"GIRPctFairwayBunker",2006
24,24,"Roger Tambellini",64,56,28,50,-6,"GIRPctFairwayBunker",2006
26,26,"Freddie Jacobson",56,55.8,29,52,-4,"GIRPctFairwayBunker",2006
