"PuttingAverage_RANKTHISWEEK_2011","PuttingAverage_RANKLASTWEEK_2011","PuttingAverage_PLAYERNAME_2011","PuttingAverage_ROUNDS_2011","PuttingAverage_AVG_2011","PuttingAverage_GIRPUTTS_2011","PuttingAverage_GREENSHIT_2011","PuttingAverage_BIRDIECONVERSION_2011","PuttingAverage_GIRRANK_2011","stat_name","year"
1,1,"Luke Donald",73,1.7,1380,812,34.11,41,"PuttingAverage",2011
2,2,"Steve Stricker",70,1.71,1402,820,35.33,78,"PuttingAverage",2011
3,3,"Rickie Fowler",84,1.723,1620,940,33.69,120,"PuttingAverage",2011
4,4,"Kevin Na",84,1.724,1591,923,33.12,180,"PuttingAverage",2011
5,5,"Andres Romero",77,1.727,1478,856,34.47,146,"PuttingAverage",2011
5,5,"Brandt Snedeker",85,1.727,1715,993,32.52,113,"PuttingAverage",2011
7,7,"Bryce Molder",82,1.73,1619,936,31.84,108,"PuttingAverage",2011
8,8,"Webb Simpson",98,1.731,2133,1232,33.28,8,"PuttingAverage",2011
9,9,"Greg Chalmers",88,1.732,1642,948,29.26,179,"PuttingAverage",2011
10,10,"Matt Kuchar",94,1.735,1841,1061,31.86,50,"PuttingAverage",2011
11,11,"Jason Day",76,1.737,1482,853,33.8,110,"PuttingAverage",2011
12,12,"Nick Watney",80,1.738,1611,927,33.26,54,"PuttingAverage",2011
13,13,"Freddie Jacobson",92,1.739,1671,961,30.94,143,"PuttingAverage",2011
14,14,"Aaron Baddeley",77,1.741,1539,884,32.99,97,"PuttingAverage",2011
14,14,"Steven Bowditch",86,1.741,1635,939,33.8,141,"PuttingAverage",2011
16,16,"Carl Pettersson",95,1.744,1920,1101,31.42,89,"PuttingAverage",2011
17,17,"Steve Flesch",88,1.747,1581,905,31.08,185,"PuttingAverage",2011
17,17,"Lee Janzen",62,1.747,1111,636,31.17,153,"PuttingAverage",2011
19,19,"Brendon de Jonge",105,1.748,2112,1208,30.49,65,"PuttingAverage",2011
20,20,"Chris Couch",73,1.749,1494,854,32.16,109,"PuttingAverage",2011
20,20,"Geoff Ogilvy",69,1.749,1301,744,32.53,157,"PuttingAverage",2011
20,20,"David Toms",78,1.749,1635,935,29.65,6,"PuttingAverage",2011
23,23,"Shane Bertsch",62,1.75,1136,649,29.77,126,"PuttingAverage",2011
