"PuttsmadeDistance_RANKTHISWEEK_2007","PuttsmadeDistance_RANKLASTWEEK_2007","PuttsmadeDistance_PLAYERNAME_2007","PuttsmadeDistance_EVENTS_2007","PuttsmadeDistance_DISTANCEININCHES_2007","stat_name","year"
1,1,"Jesper Parnevik",27,58,"PuttsmadeDistance",2007
2,2,"Tim Clark",19,57,"PuttsmadeDistance",2007
3,3,"Jonathan Byrd",23,55,"PuttsmadeDistance",2007
3,3,"Dicky Pride",25,55,"PuttsmadeDistance",2007
3,3,"Henrik Stenson",15,55,"PuttsmadeDistance",2007
6,6,"Paul Goydos",19,54,"PuttsmadeDistance",2007
6,6,"Zach Johnson",23,54,"PuttsmadeDistance",2007
6,6,"Frank Lickliter II",30,54,"PuttsmadeDistance",2007
6,6,"Ryan Moore",28,54,"PuttsmadeDistance",2007
6,6,"Sean OHair",28,54,"PuttsmadeDistance",2007
6,6,"Joe Ogilvie",31,54,"PuttsmadeDistance",2007
6,6,"Tag Ridings",18,54,"PuttsmadeDistance",2007
6,6,"Tiger Woods",16,54,"PuttsmadeDistance",2007
14,14,"Rich Barcelo",26,53,"PuttsmadeDistance",2007
14,14,"Mark Calcavecchia",28,53,"PuttsmadeDistance",2007
14,14,"Fred Funk",22,53,"PuttsmadeDistance",2007
14,14,"Robert Garrigus",28,53,"PuttsmadeDistance",2007
14,14,"Parker McLachlin",28,53,"PuttsmadeDistance",2007
14,14,"Kevin Na",27,53,"PuttsmadeDistance",2007
14,14,"Rory Sabbatini",23,53,"PuttsmadeDistance",2007
21,21,"Ryan Armour",32,52,"PuttsmadeDistance",2007
21,21,"Craig Bowden",25,52,"PuttsmadeDistance",2007
21,21,"Brian Davis",28,52,"PuttsmadeDistance",2007
21,21,"Jason Dufner",32,52,"PuttsmadeDistance",2007
21,21,"Jason Gore",27,52,"PuttsmadeDistance",2007
21,21,"Mark Hensby",25,52,"PuttsmadeDistance",2007
21,21,"Ryuji Imada",32,52,"PuttsmadeDistance",2007
21,21,"Freddie Jacobson",20,52,"PuttsmadeDistance",2007
21,21,"Justin Leonard",29,52,"PuttsmadeDistance",2007
21,21,"Craig Lile",24,52,"PuttsmadeDistance",2007
21,21,"Will Ma Kenzie",30,52,"PuttsmadeDistance",2007
21,21,"Jeff Maggert",26,52,"PuttsmadeDistance",2007
21,21,"Jeff Overton",19,52,"PuttsmadeDistance",2007
21,21,"Ryan Palmer",30,52,"PuttsmadeDistance",2007
21,21,"Pat Perez",27,52,"PuttsmadeDistance",2007
21,21,"Tom Pernice Jr",31,52,"PuttsmadeDistance",2007
21,21,"Tim Petrovic",32,52,"PuttsmadeDistance",2007
21,21,"Carl Pettersson",31,52,"PuttsmadeDistance",2007
21,21,"Jeff Quinney",29,52,"PuttsmadeDistance",2007
21,21,"Chris Riley",17,52,"PuttsmadeDistance",2007
21,21,"Vaughn Taylor",28,52,"PuttsmadeDistance",2007
21,21,"Dean Wilson",28,52,"PuttsmadeDistance",2007
