"3PuttsperRound_RANKTHISWEEK_2014","3PuttsperRound_RANKLASTWEEK_2014","3PuttsperRound_PLAYERNAME_2014","3PuttsperRound_ROUNDS_2014","3PuttsperRound_AVG_2014","3PuttsperRound_TOTAL3PUTTS_2014","3PuttsperRound_TOTALROUNDS_2014","stat_name","year"
1,1,"Kyle Stanley",87,0.96,80,83,"3PuttsperRound",2014
2,2,"Lucas Glover",68,0.89,59,66,"3PuttsperRound",2014
3,3,"Robert Allenby",83,0.8,65,81,"3PuttsperRound",2014
3,3,"Nicholas Thompson",85,0.8,65,81,"3PuttsperRound",2014
5,5,"Louis Oosthuizen",50,0.78,36,46,"3PuttsperRound",2014
5,5,"Wes Roach",67,0.78,49,63,"3PuttsperRound",2014
7,7,"Derek Ernst",80,0.75,57,76,"3PuttsperRound",2014
8,8,"Hideki Matsuyama",82,0.74,59,80,"3PuttsperRound",2014
9,9,"Steven Bowditch",93,0.73,68,93,"3PuttsperRound",2014
9,9,"Rory Sabbatini",82,0.73,57,78,"3PuttsperRound",2014
11,11,"Jhonattan Vegas",77,0.72,54,75,"3PuttsperRound",2014
12,12,"Jim Renner",61,0.71,42,59,"3PuttsperRound",2014
13,13,"Briny Baird",50,0.7,35,50,"3PuttsperRound",2014
13,13,"Jeff Maggert",54,0.7,38,54,"3PuttsperRound",2014
13,13,"Heath Slocum",71,0.7,48,69,"3PuttsperRound",2014
16,16,"Andrew Loupe",65,0.69,42,61,"3PuttsperRound",2014
16,16,"Nick Watney",80,0.69,52,75,"3PuttsperRound",2014
16,16,"Boo Weekley",73,0.69,50,72,"3PuttsperRound",2014
19,19,"Robert Garrigus",80,0.68,54,80,"3PuttsperRound",2014
19,19,"Michael Putnam",106,0.68,69,102,"3PuttsperRound",2014
21,21,"Angel Cabrera",69,0.67,46,69,"3PuttsperRound",2014
21,21,"Jason Dufner",57,0.67,36,54,"3PuttsperRound",2014
21,21,"Ken Duke",80,0.67,52,78,"3PuttsperRound",2014
21,21,"Kevin Tway",64,0.67,40,60,"3PuttsperRound",2014
25,25,"Davis Love III",74,0.65,47,72,"3PuttsperRound",2014
26,26,"Martin Flores",85,0.64,54,85,"3PuttsperRound",2014
26,26,"Jim Herman",62,0.64,37,58,"3PuttsperRound",2014
26,26,"Vijay Singh",83,0.64,53,83,"3PuttsperRound",2014
29,29,"Geoff Ogilvy",84,0.63,50,80,"3PuttsperRound",2014
30,30,"Chad Campbell",57,0.62,33,53,"3PuttsperRound",2014
30,30,"Bronson La Cassie",51,0.62,29,47,"3PuttsperRound",2014
30,30,"Jamie Lovemark",64,0.62,37,60,"3PuttsperRound",2014
30,30,"Seung Yul Noh",92,0.62,57,92,"3PuttsperRound",2014
30,30,"John Peterson",62,0.62,37,60,"3PuttsperRound",2014
35,35,"Sangmoon Bae",76,0.61,46,76,"3PuttsperRound",2014
35,35,"Graham DeLaet",80,0.61,48,79,"3PuttsperRound",2014
35,35,"Andres Romero",81,0.61,47,77,"3PuttsperRound",2014
35,35,"Michael Thompson",74,0.61,45,74,"3PuttsperRound",2014
39,39,"Troy Matteson",62,0.6,35,58,"3PuttsperRound",2014
39,39,"Kevin Streelman",79,0.6,47,78,"3PuttsperRound",2014
39,39,"Mark Wilson",69,0.6,39,65,"3PuttsperRound",2014
42,42,"Tommy Gainey",73,0.59,41,69,"3PuttsperRound",2014
42,42,"Trevor Immelman",84,0.59,47,80,"3PuttsperRound",2014
42,42,"DA Points",75,0.59,43,73,"3PuttsperRound",2014
