"Approach250275yardsRTP_RANKTHISWEEK_2014","Approach250275yardsRTP_RANKLASTWEEK_2014","Approach250275yardsRTP_PLAYERNAME_2014","Approach250275yardsRTP_ROUNDS_2014","Approach250275yardsRTP_AVGRTP_2014","stat_name","year"
1,1,"Brian Davis",93,-0.813,"Approach250275yardsRTP",2014
2,2,"David Lingmerth",80,-0.783,"Approach250275yardsRTP",2014
3,3,"Luke Guthrie",85,-0.773,"Approach250275yardsRTP",2014
3,3,"Ryo Ishikawa",75,-0.773,"Approach250275yardsRTP",2014
5,5,"James Hahn",82,-0.769,"Approach250275yardsRTP",2014
6,6,"KJ Choi",80,-0.75,"Approach250275yardsRTP",2014
7,7,"Shawn Stefani",60,-0.731,"Approach250275yardsRTP",2014
8,8,"Mike Weir",69,-0.727,"Approach250275yardsRTP",2014
9,9,"Steven Bowditch",93,-0.724,"Approach250275yardsRTP",2014
10,10,"Ian Poulter",57,-0.714,"Approach250275yardsRTP",2014
11,11,"Kevin Chappell",100,-0.711,"Approach250275yardsRTP",2014
12,12,"Charlie Beljan",76,-0.706,"Approach250275yardsRTP",2014
13,13,"Justin Leonard",75,-0.7,"Approach250275yardsRTP",2014
13,13,"Will Wilcox",51,-0.7,"Approach250275yardsRTP",2014
15,15,"Roberto Castro",76,-0.692,"Approach250275yardsRTP",2014
15,15,"Danny Lee",84,-0.692,"Approach250275yardsRTP",2014
17,17,"Ken Duke",80,-0.684,"Approach250275yardsRTP",2014
18,18,"James Driscoll",71,-0.667,"Approach250275yardsRTP",2014
19,19,"Morgan Hoffmann",103,-0.647,"Approach250275yardsRTP",2014
20,20,"Keegan Bradley",89,-0.643,"Approach250275yardsRTP",2014
20,20,"Paul Casey",56,-0.643,"Approach250275yardsRTP",2014
22,22,"Scott Langley",95,-0.639,"Approach250275yardsRTP",2014
23,23,"Marc Leishman",81,-0.625,"Approach250275yardsRTP",2014
24,24,"Charles Howell III",106,-0.621,"Approach250275yardsRTP",2014
25,25,"Ben Curtis",77,-0.619,"Approach250275yardsRTP",2014
26,26,"Jason Bohn",81,-0.615,"Approach250275yardsRTP",2014
26,26,"Graeme McDowell",66,-0.615,"Approach250275yardsRTP",2014
28,28,"Robert Garrigus",80,-0.613,"Approach250275yardsRTP",2014
29,29,"Brendon de Jonge",109,-0.611,"Approach250275yardsRTP",2014
30,30,"Harris English",95,-0.609,"Approach250275yardsRTP",2014
30,30,"George McNeill",79,-0.609,"Approach250275yardsRTP",2014
32,32,"Retief Goosen",94,-0.607,"Approach250275yardsRTP",2014
33,33,"Brooks Koepka",56,-0.6,"Approach250275yardsRTP",2014
33,33,"Webb Simpson",87,-0.6,"Approach250275yardsRTP",2014
33,33,"David Toms",64,-0.6,"Approach250275yardsRTP",2014
36,36,"Cameron Tringale",111,-0.595,"Approach250275yardsRTP",2014
37,37,"Vijay Singh",83,-0.594,"Approach250275yardsRTP",2014
38,38,"Charlie Wi",72,-0.591,"Approach250275yardsRTP",2014
39,39,"Jerry Kelly",80,-0.588,"Approach250275yardsRTP",2014
40,40,"Chris Stroud",88,-0.581,"Approach250275yardsRTP",2014
41,41,"Brian Stuard",91,-0.579,"Approach250275yardsRTP",2014
42,42,"Trevor Immelman",84,-0.577,"Approach250275yardsRTP",2014
42,42,"Hudson Swafford",75,-0.577,"Approach250275yardsRTP",2014
44,44,"Tommy Gainey",73,-0.571,"Approach250275yardsRTP",2014
44,44,"Martin Laird",66,-0.571,"Approach250275yardsRTP",2014
46,46,"YE Yang",79,-0.567,"Approach250275yardsRTP",2014
47,47,"Matt Every",85,-0.565,"Approach250275yardsRTP",2014
47,47,"David Hearn",97,-0.565,"Approach250275yardsRTP",2014
49,49,"Jonathan Byrd",76,-0.563,"Approach250275yardsRTP",2014
50,50,"Billy Horschel",92,-0.56,"Approach250275yardsRTP",2014
51,51,"Ben Martin",80,-0.556,"Approach250275yardsRTP",2014
51,51,"Michael Thompson",74,-0.556,"Approach250275yardsRTP",2014
51,51,"Tyrone Van Aswegen",79,-0.556,"Approach250275yardsRTP",2014
54,54,"Jason Kokrak",65,-0.55,"Approach250275yardsRTP",2014
55,55,"Kevin Na",94,-0.545,"Approach250275yardsRTP",2014
56,56,"Troy Matteson",62,-0.538,"Approach250275yardsRTP",2014
56,56,"Justin Rose",70,-0.538,"Approach250275yardsRTP",2014
56,56,"Heath Slocum",71,-0.538,"Approach250275yardsRTP",2014
56,56,"Jordan Spieth",102,-0.538,"Approach250275yardsRTP",2014
60,60,"Kevin Stadler",90,-0.536,"Approach250275yardsRTP",2014
61,61,"Brendon Todd",108,-0.533,"Approach250275yardsRTP",2014
62,62,"Chris Kirk",105,-0.531,"Approach250275yardsRTP",2014
63,63,"Brice Garnett",92,-0.524,"Approach250275yardsRTP",2014
