"Puttingfrom510_RANKTHISWEEK_2008","Puttingfrom510_RANKLASTWEEK_2008","Puttingfrom510_PLAYERNAME_2008","Puttingfrom510_ROUNDS_2008","Puttingfrom510_Pct_2008","Puttingfrom510_ATTEMPTS_2008","Puttingfrom510_PUTTSMADE_2008","stat_name","year"
1,1,"Shigeki Maruyama",50,64.37,174,112,"Puttingfrom510",2008
2,2,"Richard Johnson",77,63.64,308,196,"Puttingfrom510",2008
3,3,"Anthony Kim",81,63.16,285,180,"Puttingfrom510",2008
4,4,"Aaron Baddeley",76,63.14,255,161,"Puttingfrom510",2008
5,5,"Corey Pavin",69,62.79,258,162,"Puttingfrom510",2008
6,6,"Stewart Cink",87,62.18,238,148,"Puttingfrom510",2008
7,7,"John Rollins",94,61.89,349,216,"Puttingfrom510",2008
8,8,"Ben Curtis",80,61.81,254,157,"Puttingfrom510",2008
9,9,"Mike Weir",88,61.73,277,171,"Puttingfrom510",2008
10,10,"Jeff Quinney",87,61.54,338,208,"Puttingfrom510",2008
11,11,"Freddie Jacobson",78,61.43,280,172,"Puttingfrom510",2008
12,12,"Bob Tway",70,61.36,264,162,"Puttingfrom510",2008
13,13,"Dudley Hart",74,61.01,277,169,"Puttingfrom510",2008
14,14,"Ian Poulter",51,60.93,151,92,"Puttingfrom510",2008
15,15,"Doug LaBelle II",65,60.71,224,136,"Puttingfrom510",2008
15,15,"Brenden Pappas",66,60.71,252,153,"Puttingfrom510",2008
15,15,"Dean Wilson",109,60.71,420,255,"Puttingfrom510",2008
18,18,"Marc Turnesa",87,60.69,318,193,"Puttingfrom510",2008
19,19,"Vaughn Taylor",103,60.52,423,256,"Puttingfrom510",2008
20,20,"Jesper Parnevik",88,60.38,313,189,"Puttingfrom510",2008
21,21,"Stuart Appleby",87,60.32,310,187,"Puttingfrom510",2008
22,22,"David Duval",51,60.29,204,123,"Puttingfrom510",2008
23,23,"Ben Crane",86,60.27,297,179,"Puttingfrom510",2008
24,24,"Tim Herron",97,60.12,341,205,"Puttingfrom510",2008
25,25,"Joe Ogilvie",100,59.89,379,227,"Puttingfrom510",2008
26,26,"Robert Garrigus",90,59.79,373,223,"Puttingfrom510",2008
27,27,"Nathan Green",95,59.7,397,237,"Puttingfrom510",2008
27,27,"Kevin Sutherland",98,59.7,335,200,"Puttingfrom510",2008
29,29,"Chad Collins",72,59.62,260,155,"Puttingfrom510",2008
30,30,"Padraig Harrington",52,59.52,126,75,"Puttingfrom510",2008
31,31,"Brandt Snedeker",85,59.5,279,166,"Puttingfrom510",2008
32,32,"Carl Pettersson",110,59.41,441,262,"Puttingfrom510",2008
33,33,"Steve Stricker",75,59.39,229,136,"Puttingfrom510",2008
34,34,"Justin Leonard",101,59.31,317,188,"Puttingfrom510",2008
35,35,"JJ Henry",108,59.18,392,232,"Puttingfrom510",2008
36,36,"Ryan Palmer",69,59.09,286,169,"Puttingfrom510",2008
37,37,"Brad Elder",67,59.03,227,134,"Puttingfrom510",2008
37,37,"Ryan Moore",72,59.03,288,170,"Puttingfrom510",2008
39,39,"Stephen Leaney",53,58.97,195,115,"Puttingfrom510",2008
40,40,"Stephen Ames",83,58.95,285,168,"Puttingfrom510",2008
41,41,"Daniel Chopra",84,58.9,292,172,"Puttingfrom510",2008
42,42,"Jim Furyk",95,58.87,282,166,"Puttingfrom510",2008
43,43,"Eric Axley",113,58.82,408,240,"Puttingfrom510",2008
44,44,"Scott Sterling",89,58.72,298,175,"Puttingfrom510",2008
45,45,"Zach Johnson",85,58.61,302,177,"Puttingfrom510",2008
46,46,"Marco Dawson",64,58.3,247,144,"Puttingfrom510",2008
47,47,"Jason Day",81,58.26,333,194,"Puttingfrom510",2008
48,48,"Mark Wilson",107,58.21,469,273,"Puttingfrom510",2008
49,49,"Tag Ridings",88,58.18,373,217,"Puttingfrom510",2008
50,50,"YE Yang",89,58.17,361,210,"Puttingfrom510",2008
51,51,"Alejandro Canizares",52,58.15,184,107,"Puttingfrom510",2008
52,52,"Paul Claxton",63,58.13,203,118,"Puttingfrom510",2008
53,53,"Steve Elkington",84,57.98,326,189,"Puttingfrom510",2008
53,53,"Jerry Kelly",89,57.98,307,178,"Puttingfrom510",2008
55,55,"Tom Pernice Jr",104,57.79,398,230,"Puttingfrom510",2008
55,55,"Tim Wilkinson",95,57.79,353,204,"Puttingfrom510",2008
57,57,"James Driscoll",85,57.77,341,197,"Puttingfrom510",2008
58,58,"Todd Demsey",80,57.69,286,165,"Puttingfrom510",2008
59,59,"Ron Whittaker",54,57.67,189,109,"Puttingfrom510",2008
61,61,"Nick OHern",82,57.56,271,156,"Puttingfrom510",2008
62,62,"Craig Kanada",65,57.53,219,126,"Puttingfrom510",2008
63,63,"Brett Quigley",80,57.51,313,180,"Puttingfrom510",2008
64,64,"Frank Lickliter II",107,57.48,421,242,"Puttingfrom510",2008
64,64,"Patrick Sheehan",124,57.48,421,242,"Puttingfrom510",2008
66,66,"John Mallinger",95,57.43,350,201,"Puttingfrom510",2008
67,67,"Peter Lonard",92,57.41,324,186,"Puttingfrom510",2008
68,68,"Chris DiMarco",87,57.27,330,189,"Puttingfrom510",2008
69,69,"Phil Mickelson",80,57.14,266,152,"Puttingfrom510",2008
70,70,"Greg Kraft",63,57,207,118,"Puttingfrom510",2008
71,71,"Retief Goosen",59,56.98,179,102,"Puttingfrom510",2008
72,72,"John Huston",56,56.77,229,130,"Puttingfrom510",2008
73,73,"Ryan Armour",87,56.76,340,193,"Puttingfrom510",2008
73,73,"Charles Warren",79,56.76,340,193,"Puttingfrom510",2008
75,75,"Tim Clark",90,56.69,314,178,"Puttingfrom510",2008
75,75,"Jason Gore",94,56.69,381,216,"Puttingfrom510",2008
77,77,"Brian Davis",108,56.66,443,251,"Puttingfrom510",2008
78,78,"Kenneth Ferrie",72,56.57,274,155,"Puttingfrom510",2008
79,79,"Jonathan Byrd",88,56.55,313,177,"Puttingfrom510",2008
79,79,"Gavin Coles",54,56.55,168,95,"Puttingfrom510",2008
81,81,"Steve Allan",58,56.46,209,118,"Puttingfrom510",2008
82,82,"Carlos Franco",73,56.43,241,136,"Puttingfrom510",2008
83,83,"Billy Andrade",71,56.4,250,141,"Puttingfrom510",2008
