"ScoringAverageBeforeCut_RANKTHISWEEK_2006","ScoringAverageBeforeCut_RANKLASTWEEK_2006","ScoringAverageBeforeCut_PLAYERNAME_2006","ScoringAverageBeforeCut__2006","ScoringAverageBeforeCut_AVG_2006","ScoringAverageBeforeCut_TOTALSTROKES_2006","ScoringAverageBeforeCut_TOTALROUNDS_2006","stat_name","year"
1,1,"Tiger Woods",NA,68.79,1926,28,"ScoringAverageBeforeCut",2006
2,2,"Jim Furyk",NA,69.32,3258,47,"ScoringAverageBeforeCut",2006
3,3,"Phil Mickelson",NA,69.41,2568,37,"ScoringAverageBeforeCut",2006
4,4,"Arron Oberholser",NA,69.63,2994,43,"ScoringAverageBeforeCut",2006
5,5,"Steve Stricker",NA,69.64,2298,33,"ScoringAverageBeforeCut",2006
6,6,"Ernie Els",NA,69.78,2233,32,"ScoringAverageBeforeCut",2006
7,7,"Adam Scott",NA,69.83,2514,36,"ScoringAverageBeforeCut",2006
8,8,"Luke Donald",NA,69.85,2375,34,"ScoringAverageBeforeCut",2006
9,9,"Jonathan Byrd",NA,69.98,2939,42,"ScoringAverageBeforeCut",2006
9,9,"Brian Gay",NA,69.98,4479,64,"ScoringAverageBeforeCut",2006
11,11,"Justin Rose",NA,70.05,3923,56,"ScoringAverageBeforeCut",2006
12,12,"Joe Durant",NA,70.1,4066,58,"ScoringAverageBeforeCut",2006
13,13,"Robert Allenby",NA,70.17,2947,42,"ScoringAverageBeforeCut",2006
14,14,"Charley Hoffman",NA,70.18,4000,57,"ScoringAverageBeforeCut",2006
15,15,"Mike Weir",NA,70.2,3440,49,"ScoringAverageBeforeCut",2006
16,16,"Trevor Immelman",NA,70.23,3371,48,"ScoringAverageBeforeCut",2006
16,16,"Bo Van Pelt",NA,70.23,4003,57,"ScoringAverageBeforeCut",2006
18,18,"Tim Clark",NA,70.24,3161,45,"ScoringAverageBeforeCut",2006
19,19,"Vijay Singh",NA,70.25,3723,53,"ScoringAverageBeforeCut",2006
20,20,"Daniel Chopra",NA,70.31,4711,67,"ScoringAverageBeforeCut",2006
20,20,"Scott Verplank",NA,70.31,3445,49,"ScoringAverageBeforeCut",2006
22,22,"David Howell",NA,70.33,1688,24,"ScoringAverageBeforeCut",2006
23,23,"Chad Campbell",NA,70.36,3518,50,"ScoringAverageBeforeCut",2006
24,24,"Mark Wilson",NA,70.38,3308,47,"ScoringAverageBeforeCut",2006
25,25,"Steve Flesch",NA,70.4,4717,67,"ScoringAverageBeforeCut",2006
26,26,"Stewart Cink",NA,70.42,3380,48,"ScoringAverageBeforeCut",2006
27,27,"Zach Johnson",NA,70.44,3522,50,"ScoringAverageBeforeCut",2006
27,27,"John Senden",NA,70.44,4015,57,"ScoringAverageBeforeCut",2006
29,29,"Ryan Palmer",NA,70.46,4298,61,"ScoringAverageBeforeCut",2006
30,30,"Ryuji Imada",NA,70.49,4300,61,"ScoringAverageBeforeCut",2006
31,31,"Frank Lickliter II",NA,70.51,4160,59,"ScoringAverageBeforeCut",2006
32,32,"Nick Watney",NA,70.53,4161,59,"ScoringAverageBeforeCut",2006
33,33,"Stephen Ames",NA,70.54,2751,39,"ScoringAverageBeforeCut",2006
33,33,"Jason Bohn",NA,70.54,4162,59,"ScoringAverageBeforeCut",2006
35,35,"Kevin Sutherland",NA,70.56,4163,59,"ScoringAverageBeforeCut",2006
36,36,"Jesper Parnevik",NA,70.59,3600,51,"ScoringAverageBeforeCut",2006
37,37,"Rory Sabbatini",NA,70.61,3460,49,"ScoringAverageBeforeCut",2006
38,38,"Stuart Appleby",NA,70.62,2966,42,"ScoringAverageBeforeCut",2006
39,39,"Bob Estes",NA,70.63,3673,52,"ScoringAverageBeforeCut",2006
39,39,"Lucas Glover",NA,70.63,4238,60,"ScoringAverageBeforeCut",2006
39,39,"Jerry Smith",NA,70.63,4167,59,"ScoringAverageBeforeCut",2006
42,42,"Padraig Harrington",NA,70.64,1978,28,"ScoringAverageBeforeCut",2006
43,43,"Brandt Jobe",NA,70.67,3816,54,"ScoringAverageBeforeCut",2006
43,43,"David Toms",NA,70.67,2756,39,"ScoringAverageBeforeCut",2006
43,43,"Dean Wilson",NA,70.67,4876,69,"ScoringAverageBeforeCut",2006
46,46,"Hunter Mahan",NA,70.68,4029,57,"ScoringAverageBeforeCut",2006
46,46,"Charles Warren",NA,70.68,3746,53,"ScoringAverageBeforeCut",2006
48,48,"Michael Allen",NA,70.69,3676,52,"ScoringAverageBeforeCut",2006
48,48,"Harrison Frazar",NA,70.69,4100,58,"ScoringAverageBeforeCut",2006
48,48,"Nathan Green",NA,70.69,4100,58,"ScoringAverageBeforeCut",2006
51,51,"Jeff Sluman",NA,70.7,4313,61,"ScoringAverageBeforeCut",2006
52,52,"Greg Owen",NA,70.71,3394,48,"ScoringAverageBeforeCut",2006
53,53,"Briny Baird",NA,70.73,3395,48,"ScoringAverageBeforeCut",2006
53,53,"Brent Geiberger",NA,70.73,4173,59,"ScoringAverageBeforeCut",2006
55,55,"Olin Browne",NA,70.74,4315,61,"ScoringAverageBeforeCut",2006
55,55,"KJ Choi",NA,70.74,3537,50,"ScoringAverageBeforeCut",2006
55,55,"Brett Quigley",NA,70.74,4598,65,"ScoringAverageBeforeCut",2006
