"Back9ScoringAverage_RANKTHISWEEK_2015","Back9ScoringAverage_RANKLASTWEEK_2015","Back9ScoringAverage_PLAYERNAME_2015","Back9ScoringAverage_ROUNDS_2015","Back9ScoringAverage_AVG_2015","Back9ScoringAverage_TOTALSTROKES_2015","Back9ScoringAverage_TOTALHOLES_2015","stat_name","year"
1,1,"Jason Day",75,34.4,2477,72,"Back9ScoringAverage",2015
2,2,"Jordan Spieth",91,34.65,3049,88,"Back9ScoringAverage",2015
2,2,"Will Wilcox",58,34.65,1871,54,"Back9ScoringAverage",2015
4,4,"Henrik Stenson",63,34.68,2081,60,"Back9ScoringAverage",2015
5,5,"Zach Johnson",90,34.71,3020,87,"Back9ScoringAverage",2015
6,6,"Bubba Watson",71,34.81,2367,68,"Back9ScoringAverage",2015
7,7,"Matt Kuchar",97,34.9,3281,94,"Back9ScoringAverage",2015
8,8,"Jonathan Byrd",69,34.92,2270,65,"Back9ScoringAverage",2015
8,8,"Danny Lee",120,34.92,4190,120,"Back9ScoringAverage",2015
10,10,"Justin Thomas",106,34.93,3703,106,"Back9ScoringAverage",2015
11,11,"Rory Sabbatini",81,34.95,2831,81,"Back9ScoringAverage",2015
12,12,"Jason Bohn",95,34.96,3321,95,"Back9ScoringAverage",2015
13,13,"Charley Hoffman",97,34.99,3289,94,"Back9ScoringAverage",2015
13,13,"Dustin Johnson",75,34.99,2519,72,"Back9ScoringAverage",2015
15,15,"Justin Rose",69,35,2310,66,"Back9ScoringAverage",2015
15,15,"Robert Streb",110,35,3850,110,"Back9ScoringAverage",2015
17,17,"Chad Collins",79,35.01,2766,79,"Back9ScoringAverage",2015
18,18,"Webb Simpson",81,35.04,2733,78,"Back9ScoringAverage",2015
19,19,"Marc Leishman",74,35.06,2454,70,"Back9ScoringAverage",2015
20,20,"Daniel Berger",97,35.07,3402,97,"Back9ScoringAverage",2015
20,20,"Jason Kokrak",88,35.07,3086,88,"Back9ScoringAverage",2015
22,22,"Steven Alker",62,35.08,2105,60,"Back9ScoringAverage",2015
22,22,"Jim Furyk",71,35.08,2245,64,"Back9ScoringAverage",2015
22,22,"John Peterson",84,35.08,2947,84,"Back9ScoringAverage",2015
25,25,"Steven Bowditch",103,35.09,3614,103,"Back9ScoringAverage",2015
25,25,"Harris English",105,35.09,3579,102,"Back9ScoringAverage",2015
25,25,"Kevin Na",98,35.09,3334,95,"Back9ScoringAverage",2015
25,25,"Johnson Wagner",68,35.09,2386,68,"Back9ScoringAverage",2015
29,29,"Jerry Kelly",79,35.1,2773,79,"Back9ScoringAverage",2015
30,30,"Russell Henley",87,35.12,2950,84,"Back9ScoringAverage",2015
30,30,"Brooks Koepka",84,35.12,2845,81,"Back9ScoringAverage",2015
30,30,"William McGirt",103,35.12,3617,103,"Back9ScoringAverage",2015
33,33,"Kevin Kisner",104,35.13,3654,104,"Back9ScoringAverage",2015
33,33,"George McNeill",93,35.13,3267,93,"Back9ScoringAverage",2015
33,33,"Louis Oosthuizen",68,35.13,2213,63,"Back9ScoringAverage",2015
36,36,"Brandt Snedeker",98,35.14,3338,95,"Back9ScoringAverage",2015
37,37,"Hideki Matsuyama",95,35.16,3200,91,"Back9ScoringAverage",2015
38,38,"Paul Casey",87,35.18,2885,82,"Back9ScoringAverage",2015
38,38,"Tony Finau",106,35.18,3729,106,"Back9ScoringAverage",2015
38,38,"JB Holmes",89,35.18,2990,85,"Back9ScoringAverage",2015
41,41,"Scott Brown",97,35.19,3413,97,"Back9ScoringAverage",2015
42,42,"Brian Harman",90,35.2,3168,90,"Back9ScoringAverage",2015
42,42,"Billy Hurley III",83,35.2,2781,79,"Back9ScoringAverage",2015
42,42,"Matt Jones",89,35.2,3027,86,"Back9ScoringAverage",2015
42,42,"Russell Knox",96,35.2,3379,96,"Back9ScoringAverage",2015
46,46,"Zac Blair",108,35.21,3662,104,"Back9ScoringAverage",2015
47,47,"Daniel Summerhays",101,35.22,3557,101,"Back9ScoringAverage",2015
48,48,"David Hearn",97,35.23,3417,97,"Back9ScoringAverage",2015
48,48,"Carlos Ortiz",100,35.23,3382,96,"Back9ScoringAverage",2015
50,50,"Rickie Fowler",76,35.24,2537,72,"Back9ScoringAverage",2015
51,51,"Brendon de Jonge",106,35.25,3737,106,"Back9ScoringAverage",2015
51,51,"Martin Flores",95,35.25,3208,91,"Back9ScoringAverage",2015
51,51,"Jim Herman",88,35.25,3102,88,"Back9ScoringAverage",2015
51,51,"Carl Pettersson",106,35.25,3737,106,"Back9ScoringAverage",2015
51,51,"Hudson Swafford",97,35.25,3349,95,"Back9ScoringAverage",2015
56,56,"Jimmy Walker",89,35.26,3032,86,"Back9ScoringAverage",2015
57,57,"Chris Kirk",76,35.27,2575,73,"Back9ScoringAverage",2015
58,58,"Tom Hoge",83,35.28,2787,79,"Back9ScoringAverage",2015
58,58,"Spencer Levin",99,35.28,3422,97,"Back9ScoringAverage",2015
60,60,"Scott Piercy",90,35.29,3176,90,"Back9ScoringAverage",2015
60,60,"Nicholas Thompson",90,35.29,3035,86,"Back9ScoringAverage",2015
60,60,"Boo Weekley",79,35.29,2788,79,"Back9ScoringAverage",2015
63,63,"Keegan Bradley",87,35.3,2965,84,"Back9ScoringAverage",2015
63,63,"Shawn Stefani",94,35.3,3318,94,"Back9ScoringAverage",2015
65,65,"Ryan Palmer",80,35.31,2719,77,"Back9ScoringAverage",2015
65,65,"Ian Poulter",68,35.31,2295,65,"Back9ScoringAverage",2015
65,65,"Vijay Singh",78,35.31,2754,78,"Back9ScoringAverage",2015
68,68,"Jeff Overton",94,35.32,3249,92,"Back9ScoringAverage",2015
69,69,"John Huh",102,35.33,3568,101,"Back9ScoringAverage",2015
69,69,"Whee Kim",71,35.33,2438,69,"Back9ScoringAverage",2015
69,69,"David Toms",62,35.33,2049,58,"Back9ScoringAverage",2015
72,72,"Charles Howell III",105,35.34,3711,105,"Back9ScoringAverage",2015
72,72,"Patrick Reed",103,35.34,3534,100,"Back9ScoringAverage",2015
74,74,"Mark Wilson",89,35.35,3005,85,"Back9ScoringAverage",2015
75,75,"Sergio Garcia",59,35.36,1980,56,"Back9ScoringAverage",2015
75,75,"Ben Martin",93,35.36,3182,90,"Back9ScoringAverage",2015
75,75,"Brendan Steele",88,35.36,2970,84,"Back9ScoringAverage",2015
78,78,"Colt Knost",90,35.37,3042,86,"Back9ScoringAverage",2015
