"LateScoringAverage_RANKTHISWEEK_2009","LateScoringAverage_RANKLASTWEEK_2009","LateScoringAverage_PLAYERNAME_2009","LateScoringAverage_ROUNDS_2009","LateScoringAverage_AVG_2009","LateScoringAverage_TOTALSTROKES_2009","LateScoringAverage_TOTALLATEROUNDS_2009","stat_name","year"
1,1,"Tiger Woods",64,68.81,2959,43,"LateScoringAverage",2009
2,2,"Jerry Kelly",90,69.64,3134,45,"LateScoringAverage",2009
3,3,"Chris Riley",77,69.69,2509,36,"LateScoringAverage",2009
4,4,"David Toms",98,69.71,3625,52,"LateScoringAverage",2009
5,5,"Zach Johnson",94,69.79,3629,52,"LateScoringAverage",2009
6,6,"Steve Stricker",81,69.81,3351,48,"LateScoringAverage",2009
7,7,"Jason Day",61,69.84,2235,32,"LateScoringAverage",2009
8,8,"Ryan Moore",89,69.86,3493,50,"LateScoringAverage",2009
9,9,"Phil Mickelson",66,69.87,2166,31,"LateScoringAverage",2009
10,10,"Justin Leonard",95,69.92,3496,50,"LateScoringAverage",2009
11,11,"Jason Dufner",90,69.93,3077,44,"LateScoringAverage",2009
11,11,"Tag Ridings",50,69.93,1888,27,"LateScoringAverage",2009
13,13,"Greg Chalmers",85,69.94,3427,49,"LateScoringAverage",2009
14,14,"Steve Marino",98,69.95,3847,55,"LateScoringAverage",2009
15,15,"Hunter Mahan",94,69.96,3288,47,"LateScoringAverage",2009
16,16,"Brian Gay",96,69.98,3009,43,"LateScoringAverage",2009
17,17,"Freddie Jacobson",83,70,2660,38,"LateScoringAverage",2009
18,18,"Stephen Ames",77,70.07,3013,43,"LateScoringAverage",2009
18,18,"Jim Furyk",86,70.07,3223,46,"LateScoringAverage",2009
20,20,"Bo Van Pelt",100,70.12,3436,49,"LateScoringAverage",2009
21,21,"Chad Campbell",90,70.13,2735,39,"LateScoringAverage",2009
22,22,"Harrison Frazar",93,70.14,3086,44,"LateScoringAverage",2009
23,23,"Padraig Harrington",66,70.15,2385,34,"LateScoringAverage",2009
24,24,"Luke Donald",79,70.16,2666,38,"LateScoringAverage",2009
25,25,"Bryce Molder",69,70.18,2737,39,"LateScoringAverage",2009
26,26,"Cameron Beckman",87,70.2,2878,41,"LateScoringAverage",2009
27,27,"Kevin Na",91,70.21,3370,48,"LateScoringAverage",2009
27,27,"John Senden",100,70.21,3651,52,"LateScoringAverage",2009
27,27,"Scott Verplank",88,70.21,3300,47,"LateScoringAverage",2009
30,30,"Briny Baird",89,70.27,3654,52,"LateScoringAverage",2009
31,31,"Sean OHair",80,70.28,3022,43,"LateScoringAverage",2009
32,32,"John Mallinger",90,70.3,2601,37,"LateScoringAverage",2009
33,33,"Heath Slocum",95,70.31,2953,42,"LateScoringAverage",2009
34,34,"Bob Heintz",59,70.32,1969,28,"LateScoringAverage",2009
35,35,"Brian Davis",103,70.33,3235,46,"LateScoringAverage",2009
35,35,"Jeff Klauk",97,70.33,3376,48,"LateScoringAverage",2009
35,35,"Scott McCarron",91,70.33,2743,39,"LateScoringAverage",2009
35,35,"Tom Pernice Jr",82,70.33,2813,40,"LateScoringAverage",2009
