"ScoringAverageActual_RANKTHISWEEK_2010","ScoringAverageActual_RANKLASTWEEK_2010","ScoringAverageActual_PLAYERNAME_2010","ScoringAverageActual_ROUNDS_2010","ScoringAverageActual_AVG_2010","ScoringAverageActual_TOTALSTROKES_2010","ScoringAverageActual_TOTALROUNDS_2010","stat_name","year"
1,1,"Matt Kuchar",97,69.43,6596,95,"ScoringAverageActual",2010
2,2,"Dean Wilson",54,69.69,3763,54,"ScoringAverageActual",2010
3,3,"Steve Stricker",73,69.78,5024,72,"ScoringAverageActual",2010
4,4,"Paul Stankowski",62,69.79,4327,62,"ScoringAverageActual",2010
5,5,"Joe Durant",67,69.81,4677,67,"ScoringAverageActual",2010
6,6,"Justin Rose",78,69.92,5454,78,"ScoringAverageActual",2010
7,7,"Paul Casey",64,69.93,4056,58,"ScoringAverageActual",2010
7,7,"Charley Hoffman",85,69.93,5944,85,"ScoringAverageActual",2010
9,9,"Retief Goosen",75,69.96,4967,71,"ScoringAverageActual",2010
9,9,"Charles Howell III",103,69.96,7206,103,"ScoringAverageActual",2010
11,11,"Steve Elkington",74,70.03,5182,74,"ScoringAverageActual",2010
12,12,"Kevin Na",94,70.04,6514,93,"ScoringAverageActual",2010
12,12,"Pat Perez",90,70.04,6304,90,"ScoringAverageActual",2010
12,12,"Chris Riley",73,70.04,5113,73,"ScoringAverageActual",2010
15,15,"Charlie Wi",95,70.05,6655,95,"ScoringAverageActual",2010
16,16,"Chad Collins",87,70.07,6096,87,"ScoringAverageActual",2010
16,16,"Bo Van Pelt",104,70.07,7287,104,"ScoringAverageActual",2010
18,18,"Spencer Levin",110,70.09,7710,110,"ScoringAverageActual",2010
19,19,"Graham DeLaet",88,70.1,6169,88,"ScoringAverageActual",2010
20,20,"Tom Gillis",97,70.12,6802,97,"ScoringAverageActual",2010
21,21,"Jonathan Byrd",85,70.13,5961,85,"ScoringAverageActual",2010
22,22,"Brendon de Jonge",114,70.14,7996,114,"ScoringAverageActual",2010
23,23,"Kevin Sutherland",86,70.16,6034,86,"ScoringAverageActual",2010
24,24,"Freddie Jacobson",83,70.18,5825,83,"ScoringAverageActual",2010
24,24,"David Toms",86,70.18,5965,85,"ScoringAverageActual",2010
26,26,"Bubba Watson",77,70.21,5406,77,"ScoringAverageActual",2010
27,27,"Bill Haas",87,70.22,6109,87,"ScoringAverageActual",2010
27,27,"JB Holmes",100,70.22,7022,100,"ScoringAverageActual",2010
29,29,"Jim Furyk",76,70.23,5197,74,"ScoringAverageActual",2010
30,30,"Webb Simpson",98,70.24,6884,98,"ScoringAverageActual",2010
31,31,"Luke Donald",71,70.25,4777,68,"ScoringAverageActual",2010
32,32,"Briny Baird",87,70.26,6113,87,"ScoringAverageActual",2010
32,32,"Aron Price",70,70.26,4918,70,"ScoringAverageActual",2010
34,34,"Greg Chalmers",93,70.27,6535,93,"ScoringAverageActual",2010
35,35,"Brandt Snedeker",89,70.28,6255,89,"ScoringAverageActual",2010
36,36,"Ben Crane",85,70.3,5765,82,"ScoringAverageActual",2010
37,37,"Tim Clark",88,70.31,5976,85,"ScoringAverageActual",2010
38,38,"Carl Pettersson",99,70.33,6963,99,"ScoringAverageActual",2010
39,39,"Phil Mickelson",76,70.34,5346,76,"ScoringAverageActual",2010
39,39,"Jeff Overton",89,70.34,6260,89,"ScoringAverageActual",2010
39,39,"Jeev Milkha Singh",59,70.34,3939,56,"ScoringAverageActual",2010
42,42,"Rickie Fowler",98,70.35,6894,98,"ScoringAverageActual",2010
42,42,"Bryce Molder",84,70.35,5909,84,"ScoringAverageActual",2010
44,44,"Chris Couch",66,70.36,4644,66,"ScoringAverageActual",2010
44,44,"Chris DiMarco",88,70.36,6192,88,"ScoringAverageActual",2010
44,44,"Matt Jones",89,70.36,6262,89,"ScoringAverageActual",2010
47,47,"Ernie Els",72,70.37,4926,70,"ScoringAverageActual",2010
47,47,"DJ Trahan",92,70.37,6474,92,"ScoringAverageActual",2010
49,49,"John Senden",103,70.38,7249,103,"ScoringAverageActual",2010
50,50,"KJ Choi",82,70.39,5772,82,"ScoringAverageActual",2010
51,51,"Nick Watney",91,70.41,6196,88,"ScoringAverageActual",2010
52,52,"Jason Day",82,70.43,5775,82,"ScoringAverageActual",2010
52,52,"Ryuji Imada",90,70.43,6339,90,"ScoringAverageActual",2010
52,52,"Tom Pernice Jr",74,70.43,5212,74,"ScoringAverageActual",2010
52,52,"John Rollins",81,70.43,5705,81,"ScoringAverageActual",2010
56,56,"Jeff Quinney",91,70.44,6410,91,"ScoringAverageActual",2010
56,56,"Brett Wetterich",54,70.44,3804,54,"ScoringAverageActual",2010
58,58,"Dustin Johnson",83,70.46,5778,82,"ScoringAverageActual",2010
59,59,"Ricky Barnes",103,70.47,7258,103,"ScoringAverageActual",2010
60,60,"Chad Campbell",95,70.48,6625,94,"ScoringAverageActual",2010
60,60,"JJ Henry",92,70.48,6484,92,"ScoringAverageActual",2010
60,60,"Michael Sim",64,70.48,4440,63,"ScoringAverageActual",2010
60,60,"Kevin Streelman",90,70.48,6343,90,"ScoringAverageActual",2010
60,60,"Boo Weekley",88,70.48,6202,88,"ScoringAverageActual",2010
65,65,"Brian Gay",101,70.49,6908,98,"ScoringAverageActual",2010
