"PuttsPerRound_RANKTHISWEEK_2012","PuttsPerRound_RANKLASTWEEK_2012","PuttsPerRound_PLAYERNAME_2012","PuttsPerRound_ROUNDS_2012","PuttsPerRound_AVG_2012","PuttsPerRound_TOTALPUTTS_2012","PuttsPerRound_TOTALROUNDS_2012","PuttsPerRound_LOWTOTALPUTTS_2012","stat_name","year"
1,1,"Jonas Blixt",72,27.89,1952,70,24,"PuttsPerRound",2012
2,2,"Brandt Snedeker",81,27.92,2178,78,21,"PuttsPerRound",2012
3,3,"Greg Chalmers",88,27.93,2430,87,21,"PuttsPerRound",2012
4,4,"Aaron Baddeley",73,28.07,2021,72,23,"PuttsPerRound",2012
5,5,"Brian Gay",91,28.13,2447,87,21,"PuttsPerRound",2012
6,6,"Charlie Wi",86,28.24,2429,86,21,"PuttsPerRound",2012
7,7,"Kevin Na",80,28.39,2243,79,23,"PuttsPerRound",2012
7,7,"Ian Poulter",57,28.39,1590,56,24,"PuttsPerRound",2012
9,9,"Padraig Harrington",67,28.41,1790,63,22,"PuttsPerRound",2012
10,10,"Jason Day",57,28.42,1563,55,24,"PuttsPerRound",2012
11,11,"Zach Johnson",95,28.45,2674,94,23,"PuttsPerRound",2012
12,12,"Carl Pettersson",92,28.46,2618,92,24,"PuttsPerRound",2012
13,13,"Phil Mickelson",79,28.49,2251,79,22,"PuttsPerRound",2012
14,14,"YE Yang",64,28.5,1767,62,23,"PuttsPerRound",2012
15,15,"Matt Kuchar",86,28.51,2338,82,20,"PuttsPerRound",2012
16,16,"David Mathis",83,28.58,2201,77,22,"PuttsPerRound",2012
17,17,"Daniel Chopra",55,28.59,1458,51,23,"PuttsPerRound",2012
17,17,"Chris DiMarco",83,28.59,2259,79,22,"PuttsPerRound",2012
17,17,"Bob Estes",78,28.59,2230,78,23,"PuttsPerRound",2012
20,20,"Brian Davis",91,28.61,2489,87,23,"PuttsPerRound",2012
21,21,"Billy Hurley III",70,28.62,1889,66,23,"PuttsPerRound",2012
22,22,"Luke Donald",63,28.63,1775,62,25,"PuttsPerRound",2012
23,23,"Dustin Johnson",70,28.64,1919,67,24,"PuttsPerRound",2012
24,24,"JJ Killeen",101,28.65,2664,93,23,"PuttsPerRound",2012
24,24,"Spencer Levin",81,28.65,2263,79,21,"PuttsPerRound",2012
26,26,"Sergio Garcia",57,28.66,1605,56,24,"PuttsPerRound",2012
27,27,"Tom Gillis",75,28.67,2150,75,24,"PuttsPerRound",2012
28,28,"Ken Duke",104,28.68,2868,100,22,"PuttsPerRound",2012
28,28,"Ryuji Imada",78,28.68,2180,76,24,"PuttsPerRound",2012
30,30,"Jeff Overton",101,28.7,2784,97,22,"PuttsPerRound",2012
31,31,"Martin Flores",95,28.71,2670,93,24,"PuttsPerRound",2012
32,32,"Rory McIlroy",60,28.72,1551,54,23,"PuttsPerRound",2012
32,32,"Pat Perez",81,28.72,2269,79,24,"PuttsPerRound",2012
34,34,"Geoff Ogilvy",73,28.74,2069,72,23,"PuttsPerRound",2012
34,34,"Ryan Palmer",81,28.74,2328,81,23,"PuttsPerRound",2012
34,34,"Scott Piercy",95,28.74,2730,95,23,"PuttsPerRound",2012
34,34,"Charl Schwartzel",56,28.74,1552,54,23,"PuttsPerRound",2012
38,38,"Ben Crane",73,28.75,2070,72,21,"PuttsPerRound",2012
38,38,"Kevin Kisner",69,28.75,1754,61,24,"PuttsPerRound",2012
40,40,"Sangmoon Bae",81,28.77,2215,77,23,"PuttsPerRound",2012
41,41,"Jimmy Walker",101,28.78,2907,101,24,"PuttsPerRound",2012
42,42,"Brian Harman",101,28.79,2908,101,23,"PuttsPerRound",2012
42,42,"Webb Simpson",77,28.79,2188,76,22,"PuttsPerRound",2012
44,44,"James Driscoll",83,28.8,2275,79,23,"PuttsPerRound",2012
45,45,"Tommy Biershenk",74,28.81,1959,68,23,"PuttsPerRound",2012
45,45,"Chris Couch",61,28.81,1700,59,24,"PuttsPerRound",2012
45,45,"Rory Sabbatini",84,28.81,2420,84,22,"PuttsPerRound",2012
45,45,"Bo Van Pelt",84,28.81,2391,83,23,"PuttsPerRound",2012
49,49,"Matt Bettencourt",80,28.82,2075,72,23,"PuttsPerRound",2012
49,49,"Derek Lamely",64,28.82,1787,62,23,"PuttsPerRound",2012
51,51,"Gavin Coles",72,28.86,1905,66,23,"PuttsPerRound",2012
52,52,"Ryan Moore",89,28.87,2569,89,21,"PuttsPerRound",2012
52,52,"Brendon Todd",78,28.87,2021,70,22,"PuttsPerRound",2012
54,54,"Keegan Bradley",90,28.88,2541,88,23,"PuttsPerRound",2012
54,54,"Chris Stroud",86,28.88,2484,86,23,"PuttsPerRound",2012
56,56,"Bud Cauley",99,28.89,2860,99,21,"PuttsPerRound",2012
56,56,"John Daly",50,28.89,1329,46,23,"PuttsPerRound",2012
58,58,"Tommy Gainey",98,28.91,2833,98,23,"PuttsPerRound",2012
58,58,"Bryce Molder",83,28.91,2284,79,23,"PuttsPerRound",2012
58,58,"Tiger Woods",69,28.91,1937,67,22,"PuttsPerRound",2012
61,61,"Matt Every",80,28.92,2198,76,23,"PuttsPerRound",2012
62,62,"Justin Leonard",79,28.93,2170,75,23,"PuttsPerRound",2012
63,63,"Hunter Haas",69,28.97,1825,63,23,"PuttsPerRound",2012
64,64,"Danny Lee",74,28.98,1913,66,24,"PuttsPerRound",2012
65,65,"Erik Compton",81,29,2117,73,22,"PuttsPerRound",2012
65,65,"Dicky Pride",62,29,1566,54,26,"PuttsPerRound",2012
65,65,"Michael Thompson",80,29,2320,80,22,"PuttsPerRound",2012
