"DrivingPctAll_RANKTHISWEEK_2005","DrivingPctAll_RANKLASTWEEK_2005","DrivingPctAll_PLAYERNAME_2005","DrivingPctAll_ROUNDS_2005","DrivingPctAll_Pct_2005","DrivingPctAll_TOTALDRIVESFOR_2005","DrivingPctAll_TOTALDRIVESOVERALL_2005","DrivingPctAll_RELATIVETOPAR_2005","stat_name","year"
1,1,"Corey Pavin",77,20.56,175,851,0.04,"DrivingPctAll",2005
2,2,"Loren Roberts",54,11.94,80,670,0.113,"DrivingPctAll",2005
3,3,"Jeff Hart",63,10.65,85,798,0.365,"DrivingPctAll",2005
4,4,"Jim Carter",62,9.91,75,757,0.173,"DrivingPctAll",2005
5,5,"Richard Johnson",50,9.22,59,640,0.034,"DrivingPctAll",2005
6,6,"Chris Riley",67,9.06,53,585,0.264,"DrivingPctAll",2005
7,7,"Mark Brooks",72,9.03,78,864,0.103,"DrivingPctAll",2005
8,8,"Fred Funk",102,9.02,103,1142,0.107,"DrivingPctAll",2005
9,9,"Brad Faxon",75,8.79,70,796,0.157,"DrivingPctAll",2005
10,10,"Mark Wilson",74,8.64,76,880,-0.105,"DrivingPctAll",2005
11,11,"Steve Jones",56,8.58,55,641,0.109,"DrivingPctAll",2005
12,12,"Carlos Franco",78,8.44,79,936,0.152,"DrivingPctAll",2005
13,13,"Gavin Coles",70,8.35,74,886,0.135,"DrivingPctAll",2005
14,14,"Tom Byrum",83,8.3,88,1060,0.148,"DrivingPctAll",2005
15,15,"Stephen Leaney",89,8.13,85,1045,0.165,"DrivingPctAll",2005
16,16,"Brent Geiberger",61,8.01,58,724,0.138,"DrivingPctAll",2005
17,17,"Larry Mize",54,7.94,51,642,0.157,"DrivingPctAll",2005
18,18,"Chad Campbell",95,7.9,83,1050,0.012,"DrivingPctAll",2005
19,19,"Dean Wilson",86,7.89,87,1102,0.011,"DrivingPctAll",2005
20,20,"Chris Anderson",66,7.78,63,810,0.222,"DrivingPctAll",2005
21,21,"Steve Elkington",67,7.74,59,762,0.186,"DrivingPctAll",2005
22,22,"Matt Kuchar",60,7.66,59,770,0.254,"DrivingPctAll",2005
23,23,"Olin Browne",99,7.61,88,1156,0.091,"DrivingPctAll",2005
24,24,"Patrick Sheehan",114,7.39,99,1339,0.121,"DrivingPctAll",2005
25,25,"Joey Sindelar",104,7.37,101,1370,0.149,"DrivingPctAll",2005
26,26,"Thomas Levet",54,7.36,37,503,0.324,"DrivingPctAll",2005
27,27,"Steve Stricker",62,7.28,60,824,-0.033,"DrivingPctAll",2005
27,27,"Mike Weir",71,7.28,48,659,0.188,"DrivingPctAll",2005
29,29,"Skip Kendall",80,7.27,71,977,0.366,"DrivingPctAll",2005
30,30,"JP Hayes",63,7.18,53,738,0.075,"DrivingPctAll",2005
31,31,"Jesper Parnevik",84,7.16,67,936,0.119,"DrivingPctAll",2005
32,32,"Joey Snyder III",102,7.14,91,1274,0.088,"DrivingPctAll",2005
33,33,"Kevin Na",88,7.07,78,1103,0.333,"DrivingPctAll",2005
34,34,"Jim Furyk",94,7.03,70,996,-0.014,"DrivingPctAll",2005
35,35,"Ben Crane",78,7,63,900,0.222,"DrivingPctAll",2005
36,36,"Len Mattiace",86,6.99,74,1058,0.243,"DrivingPctAll",2005
37,37,"Brian Bateman",98,6.93,82,1184,0.183,"DrivingPctAll",2005
38,38,"John Cook",72,6.91,56,811,0.232,"DrivingPctAll",2005
39,39,"Stephen Ames",82,6.81,58,852,0.052,"DrivingPctAll",2005
40,40,"Bart Bryant",91,6.77,72,1063,0.056,"DrivingPctAll",2005
41,41,"Stewart Cink",98,6.65,66,992,0.121,"DrivingPctAll",2005
42,42,"Tommy Armour III",103,6.62,84,1268,0,"DrivingPctAll",2005
43,43,"Jason Allred",75,6.61,58,878,0.086,"DrivingPctAll",2005
44,44,"Aaron Baddeley",84,6.57,69,1050,0.406,"DrivingPctAll",2005
44,44,"Ian Poulter",62,6.57,33,502,0.121,"DrivingPctAll",2005
46,46,"Lee Janzen",75,6.56,54,823,0.204,"DrivingPctAll",2005
47,47,"DJ Brigman",76,6.54,56,856,0.143,"DrivingPctAll",2005
47,47,"Bernhard Langer",67,6.54,41,627,0.341,"DrivingPctAll",2005
49,49,"Michael Allen",90,6.51,70,1075,0.2,"DrivingPctAll",2005
49,49,"Bill Glasson",54,6.51,40,614,0.25,"DrivingPctAll",2005
51,51,"Rob Rashell",65,6.47,49,757,0.347,"DrivingPctAll",2005
52,52,"Brian Gay",101,6.46,83,1285,0.108,"DrivingPctAll",2005
53,53,"Omar Uresti",84,6.45,66,1024,0.061,"DrivingPctAll",2005
54,54,"Glen Hnatiuk",59,6.44,45,699,0.178,"DrivingPctAll",2005
55,55,"Jay Haas",54,6.43,35,544,0.286,"DrivingPctAll",2005
56,56,"Bob Tway",87,6.42,59,919,0,"DrivingPctAll",2005
57,57,"Bob Estes",92,6.35,70,1102,0.114,"DrivingPctAll",2005
