"GreensinRegulationPercentage_RANKTHISWEEK_2009","GreensinRegulationPercentage_RANKLASTWEEK_2009","GreensinRegulationPercentage_PLAYERNAME_2009","GreensinRegulationPercentage_ROUNDS_2009","GreensinRegulationPercentage_Pct_2009","GreensinRegulationPercentage_GREENSHIT_2009","GreensinRegulationPercentage_HOLES_2009","GreensinRegulationPercentage_RELATIVEPAR_2009","stat_name","year"
1,1,"John Senden",100,70.89,1276,1800,-0.26,"GreensinRegulationPercentage",2009
2,2,"Jonathan Byrd",89,70.59,1080,1530,-0.29,"GreensinRegulationPercentage",2009
3,3,"Joe Durant",62,70.58,686,972,-0.24,"GreensinRegulationPercentage",2009
4,4,"Robert Garrigus",83,70.53,1003,1422,-0.26,"GreensinRegulationPercentage",2009
5,5,"Jay Williamson",69,70.49,774,1098,-0.19,"GreensinRegulationPercentage",2009
6,6,"Greg Owen",97,70.41,1128,1602,-0.24,"GreensinRegulationPercentage",2009
7,7,"DJ Trahan",96,70.37,1216,1728,-0.26,"GreensinRegulationPercentage",2009
8,8,"Jason Bohn",88,69.63,1103,1584,-0.26,"GreensinRegulationPercentage",2009
9,9,"Chad Campbell",90,69.19,1071,1548,-0.25,"GreensinRegulationPercentage",2009
10,10,"Briny Baird",89,68.95,1055,1530,-0.24,"GreensinRegulationPercentage",2009
10,10,"Tom Lehman",55,68.95,633,918,-0.17,"GreensinRegulationPercentage",2009
12,12,"Chris Stroud",88,68.72,1039,1512,-0.27,"GreensinRegulationPercentage",2009
13,13,"Scott Sterling",51,68.6,531,774,-0.22,"GreensinRegulationPercentage",2009
14,14,"Charles Warren",63,68.52,703,1026,-0.25,"GreensinRegulationPercentage",2009
15,15,"Patrick Sheehan",51,68.48,530,774,-0.23,"GreensinRegulationPercentage",2009
16,16,"Tiger Woods",64,68.46,764,1116,-0.32,"GreensinRegulationPercentage",2009
17,17,"Rich Beem",77,68.44,850,1242,-0.24,"GreensinRegulationPercentage",2009
18,18,"Troy Matteson",95,68.38,1120,1638,-0.25,"GreensinRegulationPercentage",2009
19,19,"Hunter Mahan",94,68.36,1132,1656,-0.28,"GreensinRegulationPercentage",2009
20,20,"David Toms",98,68.32,1156,1692,-0.27,"GreensinRegulationPercentage",2009
21,21,"Steve Marino",98,68.26,1155,1692,-0.27,"GreensinRegulationPercentage",2009
22,22,"Jeff Maggert",79,68.21,970,1422,-0.21,"GreensinRegulationPercentage",2009
23,23,"Ricky Barnes",67,68.17,724,1062,-0.2,"GreensinRegulationPercentage",2009
24,24,"Robert Allenby",71,68.1,858,1260,-0.2,"GreensinRegulationPercentage",2009
24,24,"JJ Henry",97,68.1,1140,1674,-0.23,"GreensinRegulationPercentage",2009
26,26,"Will Ma Kenzie",69,67.87,843,1242,-0.22,"GreensinRegulationPercentage",2009
27,27,"Sean OHair",80,67.84,928,1368,-0.27,"GreensinRegulationPercentage",2009
28,28,"Zach Johnson",94,67.81,1123,1656,-0.28,"GreensinRegulationPercentage",2009
29,29,"Kirk Triplett",60,67.78,732,1080,-0.21,"GreensinRegulationPercentage",2009
30,30,"Stephen Ames",77,67.7,914,1350,-0.3,"GreensinRegulationPercentage",2009
31,31,"Casey Wittenberg",71,67.64,767,1134,-0.22,"GreensinRegulationPercentage",2009
32,32,"Heath Slocum",95,67.58,1107,1638,-0.24,"GreensinRegulationPercentage",2009
33,33,"Steve Elkington",70,67.46,850,1260,-0.25,"GreensinRegulationPercentage",2009
34,34,"Bill Haas",91,67.37,1055,1566,-0.27,"GreensinRegulationPercentage",2009
34,34,"Spencer Levin",75,67.37,861,1278,-0.23,"GreensinRegulationPercentage",2009
36,36,"Kenny Perry",92,67.34,1103,1638,-0.26,"GreensinRegulationPercentage",2009
37,37,"Michael Allen",73,67.23,835,1242,-0.26,"GreensinRegulationPercentage",2009
38,38,"Matt Jones",56,67.22,605,900,-0.27,"GreensinRegulationPercentage",2009
39,39,"Marc Leishman",91,67.18,1052,1566,-0.27,"GreensinRegulationPercentage",2009
40,40,"Bryce Molder",69,67.12,737,1098,-0.26,"GreensinRegulationPercentage",2009
41,41,"Charles Howell III",99,67.09,1099,1638,-0.25,"GreensinRegulationPercentage",2009
42,42,"Fred Couples",54,67.08,652,972,-0.28,"GreensinRegulationPercentage",2009
42,42,"Nicholas Thompson",96,67.08,1135,1692,-0.25,"GreensinRegulationPercentage",2009
44,44,"Tommy Armour III",58,67.05,700,1044,-0.25,"GreensinRegulationPercentage",2009
45,45,"Justin Leonard",95,67.03,1098,1638,-0.29,"GreensinRegulationPercentage",2009
46,46,"Bill Lunde",83,67.01,977,1458,-0.24,"GreensinRegulationPercentage",2009
47,47,"Scott Verplank",88,67,1013,1512,-0.28,"GreensinRegulationPercentage",2009
48,48,"Tim Clark",81,66.95,940,1404,-0.29,"GreensinRegulationPercentage",2009
49,49,"Jason Dufner",90,66.93,1036,1548,-0.26,"GreensinRegulationPercentage",2009
50,50,"Davis Love III",89,66.92,1048,1566,-0.25,"GreensinRegulationPercentage",2009
51,51,"Kevin Stadler",65,66.86,686,1026,-0.25,"GreensinRegulationPercentage",2009
52,52,"Boo Weekley",79,66.81,926,1386,-0.23,"GreensinRegulationPercentage",2009
53,53,"Charley Hoffman",97,66.78,1166,1746,-0.3,"GreensinRegulationPercentage",2009
54,54,"Nick OHern",90,66.73,1033,1548,-0.25,"GreensinRegulationPercentage",2009
54,54,"Kevin Sutherland",96,66.73,1141,1710,-0.26,"GreensinRegulationPercentage",2009
54,54,"Bo Van Pelt",100,66.73,1105,1656,-0.29,"GreensinRegulationPercentage",2009
57,57,"Brendon de Jonge",90,66.67,1032,1548,-0.26,"GreensinRegulationPercentage",2009
57,57,"Steve Flesch",77,66.67,924,1386,-0.23,"GreensinRegulationPercentage",2009
57,57,"Steve Stricker",81,66.67,948,1422,-0.3,"GreensinRegulationPercentage",2009
57,57,"Camilo Villegas",76,66.67,876,1314,-0.27,"GreensinRegulationPercentage",2009
61,61,"Kevin Streelman",97,66.61,1115,1674,-0.27,"GreensinRegulationPercentage",2009
62,62,"Glen Day",79,66.59,851,1278,-0.2,"GreensinRegulationPercentage",2009
63,63,"Alex Cejka",82,66.52,922,1386,-0.25,"GreensinRegulationPercentage",2009
64,64,"Mark Wilson",99,66.49,1137,1710,-0.26,"GreensinRegulationPercentage",2009
65,65,"Tag Ridings",50,66.41,526,792,-0.29,"GreensinRegulationPercentage",2009
66,66,"Jeff Klauk",97,66.37,1135,1710,-0.25,"GreensinRegulationPercentage",2009
67,67,"Martin Laird",72,66.35,836,1260,-0.29,"GreensinRegulationPercentage",2009
68,68,"Billy Mayfair",83,66.33,991,1494,-0.2,"GreensinRegulationPercentage",2009
69,69,"Rick Price",54,66.32,573,864,-0.21,"GreensinRegulationPercentage",2009
70,70,"Kris Blanks",60,66.26,644,972,-0.29,"GreensinRegulationPercentage",2009
71,71,"DA Points",99,66.25,1109,1674,-0.26,"GreensinRegulationPercentage",2009
71,71,"Ted Purdy",101,66.25,1109,1674,-0.28,"GreensinRegulationPercentage",2009
73,73,"Colt Knost",71,66.23,751,1134,-0.25,"GreensinRegulationPercentage",2009
74,74,"Scott Piercy",85,66.19,965,1458,-0.28,"GreensinRegulationPercentage",2009
75,75,"Vijay Singh",71,66.18,822,1242,-0.23,"GreensinRegulationPercentage",2009
76,76,"YE Yang",83,66.17,941,1422,-0.27,"GreensinRegulationPercentage",2009
77,77,"Ryan Moore",89,66.14,1012,1530,-0.28,"GreensinRegulationPercentage",2009
78,78,"Nick Watney",86,66.09,1023,1548,-0.3,"GreensinRegulationPercentage",2009
79,79,"Ernie Els",70,66.08,785,1188,-0.25,"GreensinRegulationPercentage",2009
80,80,"Dustin Johnson",85,66.07,999,1512,-0.31,"GreensinRegulationPercentage",2009
81,81,"KJ Choi",65,66.06,761,1152,-0.23,"GreensinRegulationPercentage",2009
82,82,"Brett Quigley",92,66.01,998,1512,-0.26,"GreensinRegulationPercentage",2009
83,83,"Chez Reavie",81,65.95,914,1386,-0.24,"GreensinRegulationPercentage",2009
83,83,"Justin Rose",71,65.95,831,1260,-0.27,"GreensinRegulationPercentage",2009
85,85,"Rod Pampling",72,65.88,842,1278,-0.26,"GreensinRegulationPercentage",2009
86,86,"Aron Price",89,65.71,958,1458,-0.23,"GreensinRegulationPercentage",2009
