"MoneyperEventLeaders_RANKTHISWEEK_2005","MoneyperEventLeaders_RANKLASTWEEK_2005","MoneyperEventLeaders_PLAYERNAME_2005","MoneyperEventLeaders_EVENTS_2005","MoneyperEventLeaders_MONEYPEREVENT_2005","MoneyperEventLeaders_TOTALMONEY_2005","stat_name","year"
1,1,"Tiger Woods",21,506096,10628023,"MoneyperEventLeaders",2005
2,2,"Michael Campbell",5,317112,1585560,"MoneyperEventLeaders",2005
3,3,"Phil Mickelson",21,271409,5699604,"MoneyperEventLeaders",2005
4,4,"Vijay Singh",30,267244,8017335,"MoneyperEventLeaders",2005
5,5,"Retief Goosen",18,194116,3494105,"MoneyperEventLeaders",2005
6,6,"Padraig Harrington",15,174382,2615731,"MoneyperEventLeaders",2005
7,7,"Jim Furyk",26,163668,4255368,"MoneyperEventLeaders",2005
8,8,"Sergio Garcia",20,160668,3213375,"MoneyperEventLeaders",2005
9,9,"Colin Montgomerie",6,160344,962069,"MoneyperEventLeaders",2005
10,10,"David Toms",25,158480,3962013,"MoneyperEventLeaders",2005
11,11,"Kenny Perry",23,156832,3607155,"MoneyperEventLeaders",2005
12,12,"Chris DiMarco",24,148439,3562547,"MoneyperEventLeaders",2005
13,13,"Ernie Els",11,147925,1627183,"MoneyperEventLeaders",2005
14,14,"Luke Donald",18,137808,2480561,"MoneyperEventLeaders",2005
15,15,"Adam Scott",19,136434,2592255,"MoneyperEventLeaders",2005
16,16,"Bart Bryant",26,124966,3249135,"MoneyperEventLeaders",2005
17,17,"Peter Hedblom",1,123857,123857,"MoneyperEventLeaders",2005
18,18,"Darren Clarke",12,122160,1465921,"MoneyperEventLeaders",2005
19,19,"Ben Crane",21,117015,2457329,"MoneyperEventLeaders",2005
20,20,"Justin Leonard",24,111047,2665131,"MoneyperEventLeaders",2005
21,21,"Davis Love III",24,110782,2658779,"MoneyperEventLeaders",2005
22,22,"Jose Maria Olazabal",16,110264,1764227,"MoneyperEventLeaders",2005
23,23,"Jason Gore",8,108891,871135,"MoneyperEventLeaders",2005
24,24,"Scott Verplank",25,103208,2580213,"MoneyperEventLeaders",2005
25,25,"Chris Couch",1,96666,96666,"MoneyperEventLeaders",2005
