"RightRoughTendency_RANKTHISWEEK_2010","RightRoughTendency_RANKLASTWEEK_2010","RightRoughTendency_PLAYERNAME_2010","RightRoughTendency_ROUNDS_2010","RightRoughTendency_Pct_2010","RightRoughTendency_TOTALRIGHTROUGH_2010","RightRoughTendency_POSSIBLEFWYS_2010","RightRoughTendency_RELATIVETOPAR_2010","stat_name","year"
1,1,"Garrett Willis",82,8.23,81,984,0.15,"RightRoughTendency",2010
2,2,"Brian Gay",101,9.44,108,1144,0.03,"RightRoughTendency",2010
3,3,"Omar Uresti",74,9.57,81,846,0.02,"RightRoughTendency",2010
4,4,"Justin Bolli",55,9.72,56,576,0.09,"RightRoughTendency",2010
5,5,"Matt Kuchar",97,9.82,102,1039,-0.04,"RightRoughTendency",2010
6,6,"Ben Curtis",78,10.04,92,916,0.11,"RightRoughTendency",2010
7,7,"Dean Wilson",54,10.15,66,650,-0.05,"RightRoughTendency",2010
8,8,"Jim Furyk",76,10.32,86,833,0,"RightRoughTendency",2010
9,9,"Joe Durant",67,10.39,82,789,0.12,"RightRoughTendency",2010
10,10,"Rod Pampling",77,10.43,101,968,0.12,"RightRoughTendency",2010
11,11,"Alex Cejka",81,10.53,98,931,0.11,"RightRoughTendency",2010
12,12,"Jerry Kelly",99,10.58,121,1144,0.18,"RightRoughTendency",2010
13,13,"Craig Bowden",56,10.68,71,665,0.21,"RightRoughTendency",2010
14,14,"Tim Clark",88,10.69,101,945,0.13,"RightRoughTendency",2010
15,15,"Skip Kendall",58,10.91,74,678,0.19,"RightRoughTendency",2010
16,16,"Kenny Perry",69,11,86,782,0.15,"RightRoughTendency",2010
17,17,"Andrew McLardy",52,11.2,68,607,0.01,"RightRoughTendency",2010
18,18,"Spencer Levin",110,11.21,152,1356,0,"RightRoughTendency",2010
19,19,"Paul Stankowski",62,11.32,83,733,0.04,"RightRoughTendency",2010
20,20,"Steve Flesch",78,11.36,101,889,-0.05,"RightRoughTendency",2010
21,21,"John Mallinger",78,11.5,103,896,0.02,"RightRoughTendency",2010
21,21,"Jeff Quinney",91,11.5,127,1104,0.07,"RightRoughTendency",2010
23,23,"Kevin Sutherland",86,11.52,124,1076,0,"RightRoughTendency",2010
24,24,"Heath Slocum",97,11.58,118,1019,0.04,"RightRoughTendency",2010
25,25,"Richard Johnson",90,11.66,118,1012,0.12,"RightRoughTendency",2010
26,26,"Chris Couch",66,11.75,96,817,0.09,"RightRoughTendency",2010
27,27,"Brett Quigley",96,11.8,142,1203,0.04,"RightRoughTendency",2010
28,28,"Charles Warren",64,12.02,91,757,0.16,"RightRoughTendency",2010
29,29,"Stephen Ames",75,12.03,115,956,0.08,"RightRoughTendency",2010
30,30,"Justin Leonard",89,12.19,122,1001,0.08,"RightRoughTendency",2010
31,31,"Woody Austin",93,12.24,140,1144,0.03,"RightRoughTendency",2010
32,32,"Retief Goosen",75,12.33,90,730,-0.06,"RightRoughTendency",2010
33,33,"Ben Crane",85,12.34,113,916,0.03,"RightRoughTendency",2010
34,34,"Aron Price",70,12.43,107,861,0.15,"RightRoughTendency",2010
35,35,"Paul Goydos",78,12.47,114,914,0.11,"RightRoughTendency",2010
36,36,"David Duval",71,12.48,94,753,-0.01,"RightRoughTendency",2010
37,37,"Zach Johnson",93,12.62,132,1046,0.14,"RightRoughTendency",2010
37,37,"Carl Pettersson",99,12.62,144,1141,0.16,"RightRoughTendency",2010
39,39,"Will Ma Kenzie",72,12.63,119,942,0.17,"RightRoughTendency",2010
40,40,"Garth Mulroy",53,12.65,73,577,0.18,"RightRoughTendency",2010
41,41,"Justin Rose",78,12.67,122,963,-0.09,"RightRoughTendency",2010
42,42,"Michael Connell",89,12.68,135,1065,0.13,"RightRoughTendency",2010
43,43,"Jeff Maggert",76,12.71,111,873,0.14,"RightRoughTendency",2010
44,44,"Davis Love III",79,12.73,116,911,0.06,"RightRoughTendency",2010
45,45,"Vaughn Taylor",87,12.74,139,1091,0.08,"RightRoughTendency",2010
46,46,"Scott Verplank",74,12.77,99,775,0.09,"RightRoughTendency",2010
47,47,"Tom Gillis",97,12.8,160,1250,0.08,"RightRoughTendency",2010
48,48,"Kevin Johnson",62,12.82,86,671,0.23,"RightRoughTendency",2010
48,48,"Mark Wilson",87,12.82,141,1100,0.11,"RightRoughTendency",2010
