"RightRoughTendencyRTPScore_RANKTHISWEEK_2006","RightRoughTendencyRTPScore_RANKLASTWEEK_2006","RightRoughTendencyRTPScore_PLAYERNAME_2006","RightRoughTendencyRTPScore_ROUNDS_2006","RightRoughTendencyRTPScore_RTPSCORE_2006","stat_name","year"
1,1,"Phil Mickelson",74,-0.05,"RightRoughTendencyRTPScore",2006
2,2,"Daniel Chopra",110,-0.019,"RightRoughTendencyRTPScore",2006
3,3,"Davis Love III",85,-0.009,"RightRoughTendencyRTPScore",2006
4,4,"Billy Andrade",78,0,"RightRoughTendencyRTPScore",2006
4,4,"Jeff Gove",91,0,"RightRoughTendencyRTPScore",2006
4,4,"Vijay Singh",103,0,"RightRoughTendencyRTPScore",2006
7,7,"John Senden",96,0.006,"RightRoughTendencyRTPScore",2006
8,8,"Marco Dawson",87,0.008,"RightRoughTendencyRTPScore",2006
9,9,"Trevor Immelman",86,0.011,"RightRoughTendencyRTPScore",2006
10,10,"Jonathan Byrd",66,0.019,"RightRoughTendencyRTPScore",2006
11,11,"Retief Goosen",68,0.02,"RightRoughTendencyRTPScore",2006
12,12,"Tiger Woods",55,0.023,"RightRoughTendencyRTPScore",2006
13,13,"Robert Allenby",79,0.028,"RightRoughTendencyRTPScore",2006
14,14,"Bob Estes",85,0.034,"RightRoughTendencyRTPScore",2006
15,15,"Bo Van Pelt",102,0.038,"RightRoughTendencyRTPScore",2006
16,16,"Chris DiMarco",83,0.04,"RightRoughTendencyRTPScore",2006
16,16,"Jason Gore",86,0.04,"RightRoughTendencyRTPScore",2006
18,18,"Charles Warren",93,0.041,"RightRoughTendencyRTPScore",2006
19,19,"Briny Baird",81,0.043,"RightRoughTendencyRTPScore",2006
19,19,"Ian Poulter",53,0.043,"RightRoughTendencyRTPScore",2006
19,19,"Brett Quigley",109,0.043,"RightRoughTendencyRTPScore",2006
22,22,"Stephen Ames",63,0.045,"RightRoughTendencyRTPScore",2006
22,22,"Eric Axley",91,0.045,"RightRoughTendencyRTPScore",2006
24,24,"Joe Ogilvie",95,0.047,"RightRoughTendencyRTPScore",2006
24,24,"Duffy Waldorf",96,0.047,"RightRoughTendencyRTPScore",2006
26,26,"Ernie Els",69,0.048,"RightRoughTendencyRTPScore",2006
27,27,"Jesper Parnevik",84,0.049,"RightRoughTendencyRTPScore",2006
28,28,"JJ Henry",96,0.051,"RightRoughTendencyRTPScore",2006
29,29,"Freddie Jacobson",56,0.057,"RightRoughTendencyRTPScore",2006
30,30,"Todd Fischer",101,0.06,"RightRoughTendencyRTPScore",2006
31,31,"Robert Garrigus",85,0.063,"RightRoughTendencyRTPScore",2006
31,31,"Vance Veazey",59,0.063,"RightRoughTendencyRTPScore",2006
33,33,"Michael Allen",84,0.067,"RightRoughTendencyRTPScore",2006
33,33,"Justin Rose",98,0.067,"RightRoughTendencyRTPScore",2006
35,35,"Len Mattiace",59,0.068,"RightRoughTendencyRTPScore",2006
36,36,"Stewart Cink",93,0.07,"RightRoughTendencyRTPScore",2006
37,37,"Jeff Brehaut",100,0.071,"RightRoughTendencyRTPScore",2006
38,38,"Steve Jones",83,0.072,"RightRoughTendencyRTPScore",2006
38,38,"Shaun Micheel",96,0.072,"RightRoughTendencyRTPScore",2006
38,38,"Pat Perez",50,0.072,"RightRoughTendencyRTPScore",2006
41,41,"Charley Hoffman",100,0.074,"RightRoughTendencyRTPScore",2006
41,41,"Kent Jones",103,0.074,"RightRoughTendencyRTPScore",2006
41,41,"Greg Owen",79,0.074,"RightRoughTendencyRTPScore",2006
41,41,"Camilo Villegas",95,0.074,"RightRoughTendencyRTPScore",2006
41,41,"Mike Weir",88,0.074,"RightRoughTendencyRTPScore",2006
46,46,"Bubba Watson",83,0.077,"RightRoughTendencyRTPScore",2006
47,47,"Brent Geiberger",99,0.08,"RightRoughTendencyRTPScore",2006
47,47,"Billy Mayfair",94,0.08,"RightRoughTendencyRTPScore",2006
47,47,"Jose Maria Olazabal",62,0.08,"RightRoughTendencyRTPScore",2006
47,47,"Adam Scott",70,0.08,"RightRoughTendencyRTPScore",2006
51,51,"Paul Stankowski",70,0.081,"RightRoughTendencyRTPScore",2006
52,52,"Jeff Sluman",101,0.082,"RightRoughTendencyRTPScore",2006
53,53,"Bill Haas",99,0.083,"RightRoughTendencyRTPScore",2006
53,53,"Ted Purdy",103,0.083,"RightRoughTendencyRTPScore",2006
55,55,"Mark Calcavecchia",94,0.087,"RightRoughTendencyRTPScore",2006
55,55,"Tim Herron",82,0.087,"RightRoughTendencyRTPScore",2006
57,57,"Matt Hansen",68,0.088,"RightRoughTendencyRTPScore",2006
57,57,"David Toms",76,0.088,"RightRoughTendencyRTPScore",2006
57,57,"Jimmy Walker",60,0.088,"RightRoughTendencyRTPScore",2006
60,60,"Frank Lickliter II",99,0.089,"RightRoughTendencyRTPScore",2006
61,61,"Carlos Franco",86,0.09,"RightRoughTendencyRTPScore",2006
62,62,"Fred Couples",52,0.091,"RightRoughTendencyRTPScore",2006
62,62,"Steve Elkington",52,0.091,"RightRoughTendencyRTPScore",2006
62,62,"Bob May",65,0.091,"RightRoughTendencyRTPScore",2006
62,62,"Ryan Moore",68,0.091,"RightRoughTendencyRTPScore",2006
66,66,"Jim Furyk",89,0.092,"RightRoughTendencyRTPScore",2006
67,67,"Jonathan Kaye",95,0.094,"RightRoughTendencyRTPScore",2006
68,68,"Troy Matteson",101,0.096,"RightRoughTendencyRTPScore",2006
69,69,"Tjaart van der Walt",60,0.097,"RightRoughTendencyRTPScore",2006
70,70,"Ryan Hietala",61,0.098,"RightRoughTendencyRTPScore",2006
71,71,"John Rollins",93,0.101,"RightRoughTendencyRTPScore",2006
72,72,"Kenny Perry",73,0.102,"RightRoughTendencyRTPScore",2006
73,73,"Kris Cox",83,0.104,"RightRoughTendencyRTPScore",2006
