"FinalRoundPerformance_RANKTHISWEEK_2014","FinalRoundPerformance_RANKLASTWEEK_2014","FinalRoundPerformance_PLAYERNAME_2014","FinalRoundPerformance_EVENTS_2014","FinalRoundPerformance_Pct_2014","stat_name","year"
1,1,"David Toms",20,90.91,"FinalRoundPerformance",2014
2,2,"Henrik Stenson",15,84.62,"FinalRoundPerformance",2014
3,3,"Brooks Koepka",16,83.33,"FinalRoundPerformance",2014
4,4,"Jason Bohn",25,80,"FinalRoundPerformance",2014
4,4,"Troy Merritt",20,80,"FinalRoundPerformance",2014
6,6,"Harris English",28,78.95,"FinalRoundPerformance",2014
7,7,"Sergio Garcia",16,78.57,"FinalRoundPerformance",2014
8,8,"Rickie Fowler",26,76.47,"FinalRoundPerformance",2014
8,8,"Adam Scott",17,76.47,"FinalRoundPerformance",2014
10,10,"Steven Bowditch",30,75,"FinalRoundPerformance",2014
10,10,"Ernie Els",24,75,"FinalRoundPerformance",2014
10,10,"Rory McIlroy",17,75,"FinalRoundPerformance",2014
13,13,"Billy Horschel",27,73.68,"FinalRoundPerformance",2014
14,14,"Graeme McDowell",17,73.33,"FinalRoundPerformance",2014
15,15,"Roberto Castro",27,72.73,"FinalRoundPerformance",2014
16,16,"Brian Davis",28,72.22,"FinalRoundPerformance",2014
17,17,"Charl Schwartzel",18,71.43,"FinalRoundPerformance",2014
18,18,"Marc Leishman",24,70.59,"FinalRoundPerformance",2014
18,18,"Carl Pettersson",28,70.59,"FinalRoundPerformance",2014
20,20,"Jonas Blixt",21,70,"FinalRoundPerformance",2014
20,20,"Chad Campbell",18,70,"FinalRoundPerformance",2014
22,22,"Billy Hurley III",26,68.75,"FinalRoundPerformance",2014
23,23,"John Senden",27,68.18,"FinalRoundPerformance",2014
24,24,"Charley Hoffman",25,66.67,"FinalRoundPerformance",2014
24,24,"Patrick Reed",28,66.67,"FinalRoundPerformance",2014
24,24,"Webb Simpson",25,66.67,"FinalRoundPerformance",2014
27,27,"Bubba Watson",21,64.71,"FinalRoundPerformance",2014
28,28,"John Huh",28,64.29,"FinalRoundPerformance",2014
28,28,"Tyrone Van Aswegen",25,64.29,"FinalRoundPerformance",2014
30,30,"Lee Westwood",18,63.64,"FinalRoundPerformance",2014
31,31,"Erik Compton",28,62.5,"FinalRoundPerformance",2014
31,31,"Jeff Overton",24,62.5,"FinalRoundPerformance",2014
31,31,"Brian Stuard",29,62.5,"FinalRoundPerformance",2014
31,31,"Kevin Tway",23,62.5,"FinalRoundPerformance",2014
35,35,"Matt Kuchar",24,61.9,"FinalRoundPerformance",2014
36,36,"Sangmoon Bae",24,61.54,"FinalRoundPerformance",2014
36,36,"James Hahn",27,61.54,"FinalRoundPerformance",2014
36,36,"Dustin Johnson",17,61.54,"FinalRoundPerformance",2014
36,36,"Ben Martin",26,61.54,"FinalRoundPerformance",2014
36,36,"Shawn Stefani",17,61.54,"FinalRoundPerformance",2014
41,41,"Hunter Mahan",25,61.11,"FinalRoundPerformance",2014
42,42,"Jordan Spieth",27,60.87,"FinalRoundPerformance",2014
43,43,"Jason Day",15,60,"FinalRoundPerformance",2014
43,43,"Luke Guthrie",26,60,"FinalRoundPerformance",2014
43,43,"David Hearn",28,60,"FinalRoundPerformance",2014
43,43,"Johnson Wagner",24,60,"FinalRoundPerformance",2014
43,43,"Charlie Wi",25,60,"FinalRoundPerformance",2014
48,48,"Jimmy Walker",27,59.09,"FinalRoundPerformance",2014
49,49,"Russell Henley",29,58.82,"FinalRoundPerformance",2014
49,49,"Jerry Kelly",23,58.82,"FinalRoundPerformance",2014
49,49,"Brendan Steele",26,58.82,"FinalRoundPerformance",2014
52,52,"Angel Cabrera",23,58.33,"FinalRoundPerformance",2014
52,52,"Paul Casey",16,58.33,"FinalRoundPerformance",2014
52,52,"Chesson Hadley",29,58.33,"FinalRoundPerformance",2014
52,52,"Charles Howell III",29,58.33,"FinalRoundPerformance",2014
52,52,"Nicholas Thompson",30,58.33,"FinalRoundPerformance",2014
57,57,"Will Ma Kenzie",27,57.14,"FinalRoundPerformance",2014
57,57,"Troy Matteson",23,57.14,"FinalRoundPerformance",2014
57,57,"Geoff Ogilvy",26,57.14,"FinalRoundPerformance",2014
60,60,"KJ Choi",23,56.25,"FinalRoundPerformance",2014
60,60,"Matt Every",26,56.25,"FinalRoundPerformance",2014
60,60,"Kevin Kisner",26,56.25,"FinalRoundPerformance",2014
60,60,"Kevin Streelman",24,56.25,"FinalRoundPerformance",2014
64,64,"Ricky Barnes",27,55.56,"FinalRoundPerformance",2014
64,64,"Chris Stroud",25,55.56,"FinalRoundPerformance",2014
64,64,"Camilo Villegas",29,55.56,"FinalRoundPerformance",2014
67,67,"Jim Furyk",21,55,"FinalRoundPerformance",2014
68,68,"Kevin Chappell",28,54.55,"FinalRoundPerformance",2014
68,68,"Tim Clark",26,54.55,"FinalRoundPerformance",2014
68,68,"Scott Stallings",28,54.55,"FinalRoundPerformance",2014
68,68,"Hudson Swafford",26,54.55,"FinalRoundPerformance",2014
72,72,"Cameron Tringale",31,54.17,"FinalRoundPerformance",2014
73,73,"Trevor Immelman",28,53.85,"FinalRoundPerformance",2014
73,73,"Ryo Ishikawa",24,53.85,"FinalRoundPerformance",2014
73,73,"Richard Lee",27,53.85,"FinalRoundPerformance",2014
76,76,"Martin Flores",26,53.33,"FinalRoundPerformance",2014
76,76,"Andres Romero",26,53.33,"FinalRoundPerformance",2014
78,78,"Stuart Appleby",29,52.94,"FinalRoundPerformance",2014
79,79,"Seung Yul Noh",27,52.63,"FinalRoundPerformance",2014
79,79,"Ryan Palmer",23,52.63,"FinalRoundPerformance",2014
79,79,"Brandt Snedeker",25,52.63,"FinalRoundPerformance",2014
82,82,"Justin Hicks",30,52.38,"FinalRoundPerformance",2014
83,83,"Zach Johnson",26,52.17,"FinalRoundPerformance",2014
83,83,"Michael Putnam",30,52.17,"FinalRoundPerformance",2014
85,85,"Chris Kirk",28,52,"FinalRoundPerformance",2014
85,85,"Brendon Todd",29,52,"FinalRoundPerformance",2014
87,87,"Robert Allenby",29,50,"FinalRoundPerformance",2014
87,87,"Charlie Beljan",26,50,"FinalRoundPerformance",2014
87,87,"Stewart Cink",25,50,"FinalRoundPerformance",2014
87,87,"Chad Collins",28,50,"FinalRoundPerformance",2014
87,87,"Ben Curtis",24,50,"FinalRoundPerformance",2014
87,87,"Luke Donald",17,50,"FinalRoundPerformance",2014
87,87,"Jason Dufner",17,50,"FinalRoundPerformance",2014
87,87,"Bill Haas",28,50,"FinalRoundPerformance",2014
87,87,"JJ Henry",28,50,"FinalRoundPerformance",2014
87,87,"Andrew Loupe",22,50,"FinalRoundPerformance",2014
87,87,"Jeff Maggert",19,50,"FinalRoundPerformance",2014
87,87,"Hideki Matsuyama",24,50,"FinalRoundPerformance",2014
87,87,"George McNeill",24,50,"FinalRoundPerformance",2014
87,87,"Kevin Na",27,50,"FinalRoundPerformance",2014
87,87,"John Peterson",25,50,"FinalRoundPerformance",2014
87,87,"Justin Rose",19,50,"FinalRoundPerformance",2014
87,87,"Daniel Summerhays",27,50,"FinalRoundPerformance",2014
87,87,"Josh Teater",28,50,"FinalRoundPerformance",2014
87,87,"Boo Weekley",24,50,"FinalRoundPerformance",2014
106,106,"Brendon de Jonge",31,47.83,"FinalRoundPerformance",2014
106,106,"Brian Harman",32,47.83,"FinalRoundPerformance",2014
108,108,"Ryan Moore",24,47.37,"FinalRoundPerformance",2014
109,109,"Pat Perez",25,47.06,"FinalRoundPerformance",2014
110,110,"Rory Sabbatini",26,46.67,"FinalRoundPerformance",2014
111,111,"Ken Duke",25,46.15,"FinalRoundPerformance",2014
111,111,"Martin Laird",20,46.15,"FinalRoundPerformance",2014
111,111,"Danny Lee",28,46.15,"FinalRoundPerformance",2014
114,114,"Derek Ernst",28,45.45,"FinalRoundPerformance",2014
114,114,"Tommy Gainey",26,45.45,"FinalRoundPerformance",2014
114,114,"Wes Roach",22,45.45,"FinalRoundPerformance",2014
114,114,"Heath Slocum",23,45.45,"FinalRoundPerformance",2014
114,114,"Gary Woodland",25,45.45,"FinalRoundPerformance",2014
114,114,"YE Yang",28,45.45,"FinalRoundPerformance",2014
120,120,"Russell Knox",26,45,"FinalRoundPerformance",2014
121,121,"Scott Langley",29,44.44,"FinalRoundPerformance",2014
121,121,"William McGirt",29,44.44,"FinalRoundPerformance",2014
121,121,"John Merrick",25,44.44,"FinalRoundPerformance",2014
121,121,"Mike Weir",25,44.44,"FinalRoundPerformance",2014
125,125,"Vijay Singh",25,43.75,"FinalRoundPerformance",2014
125,125,"Robert Streb",21,43.75,"FinalRoundPerformance",2014
127,127,"Lucas Glover",26,42.86,"FinalRoundPerformance",2014
127,127,"Bronson La Cassie",18,42.86,"FinalRoundPerformance",2014
127,127,"DH Lee",20,42.86,"FinalRoundPerformance",2014
127,127,"David Lingmerth",26,42.86,"FinalRoundPerformance",2014
127,127,"Phil Mickelson",21,42.86,"FinalRoundPerformance",2014
132,132,"Aaron Baddeley",24,41.67,"FinalRoundPerformance",2014
132,132,"Ian Poulter",17,41.67,"FinalRoundPerformance",2014
134,134,"Gonzalo Fdez Castano",25,41.18,"FinalRoundPerformance",2014
134,134,"Tim Wilkinson",25,41.18,"FinalRoundPerformance",2014
136,136,"Greg Chalmers",27,40,"FinalRoundPerformance",2014
136,136,"Robert Garrigus",25,40,"FinalRoundPerformance",2014
136,136,"Retief Goosen",26,40,"FinalRoundPerformance",2014
136,136,"Justin Leonard",22,40,"FinalRoundPerformance",2014
140,140,"Scott Brown",30,38.89,"FinalRoundPerformance",2014
