"CarryDistance_RANKTHISWEEK_2014","CarryDistance_RANKLASTWEEK_2014","CarryDistance_PLAYERNAME_2014","CarryDistance_ROUNDS_2014","CarryDistance_AVG_2014","CarryDistance_TOTALDISTTOIMPACT_2014","CarryDistance_TOTALATTEMPTS_2014","CarryDistance_LONGESTCARRYDISTANCE_2014","CarryDistance_SHORTESTCARRYDISTANCE_2014","stat_name","year"
1,1,"Bubba Watson",76,305,11591.5,38,336.6,282.1,"CarryDistance",2014
2,2,"Dustin Johnson",58,299.6,7490.6,25,323.6,274.3,"CarryDistance",2014
3,3,"Jason Day",54,298.8,5975.3,20,335.9,268.3,"CarryDistance",2014
4,4,"Andrew Loupe",65,298.1,9242.6,31,329.3,244.4,"CarryDistance",2014
5,5,"JB Holmes",86,297.7,15482.1,52,347.3,258.2,"CarryDistance",2014
6,6,"Rory McIlroy",66,296.1,10954.7,37,342.7,244.8,"CarryDistance",2014
7,7,"Brooks Koepka",56,296,9471.9,32,321.7,263.7,"CarryDistance",2014
8,8,"Graham DeLaet",80,294.2,14710.1,50,324.8,251.1,"CarryDistance",2014
8,8,"Jamie Lovemark",64,294.2,11768.2,40,330.9,263.6,"CarryDistance",2014
10,10,"Ryan Palmer",85,293.5,16728.2,57,343.2,250.3,"CarryDistance",2014
11,11,"Gary Woodland",93,293,16116.1,55,330.1,261.1,"CarryDistance",2014
12,12,"Charlie Beljan",76,292.7,16389.9,56,320.9,261.7,"CarryDistance",2014
13,13,"Jhonattan Vegas",77,291.1,16886.2,58,314,253.3,"CarryDistance",2014
14,14,"Sean OHair",77,290.7,14534,50,323.7,256.8,"CarryDistance",2014
15,15,"Robert Garrigus",80,290.5,16270.1,56,313,249.9,"CarryDistance",2014
16,16,"Jason Kokrak",65,290.1,13636.3,47,321.8,251.5,"CarryDistance",2014
17,17,"Rickie Fowler",91,288.9,16177.1,56,322.4,241.6,"CarryDistance",2014
18,18,"Scott Stallings",77,288.7,14434.1,50,326.7,269.4,"CarryDistance",2014
19,19,"Harris English",95,288.5,16443.6,57,313.8,240.1,"CarryDistance",2014
20,20,"Angel Cabrera",69,288.1,15846,55,319.9,246.4,"CarryDistance",2014
21,21,"Charles Howell III",106,288,25345.5,88,332.1,248,"CarryDistance",2014
22,22,"Keegan Bradley",89,287.6,14952.6,52,307.3,250,"CarryDistance",2014
22,22,"Davis Love III",74,287.6,13515.7,47,320.1,257.5,"CarryDistance",2014
24,24,"Charley Hoffman",93,287.2,20967.7,73,323,246.4,"CarryDistance",2014
25,25,"Henrik Stenson",56,287,6026.4,21,311.6,264.2,"CarryDistance",2014
26,26,"Brendan Steele",89,286.6,17198.2,60,316.5,256.3,"CarryDistance",2014
27,27,"Hudson Swafford",75,286.2,13739.5,48,329.8,248.2,"CarryDistance",2014
28,28,"Phil Mickelson",71,285.5,9420.7,33,305.9,259.7,"CarryDistance",2014
29,29,"Jimmy Walker",98,285.3,14836.3,52,316.5,249.8,"CarryDistance",2014
30,30,"Adam Scott",68,285.2,11410,40,328.6,249.1,"CarryDistance",2014
31,31,"Seung Yul Noh",92,285,16244.5,57,309.3,235.6,"CarryDistance",2014
32,32,"Matt Jones",83,284.9,15099.6,53,311.4,249,"CarryDistance",2014
32,32,"Robert Streb",75,284.9,15102,53,342.4,251.6,"CarryDistance",2014
34,34,"Derek Ernst",80,284.8,13669.3,48,317.8,254.2,"CarryDistance",2014
35,35,"Will Wilcox",51,284.6,9107.3,32,325.5,230.3,"CarryDistance",2014
36,36,"Justin Rose",70,284.5,12235,43,316.6,258.2,"CarryDistance",2014
37,37,"Kyle Stanley",87,283.9,17598.8,62,316.4,247.5,"CarryDistance",2014
38,38,"Billy Horschel",92,283.7,16169.4,57,324.6,250.7,"CarryDistance",2014
39,39,"Russell Henley",92,283.6,18716,66,321.1,258.1,"CarryDistance",2014
40,40,"Morgan Hoffmann",103,283.4,21820.7,77,318.1,244.4,"CarryDistance",2014
40,40,"Martin Laird",66,283.4,10770.8,38,307.7,249.7,"CarryDistance",2014
42,42,"Aaron Baddeley",74,283.3,13600.7,48,319.4,253.8,"CarryDistance",2014
43,43,"Marc Leishman",81,282.9,16972.9,60,324.2,252.2,"CarryDistance",2014
43,43,"Nick Watney",80,282.9,12165.4,43,309.9,256.2,"CarryDistance",2014
45,45,"Hideki Matsuyama",82,282.8,16966.5,60,314,256.7,"CarryDistance",2014
46,46,"Hunter Mahan",88,282.7,20074.1,71,311.5,252.9,"CarryDistance",2014
47,47,"Josh Teater",90,282.5,20340.8,72,312.8,244.6,"CarryDistance",2014
48,48,"Sergio Garcia",61,282.2,7055.7,25,310.2,252.6,"CarryDistance",2014
48,48,"Geoff Ogilvy",84,282.2,17213.9,61,314.3,247,"CarryDistance",2014
50,50,"Bud Cauley",56,281.7,12113.7,43,312.7,250.1,"CarryDistance",2014
51,51,"Patrick Reed",92,281.1,15178.7,54,309.6,249.9,"CarryDistance",2014
52,52,"Tyrone Van Aswegen",79,280.7,11227.1,40,307.6,234,"CarryDistance",2014
53,53,"Kevin Tway",64,280.6,12347.2,44,304.4,239.6,"CarryDistance",2014
54,54,"Stewart Cink",91,280.5,16270.7,58,326.5,250.9,"CarryDistance",2014
54,54,"Louis Oosthuizen",50,280.5,5889.7,21,309.1,245.2,"CarryDistance",2014
56,56,"Lucas Glover",68,280.4,12338.8,44,309.1,244.5,"CarryDistance",2014
57,57,"Bill Haas",107,280.3,19904.2,71,306.2,232.3,"CarryDistance",2014
58,58,"Kevin Chappell",100,280.1,21567.8,77,309.6,250.8,"CarryDistance",2014
59,59,"Martin Kaymer",65,279.9,12313.4,44,303.4,242.2,"CarryDistance",2014
60,60,"Andres Romero",81,279.8,14268.2,51,304.3,247.6,"CarryDistance",2014
61,61,"Steven Bowditch",93,279.7,19858.1,71,311.6,239,"CarryDistance",2014
62,62,"Martin Flores",85,279.5,17608.6,63,318.9,252,"CarryDistance",2014
62,62,"Shawn Stefani",60,279.5,13415.8,48,309.2,237.9,"CarryDistance",2014
64,64,"JJ Henry",91,278.7,18670.7,67,301.4,251.8,"CarryDistance",2014
65,65,"Charl Schwartzel",64,278.5,11420.5,41,307.3,237.3,"CarryDistance",2014
66,66,"Brad Fritsch",50,278.2,8901.7,32,305.7,254.4,"CarryDistance",2014
67,67,"James Hahn",82,278,16959.8,61,310,231.3,"CarryDistance",2014
68,68,"Paul Casey",56,277.8,10279.9,37,307.9,237.1,"CarryDistance",2014
69,69,"Webb Simpson",87,277.6,18046.5,65,293.3,244.8,"CarryDistance",2014
70,70,"Michael Putnam",106,277.5,20809.6,75,312.3,247.2,"CarryDistance",2014
71,71,"Kevin Stadler",90,277.4,15814.1,57,298.7,222.8,"CarryDistance",2014
72,72,"Lee Westwood",57,277.3,8873.9,32,295.3,257.1,"CarryDistance",2014
73,73,"Tommy Gainey",73,277.2,14415.1,52,300.4,246.9,"CarryDistance",2014
74,74,"Ernie Els",85,277,15512.4,56,311.1,246.2,"CarryDistance",2014
74,74,"John Rollins",84,277,15236,55,296.3,229.3,"CarryDistance",2014
