"MoneyLeaders_RANKTHISWEEK_2015","MoneyLeaders_RANKLASTWEEK_2015","MoneyLeaders_PLAYERNAME_2015","MoneyLeaders_EVENTS_2015","MoneyLeaders_MONEY_2015","MoneyLeaders_YTDVICTORIES_2015","stat_name","year"
1,1,"Jordan Spieth",25,12030465,5,"MoneyLeaders",2015
2,2,"Jason Day",20,9403330,5,"MoneyLeaders",2015
3,3,"Bubba Watson",19,6876797,2,"MoneyLeaders",2015
4,4,"Rickie Fowler",21,5773430,2,"MoneyLeaders",2015
5,5,"Dustin Johnson",21,5509467,1,"MoneyLeaders",2015
6,6,"Justin Rose",20,5462677,1,"MoneyLeaders",2015
7,7,"Rory McIlroy",12,4863312,2,"MoneyLeaders",2015
8,8,"Zach Johnson",25,4801487,1,"MoneyLeaders",2015
9,9,"Henrik Stenson",16,4755070,NA,"MoneyLeaders",2015
10,10,"Jimmy Walker",24,4521350,2,"MoneyLeaders",2015
11,11,"Charley Hoffman",28,4041089,1,"MoneyLeaders",2015
12,12,"JB Holmes",25,4037430,1,"MoneyLeaders",2015
13,13,"Danny Lee",36,3965933,1,"MoneyLeaders",2015
14,14,"Robert Streb",30,3947424,1,"MoneyLeaders",2015
15,15,"Hideki Matsuyama",25,3758619,NA,"MoneyLeaders",2015
16,16,"Jim Furyk",19,3732664,1,"MoneyLeaders",2015
17,17,"Brandt Snedeker",27,3698056,1,"MoneyLeaders",2015
18,18,"Patrick Reed",27,3590566,1,"MoneyLeaders",2015
19,19,"Brooks Koepka",23,3571900,1,"MoneyLeaders",2015
20,20,"Kevin Kisner",30,3567939,NA,"MoneyLeaders",2015
21,21,"Paul Casey",24,3488311,NA,"MoneyLeaders",2015
22,22,"Louis Oosthuizen",20,3251174,NA,"MoneyLeaders",2015
23,23,"Steven Bowditch",32,3075410,1,"MoneyLeaders",2015
24,24,"Bill Haas",25,3064024,1,"MoneyLeaders",2015
25,25,"Daniel Berger",31,3028901,NA,"MoneyLeaders",2015
26,26,"Kevin Na",27,2820766,NA,"MoneyLeaders",2015
27,27,"Scott Piercy",28,2780027,1,"MoneyLeaders",2015
28,28,"Matt Kuchar",25,2774170,NA,"MoneyLeaders",2015
29,29,"David Lingmerth",28,2736378,1,"MoneyLeaders",2015
30,30,"Ben Martin",27,2717305,1,"MoneyLeaders",2015
31,31,"Sergio Garcia",15,2670229,NA,"MoneyLeaders",2015
32,32,"Ryan Moore",24,2642306,1,"MoneyLeaders",2015
33,33,"Gary Woodland",24,2605083,NA,"MoneyLeaders",2015
34,34,"Sangmoon Bae",30,2599632,1,"MoneyLeaders",2015
35,35,"Chris Kirk",21,2369326,1,"MoneyLeaders",2015
36,36,"Jason Bohn",27,2337580,NA,"MoneyLeaders",2015
37,37,"Justin Thomas",30,2278564,NA,"MoneyLeaders",2015
38,38,"Phil Mickelson",19,2154200,NA,"MoneyLeaders",2015
39,39,"Russell Henley",24,2110774,NA,"MoneyLeaders",2015
40,40,"Tony Finau",31,2095186,NA,"MoneyLeaders",2015
41,41,"Troy Merritt",29,2092669,1,"MoneyLeaders",2015
42,42,"James Hahn",28,2064783,1,"MoneyLeaders",2015
43,43,"Webb Simpson",22,2046260,NA,"MoneyLeaders",2015
44,44,"Matt Jones",25,1995553,NA,"MoneyLeaders",2015
45,45,"Ryan Palmer",22,1974523,NA,"MoneyLeaders",2015
46,46,"Harris English",29,1971687,NA,"MoneyLeaders",2015
47,47,"Russell Knox",28,1916666,NA,"MoneyLeaders",2015
48,48,"Cameron Tringale",28,1837164,NA,"MoneyLeaders",2015
49,49,"David Hearn",30,1817043,NA,"MoneyLeaders",2015
