"Scrambling_RANKTHISWEEK_2007","Scrambling_RANKLASTWEEK_2007","Scrambling_PLAYERNAME_2007","Scrambling_ROUNDS_2007","Scrambling_Pct_2007","Scrambling_PARORBETTER_2007","Scrambling_MISSEDGIR_2007","stat_name","year"
1,1,"Chris Riley",59,65.33,245,375,"Scrambling",2007
2,2,"Rory Sabbatini",81,63.92,349,546,"Scrambling",2007
3,3,"Kevin Na",84,63.65,366,575,"Scrambling",2007
4,4,"Tim Clark",66,63.6,283,445,"Scrambling",2007
5,5,"Matt Kuchar",85,63.41,324,511,"Scrambling",2007
6,6,"Jose Coceres",50,63.17,199,315,"Scrambling",2007
7,7,"Jeff Overton",60,62.46,203,325,"Scrambling",2007
8,8,"Michael Sim",52,62.35,207,332,"Scrambling",2007
9,9,"KJ Choi",87,62.34,331,531,"Scrambling",2007
10,10,"Gavin Coles",87,62.08,347,559,"Scrambling",2007
11,11,"Alex Cejka",80,62,266,429,"Scrambling",2007
12,12,"Craig Bowden",78,61.88,297,480,"Scrambling",2007
12,12,"John Mallinger",96,61.88,396,640,"Scrambling",2007
14,14,"Corey Pavin",81,61.71,353,572,"Scrambling",2007
15,15,"Padraig Harrington",64,61.63,273,443,"Scrambling",2007
16,16,"Heath Slocum",101,61.48,375,610,"Scrambling",2007
17,17,"Brandt Snedeker",105,61.18,394,644,"Scrambling",2007
18,18,"Scott Verplank",82,61.15,318,520,"Scrambling",2007
19,19,"Brian Gay",107,61.14,420,687,"Scrambling",2007
20,20,"Tiger Woods",63,61.02,191,313,"Scrambling",2007
21,21,"Steve Stricker",81,60.98,300,492,"Scrambling",2007
22,22,"Nathan Green",103,60.97,414,679,"Scrambling",2007
23,23,"Ken Duke",112,60.95,423,694,"Scrambling",2007
24,24,"Woody Austin",95,60.85,359,590,"Scrambling",2007
25,25,"Aaron Baddeley",83,60.6,346,571,"Scrambling",2007
26,26,"Tim Petrovic",106,60.59,429,708,"Scrambling",2007
26,26,"Dicky Pride",71,60.59,266,439,"Scrambling",2007
28,28,"Mark Wilson",87,60.57,318,525,"Scrambling",2007
29,29,"Jim Furyk",84,60.53,273,451,"Scrambling",2007
30,30,"Zach Johnson",76,60.42,290,480,"Scrambling",2007
31,31,"Daniel Chopra",106,60.39,401,664,"Scrambling",2007
32,32,"Steve Elkington",87,60.33,333,552,"Scrambling",2007
33,33,"Mark Brooks",53,60.32,187,310,"Scrambling",2007
34,34,"Doug LaBelle II",104,60.28,387,642,"Scrambling",2007
35,35,"Bo Van Pelt",104,60.25,379,629,"Scrambling",2007
36,36,"Sean OHair",98,60.17,349,580,"Scrambling",2007
37,37,"Ernie Els",59,60.16,222,369,"Scrambling",2007
38,38,"Craig Lile",77,60.12,300,499,"Scrambling",2007
39,39,"Justin Leonard",95,59.97,361,602,"Scrambling",2007
40,40,"Tom Pernice Jr",104,59.94,428,714,"Scrambling",2007
41,41,"Justin Rose",63,59.89,218,364,"Scrambling",2007
42,42,"Peter Lonard",85,59.88,309,516,"Scrambling",2007
43,43,"Jason Schultz",63,59.85,240,401,"Scrambling",2007
44,44,"Marco Dawson",73,59.78,278,465,"Scrambling",2007
45,45,"Briny Baird",115,59.77,367,614,"Scrambling",2007
46,46,"Arron Oberholser",69,59.74,276,462,"Scrambling",2007
47,47,"Brian Davis",101,59.65,380,637,"Scrambling",2007
48,48,"Ryuji Imada",104,59.61,400,671,"Scrambling",2007
48,48,"Craig Kanada",109,59.61,400,671,"Scrambling",2007
