"Approachesfrominside100yardsRgh_RANKTHISWEEK_2006","Approachesfrominside100yardsRgh_RANKLASTWEEK_2006","Approachesfrominside100yardsRgh_PLAYERNAME_2006","Approachesfrominside100yardsRgh_ROUNDS_2006","Approachesfrominside100yardsRgh_AVG_2006","Approachesfrominside100yardsRgh_TOTALDISTANCEFEET_2006","Approachesfrominside100yardsRgh_OFATTEMPTS_2006","Approachesfrominside100yardsRgh_RELATIVETOPAR_2006","stat_name","year"
1,1,"Tiger Woods",55,NA,244.25,15,-1,"Approachesfrominside100yardsRgh",2006
2,2,"Padraig Harrington",54,NA,508.167,29,-2,"Approachesfrominside100yardsRgh",2006
3,3,"Adam Scott",70,NA,430.333,24,1,"Approachesfrominside100yardsRgh",2006
4,4,"Zach Johnson",98,NA,631.5,33,5,"Approachesfrominside100yardsRgh",2006
5,5,"Jonathan Byrd",66,NA,549.417,28,-2,"Approachesfrominside100yardsRgh",2006
6,6,"Skip Kendall",72,NA,473.583,24,3,"Approachesfrominside100yardsRgh",2006
7,7,"Daisuke Maruyama",83,NA,476.083,24,-1,"Approachesfrominside100yardsRgh",2006
8,8,"Justin Leonard",83,NA,577.5,29,7,"Approachesfrominside100yardsRgh",2006
9,9,"Greg Owen",79,NA,598.833,30,6,"Approachesfrominside100yardsRgh",2006
10,10,"Tom Pernice Jr",108,NA,710.75,35,-3,"Approachesfrominside100yardsRgh",2006
11,11,"Briny Baird",81,NA,532.833,26,-5,"Approachesfrominside100yardsRgh",2006
11,11,"Marco Dawson",87,NA,882.417,43,1,"Approachesfrominside100yardsRgh",2006
11,11,"Chris Riley",86,NA,595.25,29,5,"Approachesfrominside100yardsRgh",2006
14,14,"Richard Johnson",94,NA,659.667,32,11,"Approachesfrominside100yardsRgh",2006
15,15,"Paul Goydos",72,NA,581.083,28,2,"Approachesfrominside100yardsRgh",2006
16,16,"Fred Funk",106,NA,707.667,34,-5,"Approachesfrominside100yardsRgh",2006
16,16,"JP Hayes",55,NA,584.333,28,-3,"Approachesfrominside100yardsRgh",2006
16,16,"Jerry Smith",94,NA,959.667,46,8,"Approachesfrominside100yardsRgh",2006
19,19,"David Toms",76,NA,842.083,40,5,"Approachesfrominside100yardsRgh",2006
20,20,"Michael Connell",51,NA,465.5,22,1,"Approachesfrominside100yardsRgh",2006
21,21,"Todd Fischer",101,NA,1272.583,60,1,"Approachesfrominside100yardsRgh",2006
21,21,"Frank Lickliter II",99,NA,998.417,47,2,"Approachesfrominside100yardsRgh",2006
21,21,"Ian Poulter",53,NA,403.667,19,8,"Approachesfrominside100yardsRgh",2006
21,21,"Kirk Triplett",58,NA,445.833,21,5,"Approachesfrominside100yardsRgh",2006
25,25,"Sergio Garcia",59,NA,447.833,21,3,"Approachesfrominside100yardsRgh",2006
25,25,"Trevor Immelman",86,NA,704.917,33,2,"Approachesfrominside100yardsRgh",2006
25,25,"Jeff Sluman",101,NA,725.417,34,3,"Approachesfrominside100yardsRgh",2006
28,28,"Eric Axley",91,NA,776.75,36,-2,"Approachesfrominside100yardsRgh",2006
29,29,"Tim Herron",82,NA,912.667,42,9,"Approachesfrominside100yardsRgh",2006
29,29,"Paul Stankowski",70,NA,544.583,25,2,"Approachesfrominside100yardsRgh",2006
31,31,"Brian Davis",92,NA,962.167,44,9,"Approachesfrominside100yardsRgh",2006
31,31,"Jonathan Kaye",95,NA,981.667,45,4,"Approachesfrominside100yardsRgh",2006
33,33,"Stephen Ames",63,NA,439.583,20,2,"Approachesfrominside100yardsRgh",2006
34,34,"Tom Lehman",70,NA,331,15,4,"Approachesfrominside100yardsRgh",2006
35,35,"Thomas Levet",53,NA,289.333,13,11,"Approachesfrominside100yardsRgh",2006
35,35,"Pat Perez",50,NA,666.917,30,1,"Approachesfrominside100yardsRgh",2006
37,37,"Woody Austin",107,NA,960.583,43,7,"Approachesfrominside100yardsRgh",2006
37,37,"Brian Gay",107,NA,893.667,40,-2,"Approachesfrominside100yardsRgh",2006
39,39,"Stewart Cink",93,NA,873.167,39,1,"Approachesfrominside100yardsRgh",2006
