"NonWGCFedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2010","NonWGCFedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2010","NonWGCFedExCupSeasonPointsforNonMembers_PLAYERNAME_2010","NonWGCFedExCupSeasonPointsforNonMembers_EVENTS_2010","NonWGCFedExCupSeasonPointsforNonMembers_POINTS_2010","stat_name","year"
1,1,"Lee Westwood",11,1515,"NonWGCFedExCupSeasonPointsforNonMembers",2010
2,2,"Martin Kaymer",10,811,"NonWGCFedExCupSeasonPointsforNonMembers",2010
3,3,"Graeme McDowell",10,681,"NonWGCFedExCupSeasonPointsforNonMembers",2010
4,4,"Louis Oosthuizen",5,600,"NonWGCFedExCupSeasonPointsforNonMembers",2010
5,5,"Arjun Atwal",10,500,"NonWGCFedExCupSeasonPointsforNonMembers",2010
6,6,"Robert Karlsson",11,476,"NonWGCFedExCupSeasonPointsforNonMembers",2010
7,7,"Charl Schwartzel",11,378,"NonWGCFedExCupSeasonPointsforNonMembers",2010
8,8,"Edoardo Molinari",8,339,"NonWGCFedExCupSeasonPointsforNonMembers",2010
9,9,"Gregory Havret",2,330,"NonWGCFedExCupSeasonPointsforNonMembers",2010
10,10,"Bob Heintz",3,188,"NonWGCFedExCupSeasonPointsforNonMembers",2010
11,11,"Francesco Molinari",8,162,"NonWGCFedExCupSeasonPointsforNonMembers",2010
12,12,"Soren Kjeldsen",7,143,"NonWGCFedExCupSeasonPointsforNonMembers",2010
13,13,"Ryo Ishikawa",10,138,"NonWGCFedExCupSeasonPointsforNonMembers",2010
14,14,"WC Liang",4,131,"NonWGCFedExCupSeasonPointsforNonMembers",2010
15,15,"Alvaro Quiros",9,129,"NonWGCFedExCupSeasonPointsforNonMembers",2010
16,16,"Peter Hanson",7,124,"NonWGCFedExCupSeasonPointsforNonMembers",2010
17,17,"Miguel Angel Jimenez",7,110,"NonWGCFedExCupSeasonPointsforNonMembers",2010
18,18,"Stephen Gallacher",2,98,"NonWGCFedExCupSeasonPointsforNonMembers",2010
19,19,"Robert Rock",1,91,"NonWGCFedExCupSeasonPointsforNonMembers",2010
20,20,"Simon Dyson",8,90,"NonWGCFedExCupSeasonPointsforNonMembers",2010
21,21,"Yuta Ikeda",11,74,"NonWGCFedExCupSeasonPointsforNonMembers",2010
22,22,"Sam Saunders",7,71,"NonWGCFedExCupSeasonPointsforNonMembers",2010
23,23,"Thongchai Jaidee",8,70,"NonWGCFedExCupSeasonPointsforNonMembers",2010
24,24,"Seung Yul Noh",5,69,"NonWGCFedExCupSeasonPointsforNonMembers",2010
25,25,"Oliver Wilson",9,68,"NonWGCFedExCupSeasonPointsforNonMembers",2010
26,26,"Ross Fisher",10,63,"NonWGCFedExCupSeasonPointsforNonMembers",2010
27,27,"Simon Khan",4,60,"NonWGCFedExCupSeasonPointsforNonMembers",2010
28,28,"Erik Compton",7,56,"NonWGCFedExCupSeasonPointsforNonMembers",2010
29,29,"Ignacio Garrido",1,55,"NonWGCFedExCupSeasonPointsforNonMembers",2010
30,30,"Ken Duke",3,47,"NonWGCFedExCupSeasonPointsforNonMembers",2010
31,31,"Darren Clarke",2,46,"NonWGCFedExCupSeasonPointsforNonMembers",2010
32,32,"Alejandro Canizares",2,45,"NonWGCFedExCupSeasonPointsforNonMembers",2010
33,33,"Kyle Stanley",3,42,"NonWGCFedExCupSeasonPointsforNonMembers",2010
34,34,"David Horsey",2,41,"NonWGCFedExCupSeasonPointsforNonMembers",2010
35,35,"KT Kim",2,40,"NonWGCFedExCupSeasonPointsforNonMembers",2010
36,36,"Bradley Dredge",1,40,"NonWGCFedExCupSeasonPointsforNonMembers",2010
36,36,"Marcel Siem",1,40,"NonWGCFedExCupSeasonPointsforNonMembers",2010
38,38,"Gonzalo Fdez Castano",3,36,"NonWGCFedExCupSeasonPointsforNonMembers",2010
39,39,"Brandt Jobe",1,35,"NonWGCFedExCupSeasonPointsforNonMembers",2010
40,40,"Tag Ridings",1,34,"NonWGCFedExCupSeasonPointsforNonMembers",2010
41,41,"Michael Putnam",1,32,"NonWGCFedExCupSeasonPointsforNonMembers",2010
42,42,"Shane Lowry",2,31,"NonWGCFedExCupSeasonPointsforNonMembers",2010
42,42,"Colm Moriarty",1,31,"NonWGCFedExCupSeasonPointsforNonMembers",2010
44,44,"Rob Grube",1,29,"NonWGCFedExCupSeasonPointsforNonMembers",2010
44,44,"Adam Hadwin",1,29,"NonWGCFedExCupSeasonPointsforNonMembers",2010
44,44,"Brock Mackenzie",1,29,"NonWGCFedExCupSeasonPointsforNonMembers",2010
44,44,"Ross McGowan",6,29,"NonWGCFedExCupSeasonPointsforNonMembers",2010
48,48,"Bobby Gates",2,28,"NonWGCFedExCupSeasonPointsforNonMembers",2010
49,49,"Mike Small",6,27,"NonWGCFedExCupSeasonPointsforNonMembers",2010
50,50,"Drew Weaver",2,27,"NonWGCFedExCupSeasonPointsforNonMembers",2010
51,51,"Steve Allan",2,26,"NonWGCFedExCupSeasonPointsforNonMembers",2010
52,52,"Todd Fischer",1,24,"NonWGCFedExCupSeasonPointsforNonMembers",2010
53,53,"Benjamin Fox",3,22,"NonWGCFedExCupSeasonPointsforNonMembers",2010
54,54,"Jamie Lovemark",3,22,"NonWGCFedExCupSeasonPointsforNonMembers",2010
54,54,"Jhonattan Vegas",1,22,"NonWGCFedExCupSeasonPointsforNonMembers",2010
56,56,"Jon Mills",1,21,"NonWGCFedExCupSeasonPointsforNonMembers",2010
56,56,"Jerry Richardson Jr",1,21,"NonWGCFedExCupSeasonPointsforNonMembers",2010
58,58,"Jason Allred",1,19,"NonWGCFedExCupSeasonPointsforNonMembers",2010
58,58,"Rafa Cabrera Bello",1,19,"NonWGCFedExCupSeasonPointsforNonMembers",2010
58,58,"Jim Herman",1,19,"NonWGCFedExCupSeasonPointsforNonMembers",2010
61,61,"Colin Montgomerie",3,18,"NonWGCFedExCupSeasonPointsforNonMembers",2010
62,62,"Danny Chia",1,14,"NonWGCFedExCupSeasonPointsforNonMembers",2010
62,62,"Zane Scotland",1,14,"NonWGCFedExCupSeasonPointsforNonMembers",2010
64,64,"Seungsu Han",1,14,"NonWGCFedExCupSeasonPointsforNonMembers",2010
64,64,"Thomas Levet",2,14,"NonWGCFedExCupSeasonPointsforNonMembers",2010
64,64,"Santiago Luna",1,14,"NonWGCFedExCupSeasonPointsforNonMembers",2010
67,67,"Toru Taniguchi",2,13,"NonWGCFedExCupSeasonPointsforNonMembers",2010
68,68,"Gregory Bourdy",2,12,"NonWGCFedExCupSeasonPointsforNonMembers",2010
69,69,"Daniel Barbetti",1,11,"NonWGCFedExCupSeasonPointsforNonMembers",2010
69,69,"Hiroyuki Fujita",4,11,"NonWGCFedExCupSeasonPointsforNonMembers",2010
69,69,"Peter Gustafsson",1,11,"NonWGCFedExCupSeasonPointsforNonMembers",2010
69,69,"Manuel Villegas",2,11,"NonWGCFedExCupSeasonPointsforNonMembers",2010
73,73,"Matt Hill",5,10,"NonWGCFedExCupSeasonPointsforNonMembers",2010
74,74,"Fredrik Andersson Hed",2,10,"NonWGCFedExCupSeasonPointsforNonMembers",2010
75,75,"Jeff Burns",1,10,"NonWGCFedExCupSeasonPointsforNonMembers",2010
76,76,"Rhys Davies",4,9,"NonWGCFedExCupSeasonPointsforNonMembers",2010
77,77,"Alexandre Rocha",1,9,"NonWGCFedExCupSeasonPointsforNonMembers",2010
78,78,"Peter Senior",1,8,"NonWGCFedExCupSeasonPointsforNonMembers",2010
79,79,"Jason Schultz",1,7,"NonWGCFedExCupSeasonPointsforNonMembers",2010
80,80,"Gareth Maybin",2,6,"NonWGCFedExCupSeasonPointsforNonMembers",2010
80,80,"Chris Rogers",2,6,"NonWGCFedExCupSeasonPointsforNonMembers",2010
82,82,"Billy Hurley III",1,4,"NonWGCFedExCupSeasonPointsforNonMembers",2010
83,83,"Rob Labritz",1,3,"NonWGCFedExCupSeasonPointsforNonMembers",2010
83,83,"Ryuichi Oda",2,3,"NonWGCFedExCupSeasonPointsforNonMembers",2010
85,85,"Erick Justesen",1,2,"NonWGCFedExCupSeasonPointsforNonMembers",2010
86,86,"Hirofumi Miyase",1,2,"NonWGCFedExCupSeasonPointsforNonMembers",2010
86,86,"Steven Tiley",1,2,"NonWGCFedExCupSeasonPointsforNonMembers",2010
88,88,"Casey Wittenberg",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2010
89,89,"Andrew Coltart",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2010
89,89,"Phil Schmitt",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2010
