"GIRPctFairwayBunker_RANKTHISWEEK_2014","GIRPctFairwayBunker_RANKLASTWEEK_2014","GIRPctFairwayBunker_PLAYERNAME_2014","GIRPctFairwayBunker_ROUNDS_2014","GIRPctFairwayBunker_Pct_2014","GIRPctFairwayBunker_GREENSHIT_2014","GIRPctFairwayBunker_HOLES_2014","GIRPctFairwayBunker_RELATIVEPAR_2014","stat_name","year"
1,1,"Charley Hoffman",93,69,49,71,-10,"GIRPctFairwayBunker",2014
2,2,"Harris English",95,66.7,42,63,-9,"GIRPctFairwayBunker",2014
3,3,"KJ Choi",80,64.3,36,56,-2,"GIRPctFairwayBunker",2014
4,4,"Stuart Appleby",92,62.5,45,72,-11,"GIRPctFairwayBunker",2014
5,5,"Ryan Palmer",85,61.5,32,52,-7,"GIRPctFairwayBunker",2014
6,6,"Ryo Ishikawa",75,61.2,41,67,-7,"GIRPctFairwayBunker",2014
7,7,"Angel Cabrera",69,60,24,40,-5,"GIRPctFairwayBunker",2014
7,7,"Rory Sabbatini",82,60,45,75,-8,"GIRPctFairwayBunker",2014
9,9,"John Rollins",84,59.6,34,57,-10,"GIRPctFairwayBunker",2014
10,10,"Stewart Cink",91,59,36,61,-4,"GIRPctFairwayBunker",2014
11,11,"George McNeill",79,57.8,37,64,-8,"GIRPctFairwayBunker",2014
12,12,"Robert Allenby",83,57.4,35,61,-6,"GIRPctFairwayBunker",2014
12,12,"Hunter Mahan",88,57.4,35,61,-4,"GIRPctFairwayBunker",2014
14,14,"Troy Matteson",62,56.9,29,51,-6,"GIRPctFairwayBunker",2014
15,15,"Davis Love III",74,56.7,34,60,-6,"GIRPctFairwayBunker",2014
16,16,"Sergio Garcia",61,56.4,22,39,-4,"GIRPctFairwayBunker",2014
17,17,"John Huh",87,56.1,23,41,-3,"GIRPctFairwayBunker",2014
18,18,"Jason Kokrak",65,56,28,50,-4,"GIRPctFairwayBunker",2014
19,19,"Michael Thompson",74,55.6,30,54,-10,"GIRPctFairwayBunker",2014
20,20,"Aaron Baddeley",74,55.2,32,58,-9,"GIRPctFairwayBunker",2014
21,21,"Bud Cauley",56,55,33,60,-7,"GIRPctFairwayBunker",2014
21,21,"Martin Laird",66,55,22,40,-5,"GIRPctFairwayBunker",2014
23,23,"Charles Howell III",106,54.7,52,95,-9,"GIRPctFairwayBunker",2014
23,23,"Matt Jones",83,54.7,35,64,-12,"GIRPctFairwayBunker",2014
25,25,"Freddie Jacobson",91,54.5,42,77,-11,"GIRPctFairwayBunker",2014
26,26,"Jonathan Byrd",76,54,27,50,-7,"GIRPctFairwayBunker",2014
27,27,"Brandt Snedeker",89,53.8,35,65,-12,"GIRPctFairwayBunker",2014
27,27,"Kyle Stanley",87,53.8,35,65,-5,"GIRPctFairwayBunker",2014
29,29,"Camilo Villegas",95,53.5,38,71,-2,"GIRPctFairwayBunker",2014
30,30,"Kevin Tway",64,53.3,24,45,1,"GIRPctFairwayBunker",2014
31,31,"Chad Campbell",57,52.6,20,38,-6,"GIRPctFairwayBunker",2014
31,31,"Retief Goosen",94,52.6,41,78,-8,"GIRPctFairwayBunker",2014
33,33,"Andrew Svoboda",77,52.5,31,59,-9,"GIRPctFairwayBunker",2014
33,33,"Johnson Wagner",69,52.5,31,59,-5,"GIRPctFairwayBunker",2014
35,35,"Chad Collins",78,52.3,23,44,0,"GIRPctFairwayBunker",2014
35,35,"Daniel Summerhays",98,52.3,34,65,-6,"GIRPctFairwayBunker",2014
37,37,"Carl Pettersson",91,52.1,38,73,-7,"GIRPctFairwayBunker",2014
38,38,"Morgan Hoffmann",103,51.8,44,85,-6,"GIRPctFairwayBunker",2014
39,39,"Brad Fritsch",50,51.7,15,29,-3,"GIRPctFairwayBunker",2014
39,39,"John Merrick",87,51.7,31,60,0,"GIRPctFairwayBunker",2014
39,39,"Bryce Molder",77,51.7,30,58,-5,"GIRPctFairwayBunker",2014
42,42,"Graham DeLaet",80,51.6,33,64,-7,"GIRPctFairwayBunker",2014
42,42,"Marc Leishman",81,51.6,32,62,-8,"GIRPctFairwayBunker",2014
42,42,"William McGirt",96,51.6,33,64,-6,"GIRPctFairwayBunker",2014
42,42,"Geoff Ogilvy",84,51.6,33,64,-5,"GIRPctFairwayBunker",2014
42,42,"Ted Potter Jr",68,51.6,16,31,-1,"GIRPctFairwayBunker",2014
47,47,"Seung Yul Noh",92,51.5,34,66,-9,"GIRPctFairwayBunker",2014
47,47,"Andres Romero",81,51.5,34,66,-2,"GIRPctFairwayBunker",2014
49,49,"Steven Bowditch",93,51.4,37,72,-6,"GIRPctFairwayBunker",2014
49,49,"Jim Herman",62,51.4,18,35,-1,"GIRPctFairwayBunker",2014
49,49,"Brendan Steele",89,51.4,37,72,-10,"GIRPctFairwayBunker",2014
52,52,"Brooks Koepka",56,51.3,20,39,-8,"GIRPctFairwayBunker",2014
53,53,"David Hearn",97,51.2,43,84,-6,"GIRPctFairwayBunker",2014
53,53,"Shawn Stefani",60,51.2,21,41,-4,"GIRPctFairwayBunker",2014
55,55,"Hideki Matsuyama",82,50.9,28,55,-1,"GIRPctFairwayBunker",2014
55,55,"John Peterson",62,50.9,28,55,-3,"GIRPctFairwayBunker",2014
55,55,"Scott Stallings",77,50.9,28,55,0,"GIRPctFairwayBunker",2014
55,55,"Hudson Swafford",75,50.9,28,55,-7,"GIRPctFairwayBunker",2014
59,59,"Keegan Bradley",89,50.8,32,63,-10,"GIRPctFairwayBunker",2014
59,59,"Nicholas Thompson",85,50.8,30,59,-3,"GIRPctFairwayBunker",2014
61,61,"Brendon Todd",108,50.7,38,75,-10,"GIRPctFairwayBunker",2014
62,62,"Luke Guthrie",85,50.6,39,77,-12,"GIRPctFairwayBunker",2014
63,63,"Erik Compton",88,50,31,62,-6,"GIRPctFairwayBunker",2014
63,63,"Brian Harman",111,50,45,90,-7,"GIRPctFairwayBunker",2014
63,63,"Troy Merritt",62,50,26,52,-4,"GIRPctFairwayBunker",2014
63,63,"Justin Rose",70,50,27,54,-3,"GIRPctFairwayBunker",2014
63,63,"Vijay Singh",83,50,35,70,-5,"GIRPctFairwayBunker",2014
63,63,"Kevin Stadler",90,50,30,60,-6,"GIRPctFairwayBunker",2014
69,69,"Bill Haas",107,49.4,43,87,-6,"GIRPctFairwayBunker",2014
70,70,"James Driscoll",71,49.2,29,59,-14,"GIRPctFairwayBunker",2014
70,70,"Tim Wilkinson",86,49.2,32,65,-4,"GIRPctFairwayBunker",2014
72,72,"Sangmoon Bae",76,49.1,26,53,-7,"GIRPctFairwayBunker",2014
72,72,"Boo Weekley",73,49.1,27,55,-3,"GIRPctFairwayBunker",2014
74,74,"Jim Furyk",84,48.9,23,47,-3,"GIRPctFairwayBunker",2014
75,75,"Graeme McDowell",66,48.8,20,41,-3,"GIRPctFairwayBunker",2014
76,76,"Ben Martin",80,48.3,29,60,-6,"GIRPctFairwayBunker",2014
77,77,"Jason Dufner",57,47.7,21,44,-2,"GIRPctFairwayBunker",2014
77,77,"Matt Every",85,47.7,31,65,-4,"GIRPctFairwayBunker",2014
77,77,"Lee Westwood",57,47.7,21,44,-6,"GIRPctFairwayBunker",2014
80,80,"Mike Weir",69,47.5,28,59,-10,"GIRPctFairwayBunker",2014
81,81,"JJ Henry",91,47.4,36,76,-1,"GIRPctFairwayBunker",2014
82,82,"Billy Hurley III",86,47.2,25,53,-3,"GIRPctFairwayBunker",2014
83,83,"Gonzalo Fdez Castano",83,47.1,32,68,-3,"GIRPctFairwayBunker",2014
83,83,"Spencer Levin",59,47.1,16,34,-6,"GIRPctFairwayBunker",2014
85,85,"Trevor Immelman",84,47,31,66,-6,"GIRPctFairwayBunker",2014
86,86,"Chris Kirk",105,46.9,45,96,-12,"GIRPctFairwayBunker",2014
87,87,"Ricky Barnes",92,46.8,44,94,-11,"GIRPctFairwayBunker",2014
88,88,"Derek Ernst",80,46.6,27,58,-3,"GIRPctFairwayBunker",2014
89,89,"Andrew Loupe",65,46.5,20,43,-6,"GIRPctFairwayBunker",2014
90,90,"Charlie Beljan",76,46.3,25,54,-3,"GIRPctFairwayBunker",2014
90,90,"Greg Chalmers",85,46.3,38,82,-5,"GIRPctFairwayBunker",2014
92,92,"Danny Lee",84,46,29,63,-4,"GIRPctFairwayBunker",2014
93,93,"David Lingmerth",80,45.9,28,61,-9,"GIRPctFairwayBunker",2014
94,94,"Rickie Fowler",91,45.8,22,48,-5,"GIRPctFairwayBunker",2014
94,94,"Robert Garrigus",80,45.8,27,59,-7,"GIRPctFairwayBunker",2014
96,96,"Charl Schwartzel",64,45.7,21,46,-2,"GIRPctFairwayBunker",2014
97,97,"Paul Casey",56,45.5,25,55,-5,"GIRPctFairwayBunker",2014
97,97,"JB Holmes",86,45.5,30,66,-2,"GIRPctFairwayBunker",2014
97,97,"Gary Woodland",93,45.5,30,66,-3,"GIRPctFairwayBunker",2014
100,100,"Webb Simpson",87,45.3,24,53,-2,"GIRPctFairwayBunker",2014
101,101,"Ken Duke",80,45.2,19,42,0,"GIRPctFairwayBunker",2014
101,101,"David Toms",64,45.2,14,31,-6,"GIRPctFairwayBunker",2014
103,103,"Kevin Na",94,45.1,23,51,-5,"GIRPctFairwayBunker",2014
104,104,"Scott Brown",100,44.7,34,76,-7,"GIRPctFairwayBunker",2014
104,104,"Lucas Glover",68,44.7,17,38,-1,"GIRPctFairwayBunker",2014
106,106,"Chris Stroud",88,44.6,33,74,-8,"GIRPctFairwayBunker",2014
107,107,"Tommy Gainey",73,44.4,24,54,-1,"GIRPctFairwayBunker",2014
107,107,"Brian Gay",81,44.4,20,45,-4,"GIRPctFairwayBunker",2014
107,107,"Dustin Johnson",58,44.4,12,27,-2,"GIRPctFairwayBunker",2014
110,110,"James Hahn",82,44.3,27,61,-1,"GIRPctFairwayBunker",2014
111,111,"Bo Van Pelt",83,44.2,19,43,-2,"GIRPctFairwayBunker",2014
112,112,"Jason Bohn",81,44.1,26,59,-9,"GIRPctFairwayBunker",2014
113,113,"Jimmy Walker",98,44,37,84,-11,"GIRPctFairwayBunker",2014
114,114,"Brian Davis",93,43.8,21,48,-7,"GIRPctFairwayBunker",2014
115,115,"Ernie Els",85,43.7,31,71,-5,"GIRPctFairwayBunker",2014
116,116,"Scott Langley",95,43.6,24,55,-3,"GIRPctFairwayBunker",2014
116,116,"Rory McIlroy",66,43.6,17,39,-3,"GIRPctFairwayBunker",2014
118,118,"Jonas Blixt",64,43.5,20,46,-3,"GIRPctFairwayBunker",2014
118,118,"Jeff Overton",80,43.5,30,69,-8,"GIRPctFairwayBunker",2014
120,120,"Martin Flores",85,43.3,26,60,-3,"GIRPctFairwayBunker",2014
120,120,"Charlie Wi",72,43.3,26,60,-5,"GIRPctFairwayBunker",2014
122,122,"Will Ma Kenzie",82,43.1,22,51,-6,"GIRPctFairwayBunker",2014
123,123,"Cameron Tringale",111,43,40,93,-13,"GIRPctFairwayBunker",2014
124,124,"Briny Baird",50,42.9,15,35,-1,"GIRPctFairwayBunker",2014
125,125,"Woody Austin",63,42.6,20,47,-1,"GIRPctFairwayBunker",2014
125,125,"Tyrone Van Aswegen",79,42.6,29,68,-3,"GIRPctFairwayBunker",2014
127,127,"Jeff Maggert",54,42.4,14,33,-6,"GIRPctFairwayBunker",2014
128,128,"Phil Mickelson",71,42.2,19,45,-4,"GIRPctFairwayBunker",2014
128,128,"Adam Scott",68,42.2,19,45,-7,"GIRPctFairwayBunker",2014
