"OnePuttPercentageRound2_RANKTHISWEEK_2012","OnePuttPercentageRound2_RANKLASTWEEK_2012","OnePuttPercentageRound2_PLAYERNAME_2012","OnePuttPercentageRound2__2012","OnePuttPercentageRound2_Pct_2012","OnePuttPercentageRound2_OF1PUTTS_2012","OnePuttPercentageRound2_OFHOLES_2012","stat_name","year"
1,1,"YE Yang",NA,47.95,164,342,"OnePuttPercentageRound2",2012
2,2,"Justin Leonard",NA,46.44,209,450,"OnePuttPercentageRound2",2012
3,3,"Pat Perez",NA,46.03,174,378,"OnePuttPercentageRound2",2012
4,4,"Tom Gillis",NA,45.24,171,378,"OnePuttPercentageRound2",2012
5,5,"Geoff Ogilvy",NA,45.03,154,342,"OnePuttPercentageRound2",2012
6,6,"Greg Chalmers",NA,44.91,194,432,"OnePuttPercentageRound2",2012
7,7,"Brandt Snedeker",NA,44.44,168,378,"OnePuttPercentageRound2",2012
8,8,"Brian Harman",NA,43.89,237,540,"OnePuttPercentageRound2",2012
9,9,"Zach Johnson",NA,43.06,186,432,"OnePuttPercentageRound2",2012
10,10,"Graeme McDowell",NA,42.96,116,270,"OnePuttPercentageRound2",2012
11,11,"Ryan Moore",NA,42.59,184,432,"OnePuttPercentageRound2",2012
12,12,"Ryuji Imada",NA,42.39,206,486,"OnePuttPercentageRound2",2012
13,13,"Bob Estes",NA,42.27,175,414,"OnePuttPercentageRound2",2012
14,14,"Charlie Wi",NA,42.22,190,450,"OnePuttPercentageRound2",2012
15,15,"Bo Van Pelt",NA,42.17,167,396,"OnePuttPercentageRound2",2012
16,16,"Matt Kuchar",NA,42.06,159,378,"OnePuttPercentageRound2",2012
16,16,"Jimmy Walker",NA,42.06,212,504,"OnePuttPercentageRound2",2012
18,18,"Chris Couch",NA,41.98,136,324,"OnePuttPercentageRound2",2012
18,18,"Tiger Woods",NA,41.98,136,324,"OnePuttPercentageRound2",2012
20,20,"Jason Dufner",NA,41.8,158,378,"OnePuttPercentageRound2",2012
21,21,"Ben Crane",NA,41.67,165,396,"OnePuttPercentageRound2",2012
