"AllAroundRanking_RANKTHISWEEK_2010","AllAroundRanking_RANKLASTWEEK_2010","AllAroundRanking_PLAYERNAME_2010","AllAroundRanking_EVENTS_2010","AllAroundRanking_TOTAL_2010","stat_name","year"
104,104,"JJ Henry",27,766,"AllAroundRanking",2010
104,104,"Bryce Molder",26,766,"AllAroundRanking",2010
106,106,"Heath Slocum",25,770,"AllAroundRanking",2010
107,107,"Troy Merritt",29,776,"AllAroundRanking",2010
108,108,"Billy Mayfair",26,783,"AllAroundRanking",2010
109,109,"Will Ma Kenzie",23,785,"AllAroundRanking",2010
110,110,"Brett Wetterich",16,786,"AllAroundRanking",2010
111,111,"Johnson Wagner",28,787,"AllAroundRanking",2010
112,112,"Chris DiMarco",25,790,"AllAroundRanking",2010
113,113,"Andres Romero",21,792,"AllAroundRanking",2010
114,114,"Robert Garrigus",22,794,"AllAroundRanking",2010
115,115,"Brett Quigley",29,799,"AllAroundRanking",2010
116,116,"Michael Sim",20,807,"AllAroundRanking",2010
117,117,"Ryuji Imada",28,808,"AllAroundRanking",2010
118,118,"John Mallinger",29,809,"AllAroundRanking",2010
119,119,"Woody Austin",29,813,"AllAroundRanking",2010
120,120,"Marc Leishman",26,814,"AllAroundRanking",2010
121,121,"Chris Stroud",27,829,"AllAroundRanking",2010
122,122,"Joe Ogilvie",32,837,"AllAroundRanking",2010
123,123,"Matt Every",18,839,"AllAroundRanking",2010
124,124,"Jason Dufner",25,843,"AllAroundRanking",2010
125,125,"Scott Verplank",22,852,"AllAroundRanking",2010
126,126,"Lee Janzen",26,855,"AllAroundRanking",2010
127,127,"Jarrod Lyle",18,857,"AllAroundRanking",2010
128,128,"Chris Tidland",24,858,"AllAroundRanking",2010
129,129,"Richard Johnson",27,860,"AllAroundRanking",2010
130,130,"Steve Wheatcroft",27,874,"AllAroundRanking",2010
131,131,"Mathias Gronberg",22,877,"AllAroundRanking",2010
132,132,"Garth Mulroy",19,880,"AllAroundRanking",2010
133,133,"Jimmy Walker",27,881,"AllAroundRanking",2010
134,134,"Martin Flores",26,882,"AllAroundRanking",2010
135,135,"Ben Curtis",24,888,"AllAroundRanking",2010
136,136,"Henrik Bjornstad",26,895,"AllAroundRanking",2010
137,137,"Tim Petrovic",32,905,"AllAroundRanking",2010
137,137,"DA Points",29,905,"AllAroundRanking",2010
139,139,"Paul Goydos",25,906,"AllAroundRanking",2010
140,140,"Cliff Kresge",17,911,"AllAroundRanking",2010
141,141,"Troy Matteson",28,913,"AllAroundRanking",2010
141,141,"Rocco Mediate",25,913,"AllAroundRanking",2010
141,141,"Shaun Micheel",21,913,"AllAroundRanking",2010
144,144,"Angel Cabrera",19,914,"AllAroundRanking",2010
144,144,"Trevor Immelman",19,914,"AllAroundRanking",2010
146,146,"Mathew Goggin",28,917,"AllAroundRanking",2010
147,147,"Brian Davis",32,935,"AllAroundRanking",2010
148,148,"Jeev Milkha Singh",19,938,"AllAroundRanking",2010
149,149,"Cameron Tringale",22,943,"AllAroundRanking",2010
150,150,"Nicholas Thompson",29,947,"AllAroundRanking",2010
151,151,"Alex Cejka",28,949,"AllAroundRanking",2010
152,152,"Cameron Percy",25,955,"AllAroundRanking",2010
153,153,"Stuart Appleby",31,957,"AllAroundRanking",2010
154,154,"Jeff Maggert",28,967,"AllAroundRanking",2010
155,155,"Steve Flesch",25,968,"AllAroundRanking",2010
156,156,"Mike Weir",19,976,"AllAroundRanking",2010
157,157,"Sergio Garcia",15,978,"AllAroundRanking",2010
158,158,"Derek Lamely",28,979,"AllAroundRanking",2010
159,159,"Kris Blanks",30,991,"AllAroundRanking",2010
160,160,"Rod Pampling",26,996,"AllAroundRanking",2010
161,161,"Greg Owen",27,1000,"AllAroundRanking",2010
162,162,"Bill Lunde",28,1007,"AllAroundRanking",2010
163,163,"Nathan Green",27,1010,"AllAroundRanking",2010
164,164,"Rich Barcelo",25,1011,"AllAroundRanking",2010
165,165,"Michael Bradley",24,1015,"AllAroundRanking",2010
166,166,"Brenden Pappas",24,1029,"AllAroundRanking",2010
167,167,"Omar Uresti",27,1032,"AllAroundRanking",2010
168,168,"David Duval",24,1033,"AllAroundRanking",2010
169,169,"Bob Estes",26,1035,"AllAroundRanking",2010
169,169,"Brian Stuard",28,1035,"AllAroundRanking",2010
171,171,"Roger Tambellini",26,1036,"AllAroundRanking",2010
172,172,"Tim Herron",24,1041,"AllAroundRanking",2010
173,173,"Daniel Chopra",28,1043,"AllAroundRanking",2010
174,174,"Cameron Beckman",25,1049,"AllAroundRanking",2010
175,175,"Ian Poulter",15,1057,"AllAroundRanking",2010
176,176,"Mark Calcavecchia",16,1064,"AllAroundRanking",2010
177,177,"Skip Kendall",18,1075,"AllAroundRanking",2010
178,178,"Jeff Gove",22,1113,"AllAroundRanking",2010
179,179,"Ted Purdy",30,1126,"AllAroundRanking",2010
180,180,"David Lutterus",25,1157,"AllAroundRanking",2010
181,181,"Steve Lowery",25,1159,"AllAroundRanking",2010
182,182,"Roland Thatcher",26,1170,"AllAroundRanking",2010
183,183,"Andrew McLardy",21,1186,"AllAroundRanking",2010
184,184,"Jerod Turner",21,1210,"AllAroundRanking",2010
185,185,"Brent Delahoussaye",21,1216,"AllAroundRanking",2010
186,186,"Kevin Johnson",26,1224,"AllAroundRanking",2010
187,187,"Chris Wilson",26,1236,"AllAroundRanking",2010
188,188,"Brad Faxon",23,1263,"AllAroundRanking",2010
189,189,"Justin Bolli",23,1271,"AllAroundRanking",2010
190,190,"Vance Veazey",23,1274,"AllAroundRanking",2010
191,191,"Craig Bowden",20,1302,"AllAroundRanking",2010
192,192,"Greg Kraft",22,1356,"AllAroundRanking",2010
