"Front9ScoringAverage_RANKTHISWEEK_2011","Front9ScoringAverage_RANKLASTWEEK_2011","Front9ScoringAverage_PLAYERNAME_2011","Front9ScoringAverage_ROUNDS_2011","Front9ScoringAverage_AVG_2011","Front9ScoringAverage_TOTALSTROKES_2011","Front9ScoringAverage_TOTALHOLES_2011","stat_name","year"
1,1,"Matt Kuchar",94,34.43,3030,88,"Front9ScoringAverage",2011
2,2,"Luke Donald",73,34.46,2309,67,"Front9ScoringAverage",2011
3,3,"Steve Stricker",70,34.54,2383,69,"Front9ScoringAverage",2011
4,4,"Webb Simpson",98,34.59,3390,98,"Front9ScoringAverage",2011
5,5,"Nick Watney",80,34.64,2667,77,"Front9ScoringAverage",2011
6,6,"Jason Day",76,34.75,2537,73,"Front9ScoringAverage",2011
7,7,"Hunter Mahan",92,34.78,3095,89,"Front9ScoringAverage",2011
8,8,"Rickie Fowler",84,34.81,2820,81,"Front9ScoringAverage",2011
8,8,"Charles Howell III",108,34.81,3760,108,"Front9ScoringAverage",2011
10,10,"Aaron Baddeley",77,34.82,2681,77,"Front9ScoringAverage",2011
11,11,"Retief Goosen",50,34.84,1707,49,"Front9ScoringAverage",2011
12,12,"Brandt Snedeker",85,34.88,2965,85,"Front9ScoringAverage",2011
13,13,"Aron Price",58,34.91,2025,58,"Front9ScoringAverage",2011
14,14,"Martin Laird",77,34.93,2655,76,"Front9ScoringAverage",2011
14,14,"Bryce Molder",82,34.93,2864,82,"Front9ScoringAverage",2011
16,16,"Jim Furyk",87,34.94,3005,86,"Front9ScoringAverage",2011
16,16,"John Merrick",71,34.94,2481,71,"Front9ScoringAverage",2011
16,16,"Rod Pampling",72,34.94,2516,72,"Front9ScoringAverage",2011
19,19,"Brendon de Jonge",105,34.95,3670,105,"Front9ScoringAverage",2011
19,19,"Robert Karlsson",61,34.95,2062,59,"Front9ScoringAverage",2011
19,19,"Jerry Kelly",85,34.95,2971,85,"Front9ScoringAverage",2011
19,19,"David Toms",78,34.95,2726,78,"Front9ScoringAverage",2011
23,23,"John Senden",94,34.96,3286,94,"Front9ScoringAverage",2011
24,24,"Gary Woodland",93,34.99,3254,93,"Front9ScoringAverage",2011
25,25,"Bill Haas",93,35,3220,92,"Front9ScoringAverage",2011
26,26,"Keegan Bradley",91,35.02,3187,91,"Front9ScoringAverage",2011
26,26,"Brian Gay",90,35.02,3152,90,"Front9ScoringAverage",2011
26,26,"Chris Kirk",87,35.02,3047,87,"Front9ScoringAverage",2011
26,26,"Mark Wilson",89,35.02,3047,87,"Front9ScoringAverage",2011
30,30,"Briny Baird",60,35.03,2102,60,"Front9ScoringAverage",2011
30,30,"KJ Choi",77,35.03,2627,75,"Front9ScoringAverage",2011
30,30,"Ben Crane",76,35.03,2557,73,"Front9ScoringAverage",2011
30,30,"DJ Trahan",91,35.03,3188,91,"Front9ScoringAverage",2011
34,34,"Freddie Jacobson",92,35.04,3224,92,"Front9ScoringAverage",2011
35,35,"Greg Chalmers",88,35.05,3084,88,"Front9ScoringAverage",2011
35,35,"Phil Mickelson",79,35.05,2699,77,"Front9ScoringAverage",2011
37,37,"Chad Campbell",99,35.07,3472,99,"Front9ScoringAverage",2011
37,37,"Joe Ogilvie",75,35.07,2630,75,"Front9ScoringAverage",2011
37,37,"Carl Pettersson",95,35.07,3332,95,"Front9ScoringAverage",2011
37,37,"Adam Scott",60,35.07,2069,59,"Front9ScoringAverage",2011
41,41,"Jason Bohn",74,35.08,2596,74,"Front9ScoringAverage",2011
41,41,"Michael Thompson",79,35.08,2771,79,"Front9ScoringAverage",2011
43,43,"Hunter Haas",96,35.09,3369,96,"Front9ScoringAverage",2011
43,43,"Tim Herron",85,35.09,2983,85,"Front9ScoringAverage",2011
45,45,"Billy Mayfair",94,35.11,3300,94,"Front9ScoringAverage",2011
45,45,"Cameron Tringale",110,35.11,3862,110,"Front9ScoringAverage",2011
47,47,"Kyle Stanley",98,35.12,3442,98,"Front9ScoringAverage",2011
47,47,"YE Yang",63,35.12,2072,59,"Front9ScoringAverage",2011
49,49,"Brandt Jobe",100,35.13,3513,100,"Front9ScoringAverage",2011
49,49,"John Rollins",85,35.13,2986,85,"Front9ScoringAverage",2011
51,51,"Kris Blanks",92,35.14,3233,92,"Front9ScoringAverage",2011
51,51,"Chris Couch",73,35.14,2565,73,"Front9ScoringAverage",2011
51,51,"Dustin Johnson",72,35.14,2495,71,"Front9ScoringAverage",2011
51,51,"Chris Stroud",88,35.14,3092,88,"Front9ScoringAverage",2011
