"3PuttAvoidanceRound4_RANKTHISWEEK_2013","3PuttAvoidanceRound4_RANKLASTWEEK_2013","3PuttAvoidanceRound4_PLAYERNAME_2013","3PuttAvoidanceRound4__2013","3PuttAvoidanceRound4_Pct_2013","3PuttAvoidanceRound4_TOTAL3PUTTS_2013","3PuttAvoidanceRound4_TOTALHOLES_2013","stat_name","year"
1,1,"William McGirt",NA,0.85,2,234,"3PuttAvoidanceRound4",2013
2,2,"Scott Brown",NA,1.01,2,198,"3PuttAvoidanceRound4",2013
3,3,"Jason Day",NA,1.11,4,360,"3PuttAvoidanceRound4",2013
4,4,"Bud Cauley",NA,1.23,2,162,"3PuttAvoidanceRound4",2013
4,4,"Andres Romero",NA,1.23,2,162,"3PuttAvoidanceRound4",2013
6,6,"Greg Chalmers",NA,1.28,3,234,"3PuttAvoidanceRound4",2013
6,6,"Rory McIlroy",NA,1.28,3,234,"3PuttAvoidanceRound4",2013
8,8,"Bill Haas",NA,1.31,4,306,"3PuttAvoidanceRound4",2013
9,9,"Jason Bohn",NA,1.39,3,216,"3PuttAvoidanceRound4",2013
9,9,"Justin Bolli",NA,1.39,1,72,"3PuttAvoidanceRound4",2013
11,11,"Keegan Bradley",NA,1.46,5,342,"3PuttAvoidanceRound4",2013
11,11,"Gary Woodland",NA,1.46,5,342,"3PuttAvoidanceRound4",2013
13,13,"Michael Thompson",NA,1.52,3,198,"3PuttAvoidanceRound4",2013
14,14,"Brian Harman",NA,1.59,4,252,"3PuttAvoidanceRound4",2013
14,14,"Matt Kuchar",NA,1.59,6,378,"3PuttAvoidanceRound4",2013
14,14,"DJ Trahan",NA,1.59,2,126,"3PuttAvoidanceRound4",2013
14,14,"Mike Weir",NA,1.59,2,126,"3PuttAvoidanceRound4",2013
18,18,"Bryce Molder",NA,1.63,5,306,"3PuttAvoidanceRound4",2013
18,18,"Chris Stroud",NA,1.63,5,306,"3PuttAvoidanceRound4",2013
20,20,"Martin Laird",NA,1.71,4,234,"3PuttAvoidanceRound4",2013
20,20,"John Rollins",NA,1.71,4,234,"3PuttAvoidanceRound4",2013
22,22,"Cameron Tringale",NA,1.74,5,288,"3PuttAvoidanceRound4",2013
23,23,"Bobby Gates",NA,1.85,1,54,"3PuttAvoidanceRound4",2013
23,23,"Padraig Harrington",NA,1.85,3,162,"3PuttAvoidanceRound4",2013
23,23,"Daniel Summerhays",NA,1.85,5,270,"3PuttAvoidanceRound4",2013
23,23,"Aaron Watkins",NA,1.85,1,54,"3PuttAvoidanceRound4",2013
27,27,"Steven Bowditch",NA,2.02,4,198,"3PuttAvoidanceRound4",2013
27,27,"Morgan Hoffmann",NA,2.02,4,198,"3PuttAvoidanceRound4",2013
27,27,"Shawn Stefani",NA,2.02,4,198,"3PuttAvoidanceRound4",2013
27,27,"Robert Streb",NA,2.02,4,198,"3PuttAvoidanceRound4",2013
31,31,"Brian Gay",NA,2.08,6,288,"3PuttAvoidanceRound4",2013
31,31,"Charl Schwartzel",NA,2.08,6,288,"3PuttAvoidanceRound4",2013
31,31,"Bubba Watson",NA,2.08,6,288,"3PuttAvoidanceRound4",2013
34,34,"Doug LaBelle II",NA,2.14,5,234,"3PuttAvoidanceRound4",2013
34,34,"George McNeill",NA,2.14,5,234,"3PuttAvoidanceRound4",2013
36,36,"Jordan Spieth",NA,2.16,7,324,"3PuttAvoidanceRound4",2013
37,37,"JJ Henry",NA,2.22,6,270,"3PuttAvoidanceRound4",2013
37,37,"Jin Park",NA,2.22,2,90,"3PuttAvoidanceRound4",2013
37,37,"Camilo Villegas",NA,2.22,6,270,"3PuttAvoidanceRound4",2013
40,40,"David Hearn",NA,2.29,7,306,"3PuttAvoidanceRound4",2013
40,40,"Josh Teater",NA,2.29,7,306,"3PuttAvoidanceRound4",2013
42,42,"Erik Compton",NA,2.31,5,216,"3PuttAvoidanceRound4",2013
43,43,"Roberto Castro",NA,2.34,8,342,"3PuttAvoidanceRound4",2013
44,44,"Harris English",NA,2.38,9,378,"3PuttAvoidanceRound4",2013
