"FedExCupBonusMoney_RANKTHISWEEK_2011","FedExCupBonusMoney_RANKLASTWEEK_2011","FedExCupBonusMoney_PLAYERNAME_2011","FedExCupBonusMoney_EVENTS_2011","FedExCupBonusMoney_MONEY_2011","stat_name","year"
1,1,"Bill Haas",26,1e+07,"FedExCupBonusMoney",2011
2,2,"Webb Simpson",24,3e+06,"FedExCupBonusMoney",2011
3,3,"Luke Donald",18,2e+06,"FedExCupBonusMoney",2011
4,4,"Dustin Johnson",21,1500000,"FedExCupBonusMoney",2011
5,5,"Justin Rose",22,1e+06,"FedExCupBonusMoney",2011
6,6,"Matt Kuchar",23,8e+05,"FedExCupBonusMoney",2011
7,7,"Hunter Mahan",25,7e+05,"FedExCupBonusMoney",2011
8,8,"Brandt Snedeker",25,6e+05,"FedExCupBonusMoney",2011
9,9,"Nick Watney",21,550000,"FedExCupBonusMoney",2011
10,10,"Chez Reavie",26,5e+05,"FedExCupBonusMoney",2011
11,11,"KJ Choi",22,3e+05,"FedExCupBonusMoney",2011
12,12,"Jason Day",21,290000,"FedExCupBonusMoney",2011
13,13,"John Senden",25,280000,"FedExCupBonusMoney",2011
14,14,"Aaron Baddeley",22,270000,"FedExCupBonusMoney",2011
15,15,"Phil Mickelson",21,250000,"FedExCupBonusMoney",2011
16,16,"Adam Scott",18,245000,"FedExCupBonusMoney",2011
17,17,"Gary Woodland",24,240000,"FedExCupBonusMoney",2011
18,18,"Steve Stricker",19,235000,"FedExCupBonusMoney",2011
19,19,"Charles Howell III",28,230000,"FedExCupBonusMoney",2011
20,20,"Keegan Bradley",28,222500,"FedExCupBonusMoney",2011
20,20,"David Toms",22,222500,"FedExCupBonusMoney",2011
22,22,"Mark Wilson",25,215000,"FedExCupBonusMoney",2011
23,23,"Bo Van Pelt",26,210000,"FedExCupBonusMoney",2011
24,24,"Geoff Ogilvy",21,205000,"FedExCupBonusMoney",2011
25,25,"Jason Dufner",23,2e+05,"FedExCupBonusMoney",2011
26,26,"Bubba Watson",22,195000,"FedExCupBonusMoney",2011
27,27,"Jonathan Byrd",24,190000,"FedExCupBonusMoney",2011
28,28,"Vijay Singh",24,185000,"FedExCupBonusMoney",2011
29,29,"Freddie Jacobson",25,180000,"FedExCupBonusMoney",2011
30,30,"YE Yang",18,175000,"FedExCupBonusMoney",2011
31,31,"Martin Laird",22,165000,"FedExCupBonusMoney",2011
32,32,"Charl Schwartzel",15,155000,"FedExCupBonusMoney",2011
33,33,"Camilo Villegas",25,150000,"FedExCupBonusMoney",2011
34,34,"Kyle Stanley",26,145000,"FedExCupBonusMoney",2011
35,35,"Rory Sabbatini",23,142000,"FedExCupBonusMoney",2011
36,36,"Jim Furyk",25,140000,"FedExCupBonusMoney",2011
37,37,"Ryan Moore",21,138000,"FedExCupBonusMoney",2011
38,38,"Jerry Kelly",24,137000,"FedExCupBonusMoney",2011
39,39,"Brian Davis",28,136000,"FedExCupBonusMoney",2011
40,40,"Zach Johnson",22,135000,"FedExCupBonusMoney",2011
41,41,"Charley Hoffman",26,134000,"FedExCupBonusMoney",2011
42,42,"Chris Kirk",27,133000,"FedExCupBonusMoney",2011
43,43,"Rickie Fowler",23,132000,"FedExCupBonusMoney",2011
44,44,"Sergio Garcia",16,131000,"FedExCupBonusMoney",2011
45,45,"Lucas Glover",22,130000,"FedExCupBonusMoney",2011
46,46,"Robert Karlsson",18,129000,"FedExCupBonusMoney",2011
47,47,"Spencer Levin",27,128000,"FedExCupBonusMoney",2011
48,48,"Carl Pettersson",25,127000,"FedExCupBonusMoney",2011
49,49,"Steve Marino",23,126000,"FedExCupBonusMoney",2011
50,50,"Jimmy Walker",24,125000,"FedExCupBonusMoney",2011
51,51,"Brandt Jobe",26,120000,"FedExCupBonusMoney",2011
52,52,"Brendan Steele",25,115000,"FedExCupBonusMoney",2011
53,53,"Ryan Palmer",23,114000,"FedExCupBonusMoney",2011
54,54,"Jhonattan Vegas",24,113000,"FedExCupBonusMoney",2011
55,55,"Robert Allenby",24,110000,"FedExCupBonusMoney",2011
56,56,"DA Points",24,110000,"FedExCupBonusMoney",2011
57,57,"Scott Stallings",26,110000,"FedExCupBonusMoney",2011
58,58,"Sean OHair",23,110000,"FedExCupBonusMoney",2011
59,59,"Chad Campbell",26,110000,"FedExCupBonusMoney",2011
60,60,"Brendon de Jonge",28,110000,"FedExCupBonusMoney",2011
61,61,"Chris Stroud",25,110000,"FedExCupBonusMoney",2011
62,62,"Tommy Gainey",30,110000,"FedExCupBonusMoney",2011
63,63,"Cameron Tringale",28,110000,"FedExCupBonusMoney",2011
64,64,"Blake Adams",30,110000,"FedExCupBonusMoney",2011
65,65,"Marc Leishman",25,110000,"FedExCupBonusMoney",2011
66,66,"Andres Romero",22,110000,"FedExCupBonusMoney",2011
67,67,"Ernie Els",20,110000,"FedExCupBonusMoney",2011
68,68,"George McNeill",18,110000,"FedExCupBonusMoney",2011
69,69,"Scott Piercy",19,110000,"FedExCupBonusMoney",2011
70,70,"Johnson Wagner",23,110000,"FedExCupBonusMoney",2011
71,71,"Kevin Na",24,80000,"FedExCupBonusMoney",2011
72,72,"Kevin Streelman",23,80000,"FedExCupBonusMoney",2011
73,73,"Graeme McDowell",15,80000,"FedExCupBonusMoney",2011
74,74,"Robert Garrigus",23,80000,"FedExCupBonusMoney",2011
75,75,"Pat Perez",23,80000,"FedExCupBonusMoney",2011
76,76,"JJ Henry",26,80000,"FedExCupBonusMoney",2011
77,77,"Harrison Frazar",18,80000,"FedExCupBonusMoney",2011
78,78,"Charlie Wi",22,80000,"FedExCupBonusMoney",2011
79,79,"Anthony Kim",26,80000,"FedExCupBonusMoney",2011
80,80,"Kris Blanks",26,80000,"FedExCupBonusMoney",2011
81,81,"Greg Chalmers",25,75000,"FedExCupBonusMoney",2011
82,82,"Brian Gay",23,75000,"FedExCupBonusMoney",2011
83,83,"William McGirt",28,75000,"FedExCupBonusMoney",2011
84,84,"Kevin Chappell",23,75000,"FedExCupBonusMoney",2011
85,85,"Bill Lunde",25,75000,"FedExCupBonusMoney",2011
86,86,"JB Holmes",16,75000,"FedExCupBonusMoney",2011
87,87,"Ian Poulter",16,75000,"FedExCupBonusMoney",2011
88,88,"Trevor Immelman",21,75000,"FedExCupBonusMoney",2011
89,89,"Padraig Harrington",18,75000,"FedExCupBonusMoney",2011
90,90,"Jeff Overton",23,75000,"FedExCupBonusMoney",2011
