"TenthTeeEarlyRound1ScoringAverage_RANKTHISWEEK_2013","TenthTeeEarlyRound1ScoringAverage_RANKLASTWEEK_2013","TenthTeeEarlyRound1ScoringAverage_PLAYERNAME_2013","TenthTeeEarlyRound1ScoringAverage__2013","TenthTeeEarlyRound1ScoringAverage_AVG_2013","TenthTeeEarlyRound1ScoringAverage_TOTALSTROKES_2013","TenthTeeEarlyRound1ScoringAverage_TOTALROUNDS_2013","stat_name","year"
1,1,"Chris Stroud",NA,66.8,334,5,"TenthTeeEarlyRound1ScoringAverage",2013
2,2,"Steve Stricker",NA,67,268,4,"TenthTeeEarlyRound1ScoringAverage",2013
3,3,"Brendon de Jonge",NA,67.29,471,7,"TenthTeeEarlyRound1ScoringAverage",2013
4,4,"Chris Kirk",NA,67.67,203,3,"TenthTeeEarlyRound1ScoringAverage",2013
4,4,"Charl Schwartzel",NA,67.67,406,6,"TenthTeeEarlyRound1ScoringAverage",2013
6,6,"Hunter Mahan",NA,67.83,407,6,"TenthTeeEarlyRound1ScoringAverage",2013
6,6,"Brandt Snedeker",NA,67.83,407,6,"TenthTeeEarlyRound1ScoringAverage",2013
8,8,"Tiger Woods",NA,67.88,543,8,"TenthTeeEarlyRound1ScoringAverage",2013
9,9,"Angel Cabrera",NA,68,272,4,"TenthTeeEarlyRound1ScoringAverage",2013
9,9,"Zach Johnson",NA,68,204,3,"TenthTeeEarlyRound1ScoringAverage",2013
9,9,"John Merrick",NA,68,68,1,"TenthTeeEarlyRound1ScoringAverage",2013
9,9,"Webb Simpson",NA,68,476,7,"TenthTeeEarlyRound1ScoringAverage",2013
13,13,"Phil Mickelson",NA,68.14,477,7,"TenthTeeEarlyRound1ScoringAverage",2013
14,14,"Kevin Stadler",NA,68.25,273,4,"TenthTeeEarlyRound1ScoringAverage",2013
15,15,"Brian Gay",NA,68.4,342,5,"TenthTeeEarlyRound1ScoringAverage",2013
15,15,"Justin Rose",NA,68.4,342,5,"TenthTeeEarlyRound1ScoringAverage",2013
17,17,"Freddie Jacobson",NA,68.5,137,2,"TenthTeeEarlyRound1ScoringAverage",2013
17,17,"William McGirt",NA,68.5,137,2,"TenthTeeEarlyRound1ScoringAverage",2013
17,17,"Ted Potter Jr",NA,68.5,137,2,"TenthTeeEarlyRound1ScoringAverage",2013
20,20,"Jason Day",NA,68.67,206,3,"TenthTeeEarlyRound1ScoringAverage",2013
20,20,"Marc Leishman",NA,68.67,206,3,"TenthTeeEarlyRound1ScoringAverage",2013
22,22,"Jason Dufner",NA,68.75,550,8,"TenthTeeEarlyRound1ScoringAverage",2013
22,22,"Ryan Palmer",NA,68.75,550,8,"TenthTeeEarlyRound1ScoringAverage",2013
24,24,"Keegan Bradley",NA,68.78,619,9,"TenthTeeEarlyRound1ScoringAverage",2013
24,24,"Matt Kuchar",NA,68.78,619,9,"TenthTeeEarlyRound1ScoringAverage",2013
26,26,"Charley Hoffman",NA,68.8,344,5,"TenthTeeEarlyRound1ScoringAverage",2013
27,27,"Roberto Castro",NA,68.86,482,7,"TenthTeeEarlyRound1ScoringAverage",2013
28,28,"Rory Sabbatini",NA,69,345,5,"TenthTeeEarlyRound1ScoringAverage",2013
28,28,"Henrik Stenson",NA,69,345,5,"TenthTeeEarlyRound1ScoringAverage",2013
30,30,"Harris English",NA,69.18,761,11,"TenthTeeEarlyRound1ScoringAverage",2013
31,31,"John Huh",NA,69.2,346,5,"TenthTeeEarlyRound1ScoringAverage",2013
32,32,"Lee Williams",NA,69.25,554,8,"TenthTeeEarlyRound1ScoringAverage",2013
33,33,"Peter Hanson",NA,69.33,208,3,"TenthTeeEarlyRound1ScoringAverage",2013
33,33,"Carl Pettersson",NA,69.33,208,3,"TenthTeeEarlyRound1ScoringAverage",2013
33,33,"Vaughn Taylor",NA,69.33,208,3,"TenthTeeEarlyRound1ScoringAverage",2013
36,36,"Nicolas Colsaerts",NA,69.4,347,5,"TenthTeeEarlyRound1ScoringAverage",2013
37,37,"Graham DeLaet",NA,69.5,278,4,"TenthTeeEarlyRound1ScoringAverage",2013
37,37,"Morgan Hoffmann",NA,69.5,139,2,"TenthTeeEarlyRound1ScoringAverage",2013
37,37,"Steve LeBrun",NA,69.5,278,4,"TenthTeeEarlyRound1ScoringAverage",2013
37,37,"Rod Pampling",NA,69.5,278,4,"TenthTeeEarlyRound1ScoringAverage",2013
41,41,"Billy Horschel",NA,69.56,626,9,"TenthTeeEarlyRound1ScoringAverage",2013
42,42,"David Hearn",NA,69.6,348,5,"TenthTeeEarlyRound1ScoringAverage",2013
42,42,"DJ Trahan",NA,69.6,348,5,"TenthTeeEarlyRound1ScoringAverage",2013
44,44,"Matt Jones",NA,69.71,488,7,"TenthTeeEarlyRound1ScoringAverage",2013
45,45,"Matt Every",NA,69.75,837,12,"TenthTeeEarlyRound1ScoringAverage",2013
45,45,"Jimmy Walker",NA,69.75,279,4,"TenthTeeEarlyRound1ScoringAverage",2013
47,47,"Boo Weekley",NA,69.8,349,5,"TenthTeeEarlyRound1ScoringAverage",2013
