"Par5Performance_RANKTHISWEEK_2006","Par5Performance_RANKLASTWEEK_2006","Par5Performance_PLAYERNAME_2006","Par5Performance_ROUNDS_2006","Par5Performance_STATUS_2006","Par5Performance_PAR5AVG_2006","Par5Performance_TOTALPAR_2006","stat_name","year"
146,146,"Ron Whittaker",81,-69,4.74,1310,"Par5Performance",2006
148,148,"Pat Perez",50,-68,4.63,915,"Par5Performance",2006
149,149,"Steve Jones",83,-67,4.76,1375,"Par5Performance",2006
150,150,"Bob Tway",81,-66,4.75,1310,"Par5Performance",2006
151,151,"Ian Leggatt",80,-65,4.75,1290,"Par5Performance",2006
151,151,"David McKenzie",82,-65,4.76,1345,"Par5Performance",2006
151,151,"Roger Tambellini",64,-65,4.69,1055,"Par5Performance",2006
154,154,"Jeff Maggert",81,-64,4.76,1360,"Par5Performance",2006
154,154,"Bob May",65,-64,4.7,1070,"Par5Performance",2006
156,156,"Skip Kendall",72,-63,4.75,1250,"Par5Performance",2006
156,156,"Ian Poulter",53,-63,4.65,900,"Par5Performance",2006
158,158,"David Duval",71,-62,4.73,1130,"Par5Performance",2006
158,158,"Steve Elkington",52,-62,4.64,865,"Par5Performance",2006
160,160,"Omar Uresti",61,-61,4.68,960,"Par5Performance",2006
161,161,"Mark Brooks",90,-60,4.81,1555,"Par5Performance",2006
161,161,"Padraig Harrington",54,-60,4.65,860,"Par5Performance",2006
161,161,"Kenny Perry",73,-60,4.72,1065,"Par5Performance",2006
164,164,"Brad Faxon",78,-59,4.78,1315,"Par5Performance",2006
164,164,"Scott Gutschewski",53,-59,4.67,895,"Par5Performance",2006
166,166,"Jon Mills",68,-58,4.74,1115,"Par5Performance",2006
166,166,"Jimmy Walker",60,-58,4.68,920,"Par5Performance",2006
168,168,"John Cook",67,-56,4.75,1115,"Par5Performance",2006
168,168,"Fred Couples",52,-56,4.66,830,"Par5Performance",2006
170,170,"Danny Ellis",68,-55,4.75,1090,"Par5Performance",2006
170,170,"Corey Pavin",74,-55,4.75,1090,"Par5Performance",2006
170,170,"Paul Stankowski",70,-55,4.76,1155,"Par5Performance",2006
173,173,"Todd Hamilton",72,-54,4.78,1240,"Par5Performance",2006
173,173,"Tom Lehman",70,-54,4.72,975,"Par5Performance",2006
175,175,"Doug Barron",74,-53,4.78,1225,"Par5Performance",2006
176,176,"Greg Kraft",79,-52,4.79,1250,"Par5Performance",2006
177,177,"Mike Sposa",68,-51,4.77,1100,"Par5Performance",2006
178,178,"Ryan Hietala",61,-50,4.75,990,"Par5Performance",2006
178,178,"Len Mattiace",59,-50,4.75,1000,"Par5Performance",2006
180,180,"JL Lewis",57,-48,4.76,995,"Par5Performance",2006
181,181,"Matt Hansen",68,-47,4.78,1090,"Par5Performance",2006
181,181,"Kirk Triplett",58,-47,4.76,970,"Par5Performance",2006
183,183,"John Daly",51,-46,4.75,910,"Par5Performance",2006
183,183,"John Engler Jr",69,-46,4.8,1150,"Par5Performance",2006
185,185,"Tommy Armour III",65,-45,4.79,1090,"Par5Performance",2006
185,185,"Freddie Jacobson",56,-45,4.76,945,"Par5Performance",2006
187,187,"Thomas Levet",53,-44,4.74,840,"Par5Performance",2006
187,187,"Tjaart van der Walt",60,-44,4.77,940,"Par5Performance",2006
189,189,"Hidemichi Tanaka",74,-43,4.83,1245,"Par5Performance",2006
190,190,"Michael Connell",51,-41,4.75,810,"Par5Performance",2006
190,190,"Larry Mize",53,-41,4.77,905,"Par5Performance",2006
192,192,"Brian Bateman",69,-40,4.81,1055,"Par5Performance",2006
193,193,"Alex Aragon",63,-39,4.81,1030,"Par5Performance",2006
194,194,"David Howell",52,-37,4.76,775,"Par5Performance",2006
195,195,"Mark OMeara",52,-36,4.8,910,"Par5Performance",2006
196,196,"Greg Chalmers",71,-24,4.89,1110,"Par5Performance",2006
