"Front9ScoringAverage_RANKTHISWEEK_2006","Front9ScoringAverage_RANKLASTWEEK_2006","Front9ScoringAverage_PLAYERNAME_2006","Front9ScoringAverage_ROUNDS_2006","Front9ScoringAverage_AVG_2006","Front9ScoringAverage_TOTALSTROKES_2006","Front9ScoringAverage_TOTALHOLES_2006","stat_name","year"
173,173,"Nicholas Thompson",96,36,3348,93,"Front9ScoringAverage",2006
175,175,"Jason Schultz",77,36.01,2701,75,"Front9ScoringAverage",2006
176,176,"Brad Faxon",78,36.05,2812,78,"Front9ScoringAverage",2006
177,177,"Ian Leggatt",80,36.08,2742,76,"Front9ScoringAverage",2006
178,178,"John Engler Jr",69,36.1,2419,67,"Front9ScoringAverage",2006
178,178,"Len Mattiace",59,36.1,2130,59,"Front9ScoringAverage",2006
180,180,"Mathew Goggin",72,36.11,2528,70,"Front9ScoringAverage",2006
180,180,"Lee Janzen",79,36.11,2853,79,"Front9ScoringAverage",2006
180,180,"Peter Lonard",77,36.11,2744,76,"Front9ScoringAverage",2006
183,183,"Greg Chalmers",71,36.12,2420,67,"Front9ScoringAverage",2006
183,183,"John Daly",51,36.12,1770,49,"Front9ScoringAverage",2006
185,185,"Wes Short Jr",96,36.15,3398,94,"Front9ScoringAverage",2006
186,186,"Vance Veazey",59,36.17,2134,59,"Front9ScoringAverage",2006
187,187,"Mark OMeara",52,36.18,1809,50,"Front9ScoringAverage",2006
188,188,"Michael Connell",51,36.19,1737,48,"Front9ScoringAverage",2006
189,189,"Alex Aragon",63,36.2,2208,61,"Front9ScoringAverage",2006
190,190,"Steve Jones",83,36.26,2973,82,"Front9ScoringAverage",2006
191,191,"Doug Barron",74,36.3,2650,73,"Front9ScoringAverage",2006
191,191,"Roger Tambellini",64,36.3,2214,61,"Front9ScoringAverage",2006
193,193,"Ryan Hietala",61,36.36,2145,59,"Front9ScoringAverage",2006
194,194,"Todd Hamilton",72,36.38,2619,72,"Front9ScoringAverage",2006
195,195,"Hidemichi Tanaka",74,36.48,2663,73,"Front9ScoringAverage",2006
196,196,"David Duval",71,36.49,2518,69,"Front9ScoringAverage",2006
