"RightRoughTendencyRTPScore_RANKTHISWEEK_2016","RightRoughTendencyRTPScore_RANKLASTWEEK_2016","RightRoughTendencyRTPScore_PLAYERNAME_2016","RightRoughTendencyRTPScore_ROUNDS_2016","RightRoughTendencyRTPScore_RTPSCORE_2016","stat_name","year"
1,1,"Dustin Johnson",37,-0.235,"RightRoughTendencyRTPScore",2016
2,2,"Matthew Fitzpatrick",23,-0.2,"RightRoughTendencyRTPScore",2016
3,3,"Miguel Angel Carballo",24,-0.179,"RightRoughTendencyRTPScore",2016
4,4,"Andrew Landry",24,-0.167,"RightRoughTendencyRTPScore",2016
5,7,"Brooks Koepka",39,-0.143,"RightRoughTendencyRTPScore",2016
6,8,"Brandt Snedeker",47,-0.139,"RightRoughTendencyRTPScore",2016
7,9,"Bubba Watson",30,-0.128,"RightRoughTendencyRTPScore",2016
8,10,"Jordan Spieth",34,-0.125,"RightRoughTendencyRTPScore",2016
9,6,"Rickie Fowler",42,-0.123,"RightRoughTendencyRTPScore",2016
10,13,"Jimmy Walker",43,-0.111,"RightRoughTendencyRTPScore",2016
11,14,"Chris Kirk",51,-0.107,"RightRoughTendencyRTPScore",2016
11,14,"Andres Romero",22,-0.107,"RightRoughTendencyRTPScore",2016
13,5,"Sam Saunders",40,-0.105,"RightRoughTendencyRTPScore",2016
14,21,"Rory McIlroy",37,-0.096,"RightRoughTendencyRTPScore",2016
15,18,"DJ Trahan",23,-0.095,"RightRoughTendencyRTPScore",2016
16,16,"Vijay Singh",42,-0.094,"RightRoughTendencyRTPScore",2016
17,10,"Jason Bohn",37,-0.091,"RightRoughTendencyRTPScore",2016
17,21,"Charl Schwartzel",29,-0.091,"RightRoughTendencyRTPScore",2016
19,21,"Jamie Lovemark",57,-0.085,"RightRoughTendencyRTPScore",2016
20,24,"Jason Day",36,-0.083,"RightRoughTendencyRTPScore",2016
21,48,"Tim Wilkinson",40,-0.074,"RightRoughTendencyRTPScore",2016
22,17,"Charles Howell III",63,-0.073,"RightRoughTendencyRTPScore",2016
23,28,"Harris English",51,-0.063,"RightRoughTendencyRTPScore",2016
24,25,"Rob Oppenheim",37,-0.06,"RightRoughTendencyRTPScore",2016
25,36,"Luke List",51,-0.054,"RightRoughTendencyRTPScore",2016
25,31,"Seung Yul Noh",54,-0.054,"RightRoughTendencyRTPScore",2016
27,30,"Gary Woodland",45,-0.05,"RightRoughTendencyRTPScore",2016
28,34,"Jerry Kelly",44,-0.049,"RightRoughTendencyRTPScore",2016
29,35,"Louis Oosthuizen",25,-0.048,"RightRoughTendencyRTPScore",2016
30,47,"Tom Hoge",47,-0.047,"RightRoughTendencyRTPScore",2016
31,42,"Kevin Chappell",49,-0.042,"RightRoughTendencyRTPScore",2016
32,33,"Martin Piller",37,-0.041,"RightRoughTendencyRTPScore",2016
33,38,"Marc Leishman",41,-0.04,"RightRoughTendencyRTPScore",2016
34,39,"Brice Garnett",29,-0.038,"RightRoughTendencyRTPScore",2016
34,56,"Hideki Matsuyama",40,-0.038,"RightRoughTendencyRTPScore",2016
34,56,"Henrik Stenson",30,-0.038,"RightRoughTendencyRTPScore",2016
37,10,"Brian Stuard",24,-0.037,"RightRoughTendencyRTPScore",2016
38,26,"Sean OHair",45,-0.035,"RightRoughTendencyRTPScore",2016
39,32,"Lucas Glover",53,-0.034,"RightRoughTendencyRTPScore",2016
39,42,"John Huh",51,-0.034,"RightRoughTendencyRTPScore",2016
41,20,"Padraig Harrington",38,-0.033,"RightRoughTendencyRTPScore",2016
42,45,"Freddie Jacobson",54,-0.031,"RightRoughTendencyRTPScore",2016
43,53,"Luke Donald",49,-0.029,"RightRoughTendencyRTPScore",2016
43,46,"Kevin Na",52,-0.029,"RightRoughTendencyRTPScore",2016
45,28,"Morgan Hoffmann",43,-0.026,"RightRoughTendencyRTPScore",2016
46,72,"Patrick Reed",53,-0.023,"RightRoughTendencyRTPScore",2016
47,40,"Chris Stroud",52,-0.022,"RightRoughTendencyRTPScore",2016
48,56,"Paul Casey",39,-0.021,"RightRoughTendencyRTPScore",2016
48,50,"Luke Guthrie",31,-0.021,"RightRoughTendencyRTPScore",2016
50,51,"Aaron Baddeley",51,-0.02,"RightRoughTendencyRTPScore",2016
51,40,"Ben Crane",48,-0.017,"RightRoughTendencyRTPScore",2016
52,27,"Justin Rose",35,-0.015,"RightRoughTendencyRTPScore",2016
53,54,"Russell Henley",42,-0.014,"RightRoughTendencyRTPScore",2016
54,92,"Roberto Castro",55,-0.01,"RightRoughTendencyRTPScore",2016
54,44,"Peter Malnati",53,-0.01,"RightRoughTendencyRTPScore",2016
54,55,"Patrick Rodgers",49,-0.01,"RightRoughTendencyRTPScore",2016
57,90,"Bronson Burgoon",53,0,"RightRoughTendencyRTPScore",2016
57,56,"Branden Grace",31,0,"RightRoughTendencyRTPScore",2016
57,135,"James Hahn",45,0,"RightRoughTendencyRTPScore",2016
57,19,"Hiroshi Iwata",51,0,"RightRoughTendencyRTPScore",2016
57,56,"Matt Kuchar",46,0,"RightRoughTendencyRTPScore",2016
57,56,"Cameron Percy",22,0,"RightRoughTendencyRTPScore",2016
57,56,"Andy Sullivan",25,0,"RightRoughTendencyRTPScore",2016
64,56,"Graham DeLaet",50,0.01,"RightRoughTendencyRTPScore",2016
64,56,"Whee Kim",54,0.01,"RightRoughTendencyRTPScore",2016
66,37,"Jonas Blixt",46,0.011,"RightRoughTendencyRTPScore",2016
66,69,"Ryan Palmer",46,0.011,"RightRoughTendencyRTPScore",2016
68,70,"Hudson Swafford",52,0.012,"RightRoughTendencyRTPScore",2016
69,84,"Carlos Ortiz",47,0.014,"RightRoughTendencyRTPScore",2016
69,118,"Johnson Wagner",44,0.014,"RightRoughTendencyRTPScore",2016
71,51,"Jason Gore",51,0.015,"RightRoughTendencyRTPScore",2016
72,74,"Jason Dufner",53,0.016,"RightRoughTendencyRTPScore",2016
73,78,"John Senden",48,0.018,"RightRoughTendencyRTPScore",2016
74,75,"Zach Johnson",42,0.02,"RightRoughTendencyRTPScore",2016
75,77,"Wes Roach",33,0.021,"RightRoughTendencyRTPScore",2016
76,70,"Justin Thomas",53,0.022,"RightRoughTendencyRTPScore",2016
77,138,"Adam Scott",39,0.023,"RightRoughTendencyRTPScore",2016
78,75,"Scott Stallings",46,0.025,"RightRoughTendencyRTPScore",2016
79,80,"Chez Reavie",56,0.026,"RightRoughTendencyRTPScore",2016
80,81,"Rhein Gibson",36,0.027,"RightRoughTendencyRTPScore",2016
80,81,"Smylie Kaufman",57,0.027,"RightRoughTendencyRTPScore",2016
82,83,"Shane Bertsch",30,0.028,"RightRoughTendencyRTPScore",2016
83,94,"Erik Compton",45,0.034,"RightRoughTendencyRTPScore",2016
84,68,"Tony Finau",49,0.035,"RightRoughTendencyRTPScore",2016
84,91,"Charley Hoffman",49,0.035,"RightRoughTendencyRTPScore",2016
86,133,"Phil Mickelson",37,0.036,"RightRoughTendencyRTPScore",2016
87,85,"Ricky Barnes",57,0.037,"RightRoughTendencyRTPScore",2016
88,129,"George McNeill",33,0.039,"RightRoughTendencyRTPScore",2016
89,88,"William McGirt",54,0.04,"RightRoughTendencyRTPScore",2016
90,99,"Patton Kizzire",57,0.041,"RightRoughTendencyRTPScore",2016
91,124,"Francesco Molinari",36,0.044,"RightRoughTendencyRTPScore",2016
92,99,"Troy Merritt",41,0.045,"RightRoughTendencyRTPScore",2016
93,130,"Anirban Lahiri",44,0.047,"RightRoughTendencyRTPScore",2016
94,96,"Tyler Aldridge",53,0.048,"RightRoughTendencyRTPScore",2016
94,102,"Billy Horschel",45,0.048,"RightRoughTendencyRTPScore",2016
96,72,"Sung Kang",51,0.049,"RightRoughTendencyRTPScore",2016
96,92,"Colt Knost",56,0.049,"RightRoughTendencyRTPScore",2016
98,106,"Pat Perez",28,0.051,"RightRoughTendencyRTPScore",2016
99,56,"JB Holmes",39,0.054,"RightRoughTendencyRTPScore",2016
100,106,"Martin Laird",46,0.055,"RightRoughTendencyRTPScore",2016
100,56,"Hunter Mahan",43,0.055,"RightRoughTendencyRTPScore",2016
100,104,"Tyrone Van Aswegen",67,0.055,"RightRoughTendencyRTPScore",2016
103,98,"Henrik Norlander",41,0.056,"RightRoughTendencyRTPScore",2016
103,116,"Shawn Stefani",45,0.056,"RightRoughTendencyRTPScore",2016
103,120,"Kevin Streelman",46,0.056,"RightRoughTendencyRTPScore",2016
106,94,"Jason Kokrak",52,0.057,"RightRoughTendencyRTPScore",2016
106,116,"Ryan Moore",40,0.057,"RightRoughTendencyRTPScore",2016
106,104,"Jhonattan Vegas",49,0.057,"RightRoughTendencyRTPScore",2016
109,109,"Matt Jones",45,0.058,"RightRoughTendencyRTPScore",2016
109,114,"Russell Knox",48,0.058,"RightRoughTendencyRTPScore",2016
111,49,"Davis Love III",40,0.061,"RightRoughTendencyRTPScore",2016
112,56,"Thomas Aiken",42,0.063,"RightRoughTendencyRTPScore",2016
112,114,"Adam Hadwin",53,0.063,"RightRoughTendencyRTPScore",2016
112,119,"Steve Stricker",25,0.063,"RightRoughTendencyRTPScore",2016
112,79,"Steve Wheatcroft",53,0.063,"RightRoughTendencyRTPScore",2016
116,145,"Fabian Gomez",49,0.065,"RightRoughTendencyRTPScore",2016
116,110,"Webb Simpson",34,0.065,"RightRoughTendencyRTPScore",2016
116,112,"Cameron Tringale",47,0.065,"RightRoughTendencyRTPScore",2016
119,154,"Boo Weekley",53,0.066,"RightRoughTendencyRTPScore",2016
120,111,"Steven Bowditch",40,0.067,"RightRoughTendencyRTPScore",2016
120,126,"Billy Hurley III",22,0.067,"RightRoughTendencyRTPScore",2016
120,120,"Andrew Loupe",50,0.067,"RightRoughTendencyRTPScore",2016
120,126,"Scott Piercy",45,0.067,"RightRoughTendencyRTPScore",2016
124,133,"Brian Harman",60,0.068,"RightRoughTendencyRTPScore",2016
124,120,"Mark Hubbard",73,0.068,"RightRoughTendencyRTPScore",2016
124,135,"Cameron Smith",45,0.068,"RightRoughTendencyRTPScore",2016
127,137,"Bill Haas",42,0.071,"RightRoughTendencyRTPScore",2016
128,112,"Daniel Berger",52,0.072,"RightRoughTendencyRTPScore",2016
128,140,"Jeff Overton",51,0.072,"RightRoughTendencyRTPScore",2016
130,120,"Greg Owen",56,0.074,"RightRoughTendencyRTPScore",2016
131,138,"Daniel Summerhays",55,0.076,"RightRoughTendencyRTPScore",2016
131,158,"Harold Varner III",58,0.076,"RightRoughTendencyRTPScore",2016
133,128,"Danny Lee",53,0.078,"RightRoughTendencyRTPScore",2016
