"Percentageofpotentialmoneywon_RANKTHISWEEK_2008","Percentageofpotentialmoneywon_RANKLASTWEEK_2008","Percentageofpotentialmoneywon_PLAYERNAME_2008","Percentageofpotentialmoneywon_EVENTS_2008","Percentageofpotentialmoneywon_Pct_2008","Percentageofpotentialmoneywon_OFFICIALMONEYWON_2008","Percentageofpotentialmoneywon_POTENTIALMONEY_2008","stat_name","year"
1,1,"Tiger Woods",6,78.25,5775000,7380000,"Percentageofpotentialmoneywon",2008
2,2,"Vijay Singh",23,23.67,6601094,27888875,"Percentageofpotentialmoneywon",2008
3,3,"Padraig Harrington",15,22.54,4313550,19138875,"Percentageofpotentialmoneywon",2008
4,4,"Sergio Garcia",19,20.27,4858223,23962875,"Percentageofpotentialmoneywon",2008
5,5,"Phil Mickelson",21,20,5188874,25942875,"Percentageofpotentialmoneywon",2008
6,6,"Anthony Kim",22,18.02,4656265,25834875,"Percentageofpotentialmoneywon",2008
7,7,"Camilo Villegas",22,16.78,4422640,26356875,"Percentageofpotentialmoneywon",2008
8,8,"Kenny Perry",26,16.33,4663793,28566000,"Percentageofpotentialmoneywon",2008
9,9,"Henrik Stenson",9,15.62,1937992,12408875,"Percentageofpotentialmoneywon",2008
10,10,"Stewart Cink",23,14.48,3979300,27472875,"Percentageofpotentialmoneywon",2008
11,11,"Justin Leonard",25,13.37,3943542,29490875,"Percentageofpotentialmoneywon",2008
12,12,"Ernie Els",16,12.46,2537289,20362875,"Percentageofpotentialmoneywon",2008
13,13,"Greg Norman",4,12.14,509617,4198875,"Percentageofpotentialmoneywon",2008
14,14,"Geoff Ogilvy",20,11.73,2880099,24556875,"Percentageofpotentialmoneywon",2008
15,15,"Lee Westwood",10,11.51,1550880,13468875,"Percentageofpotentialmoneywon",2008
16,16,"Jim Furyk",26,11.19,3455713,30894875,"Percentageofpotentialmoneywon",2008
17,17,"Robert Allenby",28,11.12,3606699,32422875,"Percentageofpotentialmoneywon",2008
18,18,"Luke Donald",11,10.68,1456650,13644000,"Percentageofpotentialmoneywon",2008
19,19,"Ryuji Imada",25,10.61,3029363,28552875,"Percentageofpotentialmoneywon",2008
20,20,"KJ Choi",21,10.4,2683442,25800875,"Percentageofpotentialmoneywon",2008
21,21,"Ben Curtis",22,10.3,2615798,25402875,"Percentageofpotentialmoneywon",2008
22,22,"Adam Scott",15,10.14,1979159,19516875,"Percentageofpotentialmoneywon",2008
23,23,"Mike Weir",26,9.97,3020135,30282875,"Percentageofpotentialmoneywon",2008
24,24,"Trevor Immelman",22,9.73,2566198,26374875,"Percentageofpotentialmoneywon",2008
25,25,"Dudley Hart",22,9.3,2218816,23868000,"Percentageofpotentialmoneywon",2008
26,26,"Robert Karlsson",8,9.2,985684,10714875,"Percentageofpotentialmoneywon",2008
26,26,"Kevin Sutherland",26,9.2,2581310,28062000,"Percentageofpotentialmoneywon",2008
28,28,"Steve Stricker",22,9.03,2438304,27006875,"Percentageofpotentialmoneywon",2008
29,29,"Stuart Appleby",23,8.89,2484630,27958875,"Percentageofpotentialmoneywon",2008
29,29,"Rob Grube",1,8.89,48000,540000,"Percentageofpotentialmoneywon",2008
31,31,"Ryan Blaum",1,8.61,54250,630000,"Percentageofpotentialmoneywon",2008
32,32,"Boo Weekley",24,8.51,2398750,28194875,"Percentageofpotentialmoneywon",2008
33,33,"Stephen Ames",24,8.26,2285707,27672875,"Percentageofpotentialmoneywon",2008
34,34,"Andres Romero",20,8.25,2064611,25024875,"Percentageofpotentialmoneywon",2008
35,35,"Darren Clarke",2,8.15,220000,2700000,"Percentageofpotentialmoneywon",2008
36,36,"Carl Pettersson",29,7.99,2512538,31428000,"Percentageofpotentialmoneywon",2008
37,37,"Chad Campbell",28,7.86,2404770,30584000,"Percentageofpotentialmoneywon",2008
38,38,"Ian Poulter",15,7.69,1488214,19354875,"Percentageofpotentialmoneywon",2008
39,39,"DJ Trahan",27,7.55,2304368,30528000,"Percentageofpotentialmoneywon",2008
40,40,"Sean OHair",25,7.45,2089856,28048875,"Percentageofpotentialmoneywon",2008
41,41,"Ryan Palmer",22,7.23,1453182,20088000,"Percentageofpotentialmoneywon",2008
42,42,"JB Holmes",26,7.21,2166130,30046875,"Percentageofpotentialmoneywon",2008
43,43,"Alastair Forsyth",2,7.2,194416,2700000,"Percentageofpotentialmoneywon",2008
44,44,"Brian Gay",31,7.12,2205512,30978000,"Percentageofpotentialmoneywon",2008
45,45,"Hunter Mahan",27,6.89,2208854,32046875,"Percentageofpotentialmoneywon",2008
46,46,"Davis Love III",23,6.86,1695237,24700875,"Percentageofpotentialmoneywon",2008
47,47,"Bart Bryant",23,6.74,1719153,25492875,"Percentageofpotentialmoneywon",2008
48,48,"Mathew Goggin",27,6.7,1969962,29394000,"Percentageofpotentialmoneywon",2008
49,49,"Bradley Dredge",1,6.67,90000,1350000,"Percentageofpotentialmoneywon",2008
50,50,"Briny Baird",30,6.58,2039807,30996000,"Percentageofpotentialmoneywon",2008
51,51,"Ken Duke",33,6.53,2238884,34290000,"Percentageofpotentialmoneywon",2008
51,51,"Jeff Quinney",28,6.53,1999371,30622875,"Percentageofpotentialmoneywon",2008
53,53,"Retief Goosen",18,6.5,1431965,22018875,"Percentageofpotentialmoneywon",2008
54,54,"Miguel Angel Jimenez",8,6.42,725946,11308875,"Percentageofpotentialmoneywon",2008
55,55,"Woody Austin",30,6.41,2146430,33504875,"Percentageofpotentialmoneywon",2008
56,56,"Aaron Baddeley",22,6.37,1665587,26160875,"Percentageofpotentialmoneywon",2008
57,57,"Steve Marino",32,6.32,2094266,33156000,"Percentageofpotentialmoneywon",2008
58,58,"Paul Goydos",25,6.03,1640737,27222875,"Percentageofpotentialmoneywon",2008
59,59,"Greg Kraft",21,5.95,1204559,20232000,"Percentageofpotentialmoneywon",2008
60,60,"Pat Perez",27,5.89,1756038,29812875,"Percentageofpotentialmoneywon",2008
60,60,"Graeme Storm",3,5.89,231600,3928875,"Percentageofpotentialmoneywon",2008
62,62,"Dustin Johnson",30,5.88,1789894,30438000,"Percentageofpotentialmoneywon",2008
63,63,"Rory Sabbatini",23,5.82,1559277,26772875,"Percentageofpotentialmoneywon",2008
64,64,"David Howell",3,5.81,226243,3892875,"Percentageofpotentialmoneywon",2008
65,65,"Zach Johnson",25,5.77,1615123,27978875,"Percentageofpotentialmoneywon",2008
66,66,"Paul Casey",16,5.76,1156414,20092875,"Percentageofpotentialmoneywon",2008
67,67,"Freddie Jacobson",24,5.75,1597423,27778875,"Percentageofpotentialmoneywon",2008
68,68,"Tommy Armour III",25,5.72,1501255,26226000,"Percentageofpotentialmoneywon",2008
69,69,"Ben Crane",25,5.71,1488504,26046000,"Percentageofpotentialmoneywon",2008
70,70,"Gregory Havret",2,5.69,162184,2848875,"Percentageofpotentialmoneywon",2008
71,71,"Billy Mayfair",29,5.65,1750682,30960000,"Percentageofpotentialmoneywon",2008
72,72,"Steve Lowery",25,5.64,1524275,27036000,"Percentageofpotentialmoneywon",2008
73,73,"Justin Rose",15,5.61,1047853,18670875,"Percentageofpotentialmoneywon",2008
74,74,"Tim Clark",27,5.51,1722029,31270875,"Percentageofpotentialmoneywon",2008
75,75,"Rod Pampling",28,5.43,1702952,31360875,"Percentageofpotentialmoneywon",2008
76,76,"Daniel Chopra",27,5.4,1630689,30206000,"Percentageofpotentialmoneywon",2008
77,77,"Mark Wilson",29,5.39,1578337,29306000,"Percentageofpotentialmoneywon",2008
78,78,"Jeev Milkha Singh",5,5.34,319349,5976000,"Percentageofpotentialmoneywon",2008
79,79,"Charlie Wi",27,5.31,1515394,28512000,"Percentageofpotentialmoneywon",2008
80,80,"Jason Bohn",15,5.3,866785,16362000,"Percentageofpotentialmoneywon",2008
81,81,"Nicholas Thompson",36,5.23,1869329,35766000,"Percentageofpotentialmoneywon",2008
82,82,"Matt Kuchar",27,5.15,1447637,28102875,"Percentageofpotentialmoneywon",2008
83,83,"Alexander Noren",1,5.04,75484,1498875,"Percentageofpotentialmoneywon",2008
83,83,"Jean Van de Velde",1,5.04,75484,1498875,"Percentageofpotentialmoneywon",2008
83,83,"Simon Wakefield",1,5.04,75484,1498875,"Percentageofpotentialmoneywon",2008
