"BirdieorBetterPercentageRough_RANKTHISWEEK_2016","BirdieorBetterPercentageRough_RANKLASTWEEK_2016","BirdieorBetterPercentageRough_PLAYERNAME_2016","BirdieorBetterPercentageRough_ROUNDS_2016","BirdieorBetterPercentageRough_Pct_2016","BirdieorBetterPercentageRough_TOTALBIRDIES_2016","BirdieorBetterPercentageRough_TOTALHOLES_2016","stat_name","year"
72,84,"Tom Hoge",47,17.36,25,144,"BirdieorBetterPercentageRough",2016
73,71,"Charl Schwartzel",29,17.24,15,87,"BirdieorBetterPercentageRough",2016
73,48,"Brian Stuard",24,17.24,10,58,"BirdieorBetterPercentageRough",2016
75,83,"Brian Harman",60,17.06,29,170,"BirdieorBetterPercentageRough",2016
76,67,"Padraig Harrington",38,16.8,21,125,"BirdieorBetterPercentageRough",2016
77,85,"Brendan Steele",48,16.79,22,131,"BirdieorBetterPercentageRough",2016
78,122,"Matt Every",34,16.67,16,96,"BirdieorBetterPercentageRough",2016
78,79,"Freddie Jacobson",54,16.67,27,162,"BirdieorBetterPercentageRough",2016
80,97,"Martin Laird",46,16.56,27,163,"BirdieorBetterPercentageRough",2016
80,73,"Steve Wheatcroft",53,16.56,27,163,"BirdieorBetterPercentageRough",2016
82,81,"KJ Choi",47,16.54,21,127,"BirdieorBetterPercentageRough",2016
83,82,"Zach Johnson",42,16.49,16,97,"BirdieorBetterPercentageRough",2016
83,71,"Ollie Schniederjans",23,16.49,16,97,"BirdieorBetterPercentageRough",2016
85,88,"DJ Trahan",23,16.28,7,43,"BirdieorBetterPercentageRough",2016
86,77,"Ben Crane",48,16.24,19,117,"BirdieorBetterPercentageRough",2016
87,98,"Harold Varner III",58,16.16,32,198,"BirdieorBetterPercentageRough",2016
88,92,"Scott Pinckney",53,16.13,25,155,"BirdieorBetterPercentageRough",2016
89,90,"Rory Sabbatini",40,16.09,14,87,"BirdieorBetterPercentageRough",2016
90,91,"Brian Gay",22,16.07,9,56,"BirdieorBetterPercentageRough",2016
91,93,"Sergio Garcia",28,16,8,50,"BirdieorBetterPercentageRough",2016
92,94,"Brice Garnett",29,15.91,7,44,"BirdieorBetterPercentageRough",2016
93,96,"Keegan Bradley",40,15.85,13,82,"BirdieorBetterPercentageRough",2016
94,118,"Erik Compton",45,15.83,19,120,"BirdieorBetterPercentageRough",2016
95,78,"Patton Kizzire",57,15.79,30,190,"BirdieorBetterPercentageRough",2016
96,100,"Scott Piercy",45,15.74,17,108,"BirdieorBetterPercentageRough",2016
97,65,"Lucas Glover",53,15.65,23,147,"BirdieorBetterPercentageRough",2016
98,102,"Henrik Norlander",41,15.63,15,96,"BirdieorBetterPercentageRough",2016
99,98,"Derek Fathauer",58,15.58,31,199,"BirdieorBetterPercentageRough",2016
100,116,"Colt Knost",56,15.57,19,122,"BirdieorBetterPercentageRough",2016
101,115,"David Toms",38,15.53,16,103,"BirdieorBetterPercentageRough",2016
102,107,"Billy Horschel",45,15.38,18,117,"BirdieorBetterPercentageRough",2016
102,123,"Cameron Tringale",47,15.38,24,156,"BirdieorBetterPercentageRough",2016
104,134,"John Senden",48,15.34,27,176,"BirdieorBetterPercentageRough",2016
105,110,"Aaron Baddeley",51,15.29,24,157,"BirdieorBetterPercentageRough",2016
106,144,"James Hahn",45,15.28,22,144,"BirdieorBetterPercentageRough",2016
107,111,"Steven Bowditch",40,15.2,19,125,"BirdieorBetterPercentageRough",2016
108,113,"Dicky Pride",33,15.19,12,79,"BirdieorBetterPercentageRough",2016
109,70,"Justin Rose",35,15.09,16,106,"BirdieorBetterPercentageRough",2016
110,86,"Stuart Appleby",39,14.97,22,147,"BirdieorBetterPercentageRough",2016
111,117,"Matt Kuchar",46,14.95,16,107,"BirdieorBetterPercentageRough",2016
112,124,"Sung Kang",51,14.91,24,161,"BirdieorBetterPercentageRough",2016
112,103,"Mark Wilson",42,14.91,17,114,"BirdieorBetterPercentageRough",2016
114,107,"Scott Brown",59,14.89,21,141,"BirdieorBetterPercentageRough",2016
115,75,"Angel Cabrera",42,14.81,20,135,"BirdieorBetterPercentageRough",2016
115,120,"Pat Perez",28,14.81,12,81,"BirdieorBetterPercentageRough",2016
117,105,"Jason Gore",51,14.73,19,129,"BirdieorBetterPercentageRough",2016
118,114,"Michael Thompson",46,14.63,18,123,"BirdieorBetterPercentageRough",2016
119,101,"Hunter Mahan",43,14.39,19,132,"BirdieorBetterPercentageRough",2016
119,125,"Chez Reavie",56,14.39,20,139,"BirdieorBetterPercentageRough",2016
119,140,"Patrick Reed",53,14.39,20,139,"BirdieorBetterPercentageRough",2016
122,121,"Will Wilcox",47,14.38,22,153,"BirdieorBetterPercentageRough",2016
