"AverageDistancetoHoleAfterTeeShot_RANKTHISWEEK_2008","AverageDistancetoHoleAfterTeeShot_RANKLASTWEEK_2008","AverageDistancetoHoleAfterTeeShot_PLAYERNAME_2008","AverageDistancetoHoleAfterTeeShot_ROUNDS_2008","AverageDistancetoHoleAfterTeeShot_AVG_2008","AverageDistancetoHoleAfterTeeShot_TOTALDISTAFTERTEESHOT_2008","AverageDistancetoHoleAfterTeeShot_TOTALTEESHOTS_2008","stat_name","year"
1,1,"JB Holmes",86,157.8,5412920,953,"AverageDistancetoHoleAfterTeeShot",2008
2,2,"Dustin Johnson",92,159.1,6277644,1096,"AverageDistancetoHoleAfterTeeShot",2008
3,3,"Robert Garrigus",90,162.2,6828010,1169,"AverageDistancetoHoleAfterTeeShot",2008
4,4,"Bubba Watson",97,162.5,6424087,1098,"AverageDistancetoHoleAfterTeeShot",2008
5,5,"Vijay Singh",82,163.3,5155177,877,"AverageDistancetoHoleAfterTeeShot",2008
6,6,"Steve Allan",58,164.1,3882416,657,"AverageDistancetoHoleAfterTeeShot",2008
7,7,"Tommy Gainey",60,164.7,3742388,631,"AverageDistancetoHoleAfterTeeShot",2008
8,8,"Nick Watney",96,165.3,6873999,1155,"AverageDistancetoHoleAfterTeeShot",2008
9,9,"Charley Hoffman",94,165.4,7067889,1187,"AverageDistancetoHoleAfterTeeShot",2008
10,10,"Harrison Frazar",73,165.6,5050581,847,"AverageDistancetoHoleAfterTeeShot",2008
11,11,"Jason Allred",63,166.3,4089373,683,"AverageDistancetoHoleAfterTeeShot",2008
12,12,"Anthony Kim",81,166.7,5394412,899,"AverageDistancetoHoleAfterTeeShot",2008
13,13,"Daniel Chopra",84,167,5687671,946,"AverageDistancetoHoleAfterTeeShot",2008
14,14,"Andres Romero",69,167.4,4079817,677,"AverageDistancetoHoleAfterTeeShot",2008
15,15,"Angel Cabrera",55,167.9,3263103,540,"AverageDistancetoHoleAfterTeeShot",2008
15,15,"Adam Scott",51,167.9,2925992,484,"AverageDistancetoHoleAfterTeeShot",2008
17,17,"Richard Johnson",77,168.1,5580781,922,"AverageDistancetoHoleAfterTeeShot",2008
18,18,"Tag Ridings",88,168.2,6673805,1102,"AverageDistancetoHoleAfterTeeShot",2008
19,19,"Davis Love III",78,168.5,5447333,898,"AverageDistancetoHoleAfterTeeShot",2008
20,20,"Charles Warren",79,168.7,6211366,1023,"AverageDistancetoHoleAfterTeeShot",2008
21,21,"Bill Haas",99,169.5,7554398,1238,"AverageDistancetoHoleAfterTeeShot",2008
22,22,"Jason Day",81,169.6,6471726,1060,"AverageDistancetoHoleAfterTeeShot",2008
23,23,"Martin Laird",98,169.7,7148012,1170,"AverageDistancetoHoleAfterTeeShot",2008
23,23,"Phil Mickelson",80,169.7,4986407,816,"AverageDistancetoHoleAfterTeeShot",2008
25,25,"Kevin Streelman",114,169.8,8211740,1343,"AverageDistancetoHoleAfterTeeShot",2008
26,26,"Travis Perkins",53,170,3293349,538,"AverageDistancetoHoleAfterTeeShot",2008
27,27,"Rory Sabbatini",77,170.1,5383235,879,"AverageDistancetoHoleAfterTeeShot",2008
28,28,"Fred Couples",60,170.3,4273950,697,"AverageDistancetoHoleAfterTeeShot",2008
29,29,"Lucas Glover",91,170.4,7028406,1146,"AverageDistancetoHoleAfterTeeShot",2008
29,29,"Sean OHair",81,170.4,5759528,939,"AverageDistancetoHoleAfterTeeShot",2008
31,31,"Tim Herron",97,170.5,7353864,1198,"AverageDistancetoHoleAfterTeeShot",2008
31,31,"Jeff Overton",103,170.5,7684997,1252,"AverageDistancetoHoleAfterTeeShot",2008
33,33,"Kenny Perry",97,170.7,7817498,1272,"AverageDistancetoHoleAfterTeeShot",2008
33,33,"Nicholas Thompson",113,170.7,8104228,1319,"AverageDistancetoHoleAfterTeeShot",2008
35,35,"John Huston",56,170.8,4124983,671,"AverageDistancetoHoleAfterTeeShot",2008
35,35,"Brenden Pappas",66,170.8,4709197,766,"AverageDistancetoHoleAfterTeeShot",2008
37,37,"Boo Weekley",86,171,5478422,890,"AverageDistancetoHoleAfterTeeShot",2008
38,38,"Brandt Jobe",52,171.2,3949687,641,"AverageDistancetoHoleAfterTeeShot",2008
39,39,"Joe Ogilvie",100,171.3,7439124,1206,"AverageDistancetoHoleAfterTeeShot",2008
40,40,"Pat Perez",93,171.4,6720646,1089,"AverageDistancetoHoleAfterTeeShot",2008
41,41,"Michael Letzig",88,171.5,6317189,1023,"AverageDistancetoHoleAfterTeeShot",2008
41,41,"DJ Trahan",94,171.5,6598570,1069,"AverageDistancetoHoleAfterTeeShot",2008
43,43,"Mathias Gronberg",87,171.7,6687336,1082,"AverageDistancetoHoleAfterTeeShot",2008
43,43,"Bo Van Pelt",101,171.7,7918153,1281,"AverageDistancetoHoleAfterTeeShot",2008
45,45,"George McNeill",97,172,7678514,1240,"AverageDistancetoHoleAfterTeeShot",2008
46,46,"Steve Marino",119,172.1,8885201,1434,"AverageDistancetoHoleAfterTeeShot",2008
47,47,"Mathew Goggin",91,172.2,7011377,1131,"AverageDistancetoHoleAfterTeeShot",2008
48,48,"Ryan Palmer",69,172.3,5123503,826,"AverageDistancetoHoleAfterTeeShot",2008
49,49,"Sergio Garcia",72,172.4,4811199,775,"AverageDistancetoHoleAfterTeeShot",2008
49,49,"Jason Gore",94,172.4,7281935,1173,"AverageDistancetoHoleAfterTeeShot",2008
49,49,"Mark Hensby",71,172.4,5388213,868,"AverageDistancetoHoleAfterTeeShot",2008
49,49,"John Riegger",73,172.4,5506036,887,"AverageDistancetoHoleAfterTeeShot",2008
53,53,"Ted Purdy",68,172.6,5020108,808,"AverageDistancetoHoleAfterTeeShot",2008
54,54,"Troy Matteson",94,172.8,7590265,1220,"AverageDistancetoHoleAfterTeeShot",2008
54,54,"Bob Sowards",61,172.8,4442591,714,"AverageDistancetoHoleAfterTeeShot",2008
56,56,"Stewart Cink",87,173,5461814,877,"AverageDistancetoHoleAfterTeeShot",2008
56,56,"James Driscoll",85,173,6501432,1044,"AverageDistancetoHoleAfterTeeShot",2008
56,56,"Jon Mills",95,173,6658194,1069,"AverageDistancetoHoleAfterTeeShot",2008
59,59,"Steve Lowery",74,173.1,5789492,929,"AverageDistancetoHoleAfterTeeShot",2008
60,60,"Kevin Stadler",90,173.2,6278686,1007,"AverageDistancetoHoleAfterTeeShot",2008
61,61,"Charles Howell III",101,173.3,7478535,1199,"AverageDistancetoHoleAfterTeeShot",2008
62,62,"Nick Flanagan",89,173.4,6854207,1098,"AverageDistancetoHoleAfterTeeShot",2008
62,62,"Camilo Villegas",79,173.4,5438579,871,"AverageDistancetoHoleAfterTeeShot",2008
64,64,"Matt Jones",95,173.6,7238548,1158,"AverageDistancetoHoleAfterTeeShot",2008
65,65,"Brad Adamonis",87,173.9,6524133,1042,"AverageDistancetoHoleAfterTeeShot",2008
65,65,"John Merrick",98,173.9,6662646,1064,"AverageDistancetoHoleAfterTeeShot",2008
65,65,"David Toms",70,173.9,4856774,776,"AverageDistancetoHoleAfterTeeShot",2008
68,68,"Todd Demsey",80,174.3,6149645,980,"AverageDistancetoHoleAfterTeeShot",2008
68,68,"Jimmy Walker",73,174.3,5307515,846,"AverageDistancetoHoleAfterTeeShot",2008
70,70,"Tommy Armour III",77,174.5,5685247,905,"AverageDistancetoHoleAfterTeeShot",2008
71,71,"Hunter Mahan",87,174.6,6293673,1001,"AverageDistancetoHoleAfterTeeShot",2008
72,72,"Padraig Harrington",52,174.7,2773574,441,"AverageDistancetoHoleAfterTeeShot",2008
73,73,"Chad Campbell",94,175.2,7434702,1179,"AverageDistancetoHoleAfterTeeShot",2008
73,73,"Kyle Thompson",70,175.2,4905997,778,"AverageDistancetoHoleAfterTeeShot",2008
75,75,"Paul Casey",55,175.3,3129954,496,"AverageDistancetoHoleAfterTeeShot",2008
75,75,"Ernie Els",51,175.3,3135596,497,"AverageDistancetoHoleAfterTeeShot",2008
77,77,"Mark Calcavecchia",67,175.7,4732127,748,"AverageDistancetoHoleAfterTeeShot",2008
77,77,"JJ Henry",108,175.7,8677046,1372,"AverageDistancetoHoleAfterTeeShot",2008
77,77,"Kevin Sutherland",98,175.7,7698986,1217,"AverageDistancetoHoleAfterTeeShot",2008
80,80,"Woody Austin",109,175.8,7783752,1230,"AverageDistancetoHoleAfterTeeShot",2008
81,81,"Geoff Ogilvy",65,176.1,4292203,677,"AverageDistancetoHoleAfterTeeShot",2008
81,81,"Charlie Wi",97,176.1,7691132,1213,"AverageDistancetoHoleAfterTeeShot",2008
83,83,"Ben Curtis",80,176.3,5554450,875,"AverageDistancetoHoleAfterTeeShot",2008
84,84,"Brad Elder",67,176.4,4730993,745,"AverageDistancetoHoleAfterTeeShot",2008
84,84,"Vaughn Taylor",103,176.4,8229128,1296,"AverageDistancetoHoleAfterTeeShot",2008
86,86,"Aaron Baddeley",76,176.5,5274079,830,"AverageDistancetoHoleAfterTeeShot",2008
87,87,"Rod Pampling",83,176.6,5996371,943,"AverageDistancetoHoleAfterTeeShot",2008
87,87,"Mark Wilson",107,176.6,9128498,1436,"AverageDistancetoHoleAfterTeeShot",2008
89,89,"Ryan Moore",72,176.7,5577873,877,"AverageDistancetoHoleAfterTeeShot",2008
89,89,"John Rollins",94,176.7,6978961,1097,"AverageDistancetoHoleAfterTeeShot",2008
89,89,"Chris Stroud",81,176.7,5801895,912,"AverageDistancetoHoleAfterTeeShot",2008
92,92,"Frank Lickliter II",107,176.8,8760064,1376,"AverageDistancetoHoleAfterTeeShot",2008
92,92,"Jeff Maggert",86,176.8,6929511,1089,"AverageDistancetoHoleAfterTeeShot",2008
92,92,"John Senden",93,176.8,7216234,1134,"AverageDistancetoHoleAfterTeeShot",2008
92,92,"Mike Weir",88,176.8,5885875,925,"AverageDistancetoHoleAfterTeeShot",2008
96,96,"Ryan Armour",87,177,6652347,1044,"AverageDistancetoHoleAfterTeeShot",2008
96,96,"Ben Crane",86,177,6627041,1040,"AverageDistancetoHoleAfterTeeShot",2008
96,96,"Cody Freeman",66,177,4856660,762,"AverageDistancetoHoleAfterTeeShot",2008
99,99,"Stuart Appleby",87,177.1,5884036,923,"AverageDistancetoHoleAfterTeeShot",2008
100,100,"Jonathan Byrd",88,177.2,6805478,1067,"AverageDistancetoHoleAfterTeeShot",2008
101,101,"Rich Beem",90,177.3,6988569,1095,"AverageDistancetoHoleAfterTeeShot",2008
102,102,"Joe Durant",92,177.4,6984905,1094,"AverageDistancetoHoleAfterTeeShot",2008
102,102,"Peter Lonard",92,177.4,7082846,1109,"AverageDistancetoHoleAfterTeeShot",2008
104,104,"Will Ma Kenzie",62,177.6,5031795,787,"AverageDistancetoHoleAfterTeeShot",2008
104,104,"Parker McLachlin",88,177.6,6975901,1091,"AverageDistancetoHoleAfterTeeShot",2008
106,106,"KJ Choi",74,177.7,5066466,792,"AverageDistancetoHoleAfterTeeShot",2008
107,107,"David Lutterus",59,177.9,4386163,685,"AverageDistancetoHoleAfterTeeShot",2008
107,107,"YE Yang",89,177.9,7051336,1101,"AverageDistancetoHoleAfterTeeShot",2008
109,109,"Jeff Gove",50,178,3921549,612,"AverageDistancetoHoleAfterTeeShot",2008
110,110,"Ken Duke",116,178.1,9282141,1448,"AverageDistancetoHoleAfterTeeShot",2008
111,111,"Justin Leonard",101,178.2,6536827,1019,"AverageDistancetoHoleAfterTeeShot",2008
112,112,"Billy Mayfair",103,178.3,8473405,1320,"AverageDistancetoHoleAfterTeeShot",2008
113,113,"Stephen Ames",83,178.4,5894571,918,"AverageDistancetoHoleAfterTeeShot",2008
114,114,"Jesper Parnevik",88,178.5,6658189,1036,"AverageDistancetoHoleAfterTeeShot",2008
115,115,"JP Hayes",67,178.7,5577521,867,"AverageDistancetoHoleAfterTeeShot",2008
116,116,"Ian Poulter",51,178.9,3220004,500,"AverageDistancetoHoleAfterTeeShot",2008
117,117,"Billy Andrade",71,179,5458100,847,"AverageDistancetoHoleAfterTeeShot",2008
117,117,"Eric Axley",113,179,8656355,1343,"AverageDistancetoHoleAfterTeeShot",2008
119,119,"Scott McCarron",63,179.1,4802167,745,"AverageDistancetoHoleAfterTeeShot",2008
120,120,"Todd Hamilton",92,179.2,6599858,1023,"AverageDistancetoHoleAfterTeeShot",2008
120,120,"Carl Pettersson",110,179.2,8618692,1336,"AverageDistancetoHoleAfterTeeShot",2008
122,122,"Brett Rumford",72,179.3,5325068,825,"AverageDistancetoHoleAfterTeeShot",2008
122,122,"Brandt Snedeker",85,179.3,5996994,929,"AverageDistancetoHoleAfterTeeShot",2008
124,124,"Brett Quigley",80,179.4,6484291,1004,"AverageDistancetoHoleAfterTeeShot",2008
125,125,"Alejandro Canizares",52,179.5,3631828,562,"AverageDistancetoHoleAfterTeeShot",2008
125,125,"Tim Clark",90,179.5,6534671,1011,"AverageDistancetoHoleAfterTeeShot",2008
125,125,"Patrick Sheehan",124,179.5,9306865,1440,"AverageDistancetoHoleAfterTeeShot",2008
128,128,"Robert Allenby",108,179.6,7722054,1194,"AverageDistancetoHoleAfterTeeShot",2008
129,129,"Tim Petrovic",97,179.7,7233735,1118,"AverageDistancetoHoleAfterTeeShot",2008
129,129,"Steve Stricker",75,179.7,5195218,803,"AverageDistancetoHoleAfterTeeShot",2008
131,131,"Scott Verplank",82,179.8,5876782,908,"AverageDistancetoHoleAfterTeeShot",2008
131,131,"Jay Williamson",96,179.8,7196510,1112,"AverageDistancetoHoleAfterTeeShot",2008
133,133,"Freddie Jacobson",78,180,5754529,888,"AverageDistancetoHoleAfterTeeShot",2008
133,133,"Tom Lehman",51,180,3421241,528,"AverageDistancetoHoleAfterTeeShot",2008
135,135,"Steve Elkington",84,180.1,6572855,1014,"AverageDistancetoHoleAfterTeeShot",2008
135,135,"Bob Tway",70,180.1,5109322,788,"AverageDistancetoHoleAfterTeeShot",2008
137,137,"Kenneth Ferrie",72,180.2,5370147,828,"AverageDistancetoHoleAfterTeeShot",2008
138,138,"Retief Goosen",59,180.3,3731848,575,"AverageDistancetoHoleAfterTeeShot",2008
139,139,"Briny Baird",113,180.4,8630063,1329,"AverageDistancetoHoleAfterTeeShot",2008
139,139,"Tom Pernice Jr",104,180.4,8755023,1348,"AverageDistancetoHoleAfterTeeShot",2008
139,139,"Tom Scherrer",56,180.4,3928390,605,"AverageDistancetoHoleAfterTeeShot",2008
142,142,"Trevor Immelman",70,180.5,4820671,742,"AverageDistancetoHoleAfterTeeShot",2008
143,143,"Steve Flesch",95,180.6,7280872,1120,"AverageDistancetoHoleAfterTeeShot",2008
144,144,"Kevin Na",97,180.7,8163148,1255,"AverageDistancetoHoleAfterTeeShot",2008
144,144,"Johnson Wagner",83,180.7,6089983,936,"AverageDistancetoHoleAfterTeeShot",2008
146,146,"Marco Dawson",64,180.8,4802516,738,"AverageDistancetoHoleAfterTeeShot",2008
147,147,"Michael Allen",91,180.9,7052574,1083,"AverageDistancetoHoleAfterTeeShot",2008
147,147,"Carlos Franco",73,180.9,5632357,865,"AverageDistancetoHoleAfterTeeShot",2008
147,147,"Kent Jones",68,180.9,4943918,759,"AverageDistancetoHoleAfterTeeShot",2008
150,150,"Justin Bolli",87,181,6569787,1008,"AverageDistancetoHoleAfterTeeShot",2008
150,150,"Nathan Green",95,181,8126835,1247,"AverageDistancetoHoleAfterTeeShot",2008
152,152,"Heath Slocum",104,181.2,7783921,1193,"AverageDistancetoHoleAfterTeeShot",2008
153,153,"Jim Furyk",95,181.3,6867598,1052,"AverageDistancetoHoleAfterTeeShot",2008
153,153,"Jim McGovern",75,181.3,5607890,859,"AverageDistancetoHoleAfterTeeShot",2008
155,155,"Cliff Kresge",84,181.4,6518551,998,"AverageDistancetoHoleAfterTeeShot",2008
155,155,"Doug LaBelle II",65,181.4,4624173,708,"AverageDistancetoHoleAfterTeeShot",2008
155,155,"John Mallinger",95,181.4,7582352,1161,"AverageDistancetoHoleAfterTeeShot",2008
155,155,"Rocco Mediate",87,181.4,6244519,956,"AverageDistancetoHoleAfterTeeShot",2008
155,155,"Scott Sterling",89,181.4,6693357,1025,"AverageDistancetoHoleAfterTeeShot",2008
160,160,"Robert Gamez",79,181.5,6390826,978,"AverageDistancetoHoleAfterTeeShot",2008
161,161,"Cameron Beckman",87,181.9,6693535,1022,"AverageDistancetoHoleAfterTeeShot",2008
163,163,"Brian Davis",108,182,9306322,1420,"AverageDistancetoHoleAfterTeeShot",2008
164,164,"Marc Turnesa",87,182.1,6862825,1047,"AverageDistancetoHoleAfterTeeShot",2008
165,165,"David Duval",51,182.3,3616643,551,"AverageDistancetoHoleAfterTeeShot",2008
165,165,"Zach Johnson",85,182.3,6541622,997,"AverageDistancetoHoleAfterTeeShot",2008
167,167,"Chez Reavie",102,182.5,8153693,1241,"AverageDistancetoHoleAfterTeeShot",2008
168,168,"Glen Day",64,182.7,5097213,775,"AverageDistancetoHoleAfterTeeShot",2008
169,169,"Alex Cejka",75,182.8,5442662,827,"AverageDistancetoHoleAfterTeeShot",2008
169,169,"Greg Kraft",63,182.8,4567668,694,"AverageDistancetoHoleAfterTeeShot",2008
171,171,"Chris DiMarco",87,182.9,6914016,1050,"AverageDistancetoHoleAfterTeeShot",2008
172,172,"Bob Estes",90,183.1,7835773,1189,"AverageDistancetoHoleAfterTeeShot",2008
173,173,"Tim Wilkinson",95,183.3,7318171,1109,"AverageDistancetoHoleAfterTeeShot",2008
174,174,"Dudley Hart",74,183.4,6114032,926,"AverageDistancetoHoleAfterTeeShot",2008
175,175,"Matt Kuchar",88,183.6,6425614,972,"AverageDistancetoHoleAfterTeeShot",2008
176,176,"Lee Janzen",89,184,6821678,1030,"AverageDistancetoHoleAfterTeeShot",2008
177,177,"Shane Bertsch",96,184.1,8238426,1243,"AverageDistancetoHoleAfterTeeShot",2008
178,178,"Jerry Kelly",89,184.2,6785056,1023,"AverageDistancetoHoleAfterTeeShot",2008
179,179,"Paul Goydos",78,184.4,6201468,934,"AverageDistancetoHoleAfterTeeShot",2008
180,180,"Chad Collins",72,184.6,5721449,861,"AverageDistancetoHoleAfterTeeShot",2008
181,181,"Bart Bryant",81,184.7,6196115,932,"AverageDistancetoHoleAfterTeeShot",2008
182,182,"Dean Wilson",109,184.8,8482632,1275,"AverageDistancetoHoleAfterTeeShot",2008
183,183,"Chris Riley",51,185.1,3678217,552,"AverageDistancetoHoleAfterTeeShot",2008
184,184,"Omar Uresti",74,185.3,5836201,875,"AverageDistancetoHoleAfterTeeShot",2008
185,185,"Ron Whittaker",54,185.9,3793952,567,"AverageDistancetoHoleAfterTeeShot",2008
186,186,"Ryuji Imada",80,186.2,6314784,942,"AverageDistancetoHoleAfterTeeShot",2008
187,187,"Craig Kanada",65,186.7,5100263,759,"AverageDistancetoHoleAfterTeeShot",2008
188,188,"Paul Claxton",63,186.8,4659310,693,"AverageDistancetoHoleAfterTeeShot",2008
189,189,"Olin Browne",77,187.3,6521020,967,"AverageDistancetoHoleAfterTeeShot",2008
190,190,"Nick OHern",82,188.1,6697847,989,"AverageDistancetoHoleAfterTeeShot",2008
191,191,"Jin Park",85,188.5,6509451,959,"AverageDistancetoHoleAfterTeeShot",2008
192,192,"Brian Gay",102,189,8117647,1193,"AverageDistancetoHoleAfterTeeShot",2008
