"PercentageofYardagecoveredbyTeeShots_RANKTHISWEEK_2006","PercentageofYardagecoveredbyTeeShots_RANKLASTWEEK_2006","PercentageofYardagecoveredbyTeeShots_PLAYERNAME_2006","PercentageofYardagecoveredbyTeeShots_ROUNDS_2006","PercentageofYardagecoveredbyTeeShots_AVGPct_2006","PercentageofYardagecoveredbyTeeShots_TOTALSHOTDISTANCE_2006","PercentageofYardagecoveredbyTeeShots_TOTALDISTANCE_2006","stat_name","year"
1,1,"JB Holmes",81,66.8,268915.8,402595,"PercentageofYardagecoveredbyTeeShots",2006
2,2,"Bubba Watson",83,66.25,302407.9,456463,"PercentageofYardagecoveredbyTeeShots",2006
3,3,"Robert Garrigus",85,64.79,305703.8,471845,"PercentageofYardagecoveredbyTeeShots",2006
4,4,"John Daly",51,64.77,170839.9,263768,"PercentageofYardagecoveredbyTeeShots",2006
5,5,"Brett Wetterich",82,64.67,299270.3,462737,"PercentageofYardagecoveredbyTeeShots",2006
6,6,"Ryan Hietala",61,64.45,208720.7,323839,"PercentageofYardagecoveredbyTeeShots",2006
7,7,"Harrison Frazar",95,64.35,306955.4,477043,"PercentageofYardagecoveredbyTeeShots",2006
8,8,"Tag Ridings",103,64.16,365615.2,569837,"PercentageofYardagecoveredbyTeeShots",2006
9,9,"Charley Hoffman",100,64.12,362544.2,565399,"PercentageofYardagecoveredbyTeeShots",2006
10,10,"Jeff Overton",95,64.09,353733.1,551941,"PercentageofYardagecoveredbyTeeShots",2006
11,11,"Camilo Villegas",95,63.89,332999.5,521238,"PercentageofYardagecoveredbyTeeShots",2006
12,12,"Scott Gutschewski",53,63.8,182680.1,286351,"PercentageofYardagecoveredbyTeeShots",2006
13,13,"Fred Couples",52,63.78,130569.1,204709,"PercentageofYardagecoveredbyTeeShots",2006
14,14,"Chris Couch",75,63.76,271081.8,425156,"PercentageofYardagecoveredbyTeeShots",2006
15,15,"Adam Scott",70,63.71,206596.5,324258,"PercentageofYardagecoveredbyTeeShots",2006
16,16,"Bubba Dickerson",98,63.67,347596.1,545974,"PercentageofYardagecoveredbyTeeShots",2006
17,17,"Phil Mickelson",74,63.66,191943.7,301495,"PercentageofYardagecoveredbyTeeShots",2006
18,18,"Lucas Glover",105,63.58,349588,549798,"PercentageofYardagecoveredbyTeeShots",2006
19,19,"Nicholas Thompson",96,63.57,316022,497096,"PercentageofYardagecoveredbyTeeShots",2006
19,19,"Charles Warren",93,63.57,326335,513367,"PercentageofYardagecoveredbyTeeShots",2006
21,21,"Matt Hansen",68,63.55,233241.8,366996,"PercentageofYardagecoveredbyTeeShots",2006
22,22,"Kris Cox",83,63.54,289293.4,455284,"PercentageofYardagecoveredbyTeeShots",2006
23,23,"Alex Aragon",63,63.5,217800.2,343004,"PercentageofYardagecoveredbyTeeShots",2006
24,24,"Chris Smith",67,63.49,237074.8,373393,"PercentageofYardagecoveredbyTeeShots",2006
25,25,"Kenny Perry",73,63.45,240529.9,379091,"PercentageofYardagecoveredbyTeeShots",2006
25,25,"Vijay Singh",103,63.45,340686.8,536909,"PercentageofYardagecoveredbyTeeShots",2006
27,27,"Mathias Gronberg",92,63.43,318731.7,502510,"PercentageofYardagecoveredbyTeeShots",2006
28,28,"James Driscoll",80,63.39,305916.5,482575,"PercentageofYardagecoveredbyTeeShots",2006
29,29,"Tiger Woods",55,63.31,150815.5,238219,"PercentageofYardagecoveredbyTeeShots",2006
30,30,"Davis Love III",85,63.3,231630.3,365903,"PercentageofYardagecoveredbyTeeShots",2006
31,31,"Troy Matteson",101,63.25,354261.2,560083,"PercentageofYardagecoveredbyTeeShots",2006
32,32,"Jason Gore",86,63.23,292272.2,462241,"PercentageofYardagecoveredbyTeeShots",2006
33,33,"Rich Beem",85,63.22,262792.9,415711,"PercentageofYardagecoveredbyTeeShots",2006
34,34,"Jon Mills",68,63.16,217634.2,344588,"PercentageofYardagecoveredbyTeeShots",2006
35,35,"Daniel Chopra",110,63.14,362141.5,573532,"PercentageofYardagecoveredbyTeeShots",2006
36,36,"Mathew Goggin",72,63.07,233236.8,369825,"PercentageofYardagecoveredbyTeeShots",2006
37,37,"Geoff Ogilvy",76,63.03,210528.2,333989,"PercentageofYardagecoveredbyTeeShots",2006
38,38,"Ryan Palmer",101,62.99,327860.5,520499,"PercentageofYardagecoveredbyTeeShots",2006
39,39,"Retief Goosen",68,62.97,184340.7,292748,"PercentageofYardagecoveredbyTeeShots",2006
40,40,"Jonathan Kaye",95,62.93,343962.9,546606,"PercentageofYardagecoveredbyTeeShots",2006
41,41,"Will Ma Kenzie",91,62.92,299313.2,475731,"PercentageofYardagecoveredbyTeeShots",2006
42,42,"Nick Watney",97,62.9,344448.6,547594,"PercentageofYardagecoveredbyTeeShots",2006
43,43,"Roger Tambellini",64,62.88,212704.7,338282,"PercentageofYardagecoveredbyTeeShots",2006
44,44,"Craig Barlow",77,62.87,233903,372043,"PercentageofYardagecoveredbyTeeShots",2006
45,45,"Jonathan Byrd",66,62.85,215683.8,343179,"PercentageofYardagecoveredbyTeeShots",2006
46,46,"Wes Short Jr",96,62.81,339649.8,540797,"PercentageofYardagecoveredbyTeeShots",2006
47,47,"Henrik Bjornstad",97,62.78,355802.3,566769,"PercentageofYardagecoveredbyTeeShots",2006
47,47,"Bo Van Pelt",102,62.78,358832.9,571533,"PercentageofYardagecoveredbyTeeShots",2006
49,49,"Trevor Immelman",86,62.71,290454.4,463182,"PercentageofYardagecoveredbyTeeShots",2006
49,49,"Jimmy Walker",60,62.71,221986.6,353997,"PercentageofYardagecoveredbyTeeShots",2006
51,51,"Charles Howell III",96,62.7,315542.5,503284,"PercentageofYardagecoveredbyTeeShots",2006
52,52,"Bill Haas",99,62.69,350812.3,559602,"PercentageofYardagecoveredbyTeeShots",2006
53,53,"Eric Axley",91,62.6,313891.6,501456,"PercentageofYardagecoveredbyTeeShots",2006
54,54,"John Senden",96,62.59,313905.9,501529,"PercentageofYardagecoveredbyTeeShots",2006
55,55,"Paul Stankowski",70,62.55,250130.8,399913,"PercentageofYardagecoveredbyTeeShots",2006
56,56,"Hunter Mahan",98,62.5,350494.3,560831,"PercentageofYardagecoveredbyTeeShots",2006
57,57,"Sergio Garcia",59,62.45,157831.1,252740,"PercentageofYardagecoveredbyTeeShots",2006
57,57,"Rory Sabbatini",84,62.45,254424.7,407438,"PercentageofYardagecoveredbyTeeShots",2006
59,59,"JJ Henry",96,62.42,306373.2,490817,"PercentageofYardagecoveredbyTeeShots",2006
59,59,"Tim Herron",82,62.42,245697,393606,"PercentageofYardagecoveredbyTeeShots",2006
61,61,"Brandt Jobe",91,62.41,278956.8,446968,"PercentageofYardagecoveredbyTeeShots",2006
62,62,"David Duval",71,62.38,210443.7,337345,"PercentageofYardagecoveredbyTeeShots",2006
62,62,"John Rollins",93,62.38,303246.9,486101,"PercentageofYardagecoveredbyTeeShots",2006
64,64,"Sean OHair",100,62.35,302536.7,485248,"PercentageofYardagecoveredbyTeeShots",2006
65,65,"Brian Bateman",69,62.32,231886.6,372118,"PercentageofYardagecoveredbyTeeShots",2006
66,66,"Joe Ogilvie",95,62.27,308334.9,495185,"PercentageofYardagecoveredbyTeeShots",2006
