"SandSavesfrom_RANKTHISWEEK_2011","SandSavesfrom_RANKLASTWEEK_2011","SandSavesfrom_PLAYERNAME_2011","SandSavesfrom_ROUNDS_2011","SandSavesfrom_Pct_2011","SandSavesfrom_OFSAVES_2011","SandSavesfrom_OFBUNKERS_2011","stat_name","year"
1,1,"Woody Austin",59,100,4,4,"SandSavesfrom",2011
1,1,"Briny Baird",60,100,2,2,"SandSavesfrom",2011
1,1,"Cameron Beckman",71,100,4,4,"SandSavesfrom",2011
1,1,"Michael Bradley",74,100,2,2,"SandSavesfrom",2011
1,1,"Angel Cabrera",50,100,3,3,"SandSavesfrom",2011
1,1,"Harrison Frazar",58,100,3,3,"SandSavesfrom",2011
1,1,"Andres Gonzales",60,100,1,1,"SandSavesfrom",2011
1,1,"David Hearn",88,100,3,3,"SandSavesfrom",2011
1,1,"Jim Herman",69,100,2,2,"SandSavesfrom",2011
1,1,"Trevor Immelman",84,100,3,3,"SandSavesfrom",2011
1,1,"Davis Love III",70,100,3,3,"SandSavesfrom",2011
1,1,"George McNeill",69,100,5,5,"SandSavesfrom",2011
1,1,"Jeff Overton",92,100,3,3,"SandSavesfrom",2011
1,1,"Tim Petrovic",88,100,4,4,"SandSavesfrom",2011
1,1,"Charl Schwartzel",58,100,3,3,"SandSavesfrom",2011
1,1,"Kevin Streelman",90,100,4,4,"SandSavesfrom",2011
1,1,"Gary Woodland",93,100,4,4,"SandSavesfrom",2011
18,18,"Matt Bettencourt",84,90,9,10,"SandSavesfrom",2011
19,19,"Josh Teater",104,88.89,8,9,"SandSavesfrom",2011
20,20,"Aaron Baddeley",77,87.5,7,8,"SandSavesfrom",2011
20,20,"Greg Chalmers",88,87.5,7,8,"SandSavesfrom",2011
20,20,"Geoff Ogilvy",69,87.5,7,8,"SandSavesfrom",2011
23,23,"Chris Couch",73,85.71,12,14,"SandSavesfrom",2011
23,23,"Bio Kim",71,85.71,6,7,"SandSavesfrom",2011
23,23,"Chris Riley",76,85.71,6,7,"SandSavesfrom",2011
26,26,"Joseph Bramlett",73,83.33,5,6,"SandSavesfrom",2011
26,26,"Jim Furyk",87,83.33,5,6,"SandSavesfrom",2011
26,26,"Robert Karlsson",61,83.33,5,6,"SandSavesfrom",2011
26,26,"Marc Leishman",87,83.33,5,6,"SandSavesfrom",2011
26,26,"Zack Miller",86,83.33,5,6,"SandSavesfrom",2011
26,26,"Michael Putnam",67,83.33,5,6,"SandSavesfrom",2011
26,26,"DJ Trahan",91,83.33,5,6,"SandSavesfrom",2011
33,33,"Jason Day",76,80,4,5,"SandSavesfrom",2011
33,33,"Scott Gutschewski",67,80,4,5,"SandSavesfrom",2011
33,33,"Ryuji Imada",83,80,8,10,"SandSavesfrom",2011
33,33,"Zach Johnson",79,80,4,5,"SandSavesfrom",2011
