"OnePuttPercentage_RANKTHISWEEK_2010","OnePuttPercentage_RANKLASTWEEK_2010","OnePuttPercentage_PLAYERNAME_2010","OnePuttPercentage_ROUNDS_2010","OnePuttPercentage_Pct_2010","OnePuttPercentage_OF1PUTTS_2010","OnePuttPercentage_OFHOLES_2010","stat_name","year"
1,1,"Brian Gay",101,43.93,775,1764,"OnePuttPercentage",2010
2,2,"Brandt Snedeker",89,43.88,703,1602,"OnePuttPercentage",2010
3,3,"Ryuji Imada",90,42.84,694,1620,"OnePuttPercentage",2010
4,4,"Charlie Wi",95,42.69,730,1710,"OnePuttPercentage",2010
5,5,"Mike Weir",59,42.5,436,1026,"OnePuttPercentage",2010
6,6,"Greg Chalmers",93,42,703,1674,"OnePuttPercentage",2010
7,7,"Padraig Harrington",57,41.57,419,1008,"OnePuttPercentage",2010
8,8,"Michael Sim",64,41.18,467,1134,"OnePuttPercentage",2010
9,9,"Luke Donald",71,41.09,503,1224,"OnePuttPercentage",2010
10,10,"Kevin Na",94,41.04,687,1674,"OnePuttPercentage",2010
11,11,"Matt Jones",89,40.89,655,1602,"OnePuttPercentage",2010
12,12,"Pat Perez",90,40.8,661,1620,"OnePuttPercentage",2010
13,13,"Scott Verplank",74,40.79,536,1314,"OnePuttPercentage",2010
14,14,"JB Holmes",100,40.67,732,1800,"OnePuttPercentage",2010
15,15,"David Toms",86,40.65,622,1530,"OnePuttPercentage",2010
16,16,"Nathan Green",86,40.57,628,1548,"OnePuttPercentage",2010
17,17,"Zach Johnson",93,40.48,663,1638,"OnePuttPercentage",2010
18,18,"Aaron Baddeley",94,40.43,684,1692,"OnePuttPercentage",2010
19,19,"Tom Gillis",97,40.38,705,1746,"OnePuttPercentage",2010
19,19,"Justin Rose",78,40.38,567,1404,"OnePuttPercentage",2010
21,21,"Brian Davis",101,40.32,733,1818,"OnePuttPercentage",2010
22,22,"Matt Kuchar",97,40.23,688,1710,"OnePuttPercentage",2010
23,23,"Ryan Palmer",84,40.21,608,1512,"OnePuttPercentage",2010
24,24,"Webb Simpson",98,40.19,709,1764,"OnePuttPercentage",2010
