"HangTime_RANKTHISWEEK_2009","HangTime_RANKLASTWEEK_2009","HangTime_PLAYERNAME_2009","HangTime_ROUNDS_2009","HangTime_AVG_2009","HangTime_TOTALACTUALHANGTIME_2009","HangTime_TOTALATTEMPTS_2009","HangTime_LONGESTACTHANGTIME_2009","HangTime_SHORTESTACTHANGTIME_2009","stat_name","year"
1,1,"Marc Leishman",91,6.8,494.4,73,8.1,2.3,"HangTime",2009
2,2,"Jonathan Byrd",89,6.7,412.7,62,7.9,4.5,"HangTime",2009
2,2,"Harrison Frazar",93,6.7,487.8,73,7.8,3.1,"HangTime",2009
2,2,"Tag Ridings",50,6.7,273.3,41,7.9,4.9,"HangTime",2009
2,2,"Vijay Singh",71,6.7,399.6,60,7.3,5.4,"HangTime",2009
2,2,"Kevin Sutherland",96,6.7,431.5,64,7.7,4.8,"HangTime",2009
7,7,"Luke Donald",79,6.6,428.7,65,7.7,3.8,"HangTime",2009
7,7,"Robert Garrigus",83,6.6,398.4,60,7.8,5.2,"HangTime",2009
7,7,"JB Holmes",74,6.6,334.2,51,8.1,4.2,"HangTime",2009
7,7,"Davis Love III",89,6.6,450.8,68,7.7,2.7,"HangTime",2009
7,7,"Steve Marino",98,6.6,542.4,82,7.6,4.2,"HangTime",2009
7,7,"Billy Mayfair",83,6.6,427.3,65,7.5,5.5,"HangTime",2009
7,7,"Phil Mickelson",66,6.6,289.7,44,7.8,4.5,"HangTime",2009
7,7,"Geoff Ogilvy",78,6.6,448.1,68,7.4,2.9,"HangTime",2009
7,7,"Ted Purdy",101,6.6,518.4,79,7.6,2.8,"HangTime",2009
7,7,"Gary Woodland",53,6.6,204.1,31,7.7,5.5,"HangTime",2009
17,17,"Robert Allenby",71,6.5,357.3,55,7.5,4.1,"HangTime",2009
17,17,"Brian Bateman",55,6.5,320.6,49,7.7,2.9,"HangTime",2009
17,17,"Mathew Goggin",76,6.5,363.2,56,7.5,4.8,"HangTime",2009
17,17,"Retief Goosen",74,6.5,350.8,54,7.7,5.2,"HangTime",2009
17,17,"Padraig Harrington",66,6.5,304,47,8,3.4,"HangTime",2009
17,17,"Charley Hoffman",97,6.5,519.5,80,8.1,4.7,"HangTime",2009
17,17,"Troy Matteson",95,6.5,551,85,7.4,4.9,"HangTime",2009
17,17,"Scott McCarron",91,6.5,491.1,75,7.4,3.3,"HangTime",2009
17,17,"John Merrick",91,6.5,451.3,69,7.6,4.9,"HangTime",2009
17,17,"Webb Simpson",94,6.5,484.2,75,7.6,4.1,"HangTime",2009
17,17,"Brandt Snedeker",81,6.5,395.5,61,7.3,5.6,"HangTime",2009
17,17,"Darron Stiles",52,6.5,213.3,33,7,5.7,"HangTime",2009
17,17,"Kevin Streelman",97,6.5,552.5,85,7.5,3.2,"HangTime",2009
17,17,"Jimmy Walker",74,6.5,324.7,50,8.1,4,"HangTime",2009
17,17,"Charles Warren",63,6.5,305.4,47,7.7,4.2,"HangTime",2009
17,17,"Mark Wilson",99,6.5,499.5,77,7.4,4.2,"HangTime",2009
17,17,"Tiger Woods",64,6.5,258.1,40,7.6,4.7,"HangTime",2009
34,34,"Woody Austin",84,6.4,510.9,80,7.2,4.5,"HangTime",2009
34,34,"Jason Bohn",88,6.4,520.7,81,7.4,4.3,"HangTime",2009
34,34,"Ben Curtis",63,6.4,273.4,43,7.3,3.3,"HangTime",2009
34,34,"Brendon de Jonge",90,6.4,427.5,67,7.3,5.4,"HangTime",2009
34,34,"Chris DiMarco",97,6.4,526.9,82,7.2,3.7,"HangTime",2009
34,34,"Bill Haas",91,6.4,511.6,80,7.7,4,"HangTime",2009
34,34,"Dustin Johnson",85,6.4,407.4,64,7.6,4.8,"HangTime",2009
34,34,"Martin Laird",72,6.4,322.4,50,7.6,1.1,"HangTime",2009
34,34,"Steve Lowery",83,6.4,460.5,72,7.4,4.3,"HangTime",2009
34,34,"Will Ma Kenzie",69,6.4,387.4,61,7.7,5.5,"HangTime",2009
34,34,"George McNeill",82,6.4,477.6,75,7.4,4.6,"HangTime",2009
34,34,"Joe Ogilvie",85,6.4,423.5,66,7.6,4.6,"HangTime",2009
34,34,"Greg Owen",97,6.4,544.6,85,7.5,4.7,"HangTime",2009
34,34,"Ryan Palmer",78,6.4,436.6,68,7.4,5.1,"HangTime",2009
34,34,"Pat Perez",74,6.4,408.9,64,7.5,2.3,"HangTime",2009
34,34,"John Senden",100,6.4,505.2,79,7.4,2.8,"HangTime",2009
34,34,"Kevin Stadler",65,6.4,301.1,47,7.5,3.3,"HangTime",2009
34,34,"Chris Stroud",88,6.4,359.4,56,7.9,4.4,"HangTime",2009
34,34,"Nicholas Thompson",96,6.4,509.4,80,7.5,4.1,"HangTime",2009
34,34,"Brendon Todd",53,6.4,309.4,48,7.2,5.1,"HangTime",2009
34,34,"David Toms",98,6.4,509.3,80,7.1,4.5,"HangTime",2009
34,34,"Marc Turnesa",77,6.4,495,77,7.6,3.5,"HangTime",2009
34,34,"Bo Van Pelt",100,6.4,463.9,73,7.2,4.8,"HangTime",2009
34,34,"Boo Weekley",79,6.4,470.2,74,7.3,5,"HangTime",2009
58,58,"Stuart Appleby",79,6.3,404.3,64,7.6,4.3,"HangTime",2009
58,58,"Aaron Baddeley",66,6.3,318.9,51,7.5,1.9,"HangTime",2009
