"BonusPutting_RANKTHISWEEK_2007","BonusPutting_RANKLASTWEEK_2007","BonusPutting_PLAYERNAME_2007","BonusPutting_ROUNDS_2007","BonusPutting_VALUE_2007","BonusPutting_ATTEMPTS_2007","BonusPutting_TOTMADE20_2007","BonusPutting_TOTMADE_2007","stat_name","year"
1,1,"Jesper Parnevik",88,103.33,1021,58,997,"BonusPutting",2007
2,2,"Tim Clark",66,101.42,706,29,687,"BonusPutting",2007
3,3,"Sergio Garcia",68,101.38,799,28,782,"BonusPutting",2007
4,4,"Michael Sim",52,101.13,706,29,685,"BonusPutting",2007
5,5,"Zach Johnson",76,101.08,835,30,814,"BonusPutting",2007
6,6,"Dicky Pride",71,100.95,842,34,816,"BonusPutting",2007
7,7,"Rory Sabbatini",81,100.92,872,30,850,"BonusPutting",2007
8,8,"Tiger Woods",63,100.83,600,22,583,"BonusPutting",2007
9,9,"Tag Ridings",52,100.79,629,24,610,"BonusPutting",2007
10,10,"Brandt Snedeker",105,100.59,1192,36,1163,"BonusPutting",2007
11,11,"Jose Maria Olazabal",52,100.58,516,18,501,"BonusPutting",2007
12,12,"Charles Howell III",89,100.54,925,30,900,"BonusPutting",2007
12,12,"Steve Stricker",81,100.54,925,22,908,"BonusPutting",2007
14,14,"Freddie Jacobson",70,100.53,948,33,920,"BonusPutting",2007
15,15,"Corey Pavin",81,100.5,1004,38,971,"BonusPutting",2007
16,16,"Henrik Stenson",52,100.39,507,16,493,"BonusPutting",2007
17,17,"Scott Gutschewski",67,100.36,822,26,799,"BonusPutting",2007
18,18,"Richard Johnson",93,100.34,1173,32,1145,"BonusPutting",2007
19,19,"Paul Goydos",60,100.31,642,28,616,"BonusPutting",2007
19,19,"Craig Lile",77,100.31,962,33,932,"BonusPutting",2007
21,21,"Gavin Coles",87,100.27,1094,38,1059,"BonusPutting",2007
21,21,"George McNeill",95,100.27,1118,33,1088,"BonusPutting",2007
23,23,"Charlie Wi",90,100.25,1187,38,1152,"BonusPutting",2007
24,24,"Ryuji Imada",104,100.24,1239,44,1198,"BonusPutting",2007
24,24,"Jeff Quinney",95,100.24,1230,49,1184,"BonusPutting",2007
26,26,"Stewart Cink",91,100.2,1009,31,980,"BonusPutting",2007
26,26,"Anders Hansen",55,100.2,491,12,480,"BonusPutting",2007
28,28,"Dean Wilson",92,100.19,1047,33,1016,"BonusPutting",2007
29,29,"Shigeki Maruyama",84,100.18,1130,34,1098,"BonusPutting",2007
30,30,"Jeff Overton",60,100.13,757,27,731,"BonusPutting",2007
31,31,"Jonathan Byrd",73,100.12,864,34,831,"BonusPutting",2007
32,32,"Joe Ogilvie",102,100.08,1197,44,1154,"BonusPutting",2007
33,33,"Ryan Armour",107,100,1359,60,1299,"BonusPutting",2007
