"FirstTeeLateRound2ScoringAverage_RANKTHISWEEK_2006","FirstTeeLateRound2ScoringAverage_RANKLASTWEEK_2006","FirstTeeLateRound2ScoringAverage_PLAYERNAME_2006","FirstTeeLateRound2ScoringAverage__2006","FirstTeeLateRound2ScoringAverage_AVG_2006","FirstTeeLateRound2ScoringAverage_TOTALSTROKES_2006","FirstTeeLateRound2ScoringAverage_TOTALROUNDS_2006","stat_name","year"
1,1,"Ryan Palmer",NA,67.83,407,6,"FirstTeeLateRound2ScoringAverage",2006
2,2,"Ernie Els",NA,68.4,342,5,"FirstTeeLateRound2ScoringAverage",2006
3,3,"Frank Lickliter II",NA,68.5,411,6,"FirstTeeLateRound2ScoringAverage",2006
4,4,"Joe Durant",NA,68.6,343,5,"FirstTeeLateRound2ScoringAverage",2006
5,5,"Brett Quigley",NA,68.63,549,8,"FirstTeeLateRound2ScoringAverage",2006
6,6,"Craig Barlow",NA,68.67,412,6,"FirstTeeLateRound2ScoringAverage",2006
6,6,"Bob May",NA,68.67,206,3,"FirstTeeLateRound2ScoringAverage",2006
8,8,"Stephen Leaney",NA,68.8,344,5,"FirstTeeLateRound2ScoringAverage",2006
8,8,"Tiger Woods",NA,68.8,344,5,"FirstTeeLateRound2ScoringAverage",2006
10,10,"Kenny Perry",NA,68.89,620,9,"FirstTeeLateRound2ScoringAverage",2006
11,11,"Brent Geiberger",NA,69,138,2,"FirstTeeLateRound2ScoringAverage",2006
12,12,"Chad Campbell",NA,69.17,415,6,"FirstTeeLateRound2ScoringAverage",2006
13,13,"Luke Donald",NA,69.33,624,9,"FirstTeeLateRound2ScoringAverage",2006
13,13,"Padraig Harrington",NA,69.33,416,6,"FirstTeeLateRound2ScoringAverage",2006
13,13,"David Howell",NA,69.33,416,6,"FirstTeeLateRound2ScoringAverage",2006
16,16,"Tim Herron",NA,69.43,486,7,"FirstTeeLateRound2ScoringAverage",2006
17,17,"Ryuji Imada",NA,69.5,556,8,"FirstTeeLateRound2ScoringAverage",2006
17,17,"Mike Sposa",NA,69.5,278,4,"FirstTeeLateRound2ScoringAverage",2006
17,17,"Scott Verplank",NA,69.5,695,10,"FirstTeeLateRound2ScoringAverage",2006
20,20,"Kevin Sutherland",NA,69.57,487,7,"FirstTeeLateRound2ScoringAverage",2006
21,21,"Bill Haas",NA,69.63,557,8,"FirstTeeLateRound2ScoringAverage",2006
22,22,"Paul Stankowski",NA,69.67,418,6,"FirstTeeLateRound2ScoringAverage",2006
23,23,"Shane Bertsch",NA,69.8,698,10,"FirstTeeLateRound2ScoringAverage",2006
23,23,"Jose Maria Olazabal",NA,69.8,349,5,"FirstTeeLateRound2ScoringAverage",2006
25,25,"Bernhard Langer",NA,69.83,419,6,"FirstTeeLateRound2ScoringAverage",2006
