"AverageApproachDistanceBirdieorBetter_RANKTHISWEEK_2006","AverageApproachDistanceBirdieorBetter_RANKLASTWEEK_2006","AverageApproachDistanceBirdieorBetter_PLAYERNAME_2006","AverageApproachDistanceBirdieorBetter_ROUNDS_2006","AverageApproachDistanceBirdieorBetter_AVGYARDS_2006","AverageApproachDistanceBirdieorBetter_TOTALDISTANCEINCHES_2006","AverageApproachDistanceBirdieorBetter_NUMBEROFAPPROACHSHOTS_2006","stat_name","year"
1,1,"Mark OMeara",52,146.3,542340,103,"AverageApproachDistanceBirdieorBetter",2006
2,2,"Greg Kraft",79,149.5,1178641,219,"AverageApproachDistanceBirdieorBetter",2006
3,3,"Fred Funk",106,154.1,1631032,294,"AverageApproachDistanceBirdieorBetter",2006
4,4,"Jerry Smith",94,154.3,1650068,297,"AverageApproachDistanceBirdieorBetter",2006
5,5,"Kirk Triplett",58,154.6,984972,177,"AverageApproachDistanceBirdieorBetter",2006
6,6,"JP Hayes",55,155.7,1137707,203,"AverageApproachDistanceBirdieorBetter",2006
7,7,"Shane Bertsch",104,157.3,1817565,321,"AverageApproachDistanceBirdieorBetter",2006
8,8,"John Cook",67,157.6,987124,174,"AverageApproachDistanceBirdieorBetter",2006
9,9,"Michael Connell",51,157.8,738569,130,"AverageApproachDistanceBirdieorBetter",2006
10,10,"Vance Veazey",59,158.4,1043824,183,"AverageApproachDistanceBirdieorBetter",2006
11,11,"Justin Leonard",83,158.5,1198367,210,"AverageApproachDistanceBirdieorBetter",2006
12,12,"Paul Goydos",72,159.1,1237181,216,"AverageApproachDistanceBirdieorBetter",2006
13,13,"Brian Gay",107,159.5,2061318,359,"AverageApproachDistanceBirdieorBetter",2006
14,14,"Mark Brooks",90,160.3,1182703,205,"AverageApproachDistanceBirdieorBetter",2006
15,15,"Len Mattiace",59,160.6,994155,172,"AverageApproachDistanceBirdieorBetter",2006
16,16,"Omar Uresti",61,160.9,955883,165,"AverageApproachDistanceBirdieorBetter",2006
17,17,"Ryuji Imada",105,161.1,1705001,294,"AverageApproachDistanceBirdieorBetter",2006
18,18,"Skip Kendall",72,161.4,1150260,198,"AverageApproachDistanceBirdieorBetter",2006
19,19,"Bart Bryant",87,161.6,1378934,237,"AverageApproachDistanceBirdieorBetter",2006
20,20,"Ben Curtis",86,162.7,1300300,222,"AverageApproachDistanceBirdieorBetter",2006
21,21,"Todd Fischer",101,162.8,1805645,308,"AverageApproachDistanceBirdieorBetter",2006
22,22,"Mark Wilson",79,163,1595979,272,"AverageApproachDistanceBirdieorBetter",2006
23,23,"Olin Browne",108,163.2,1803678,307,"AverageApproachDistanceBirdieorBetter",2006
24,24,"Robert Gamez",94,163.4,1558660,265,"AverageApproachDistanceBirdieorBetter",2006
25,25,"Tommy Armour III",65,163.7,1137363,193,"AverageApproachDistanceBirdieorBetter",2006
25,25,"David McKenzie",82,163.7,1402189,238,"AverageApproachDistanceBirdieorBetter",2006
27,27,"Arron Oberholser",82,163.8,1397123,237,"AverageApproachDistanceBirdieorBetter",2006
28,28,"Bob Estes",85,164.5,1581236,267,"AverageApproachDistanceBirdieorBetter",2006
29,29,"Joe Ogilvie",95,164.6,1700658,287,"AverageApproachDistanceBirdieorBetter",2006
30,30,"Tim Clark",80,164.8,1293450,218,"AverageApproachDistanceBirdieorBetter",2006
31,31,"Tjaart van der Walt",60,164.9,955582,161,"AverageApproachDistanceBirdieorBetter",2006
32,32,"Larry Mize",53,165,635625,107,"AverageApproachDistanceBirdieorBetter",2006
33,33,"Chris Riley",86,165.1,1432332,241,"AverageApproachDistanceBirdieorBetter",2006
33,33,"Rory Sabbatini",84,165.1,1432560,241,"AverageApproachDistanceBirdieorBetter",2006
35,35,"Steve Stricker",64,165.4,1250527,210,"AverageApproachDistanceBirdieorBetter",2006
36,36,"Fred Couples",52,165.5,667249,112,"AverageApproachDistanceBirdieorBetter",2006
37,37,"Greg Chalmers",71,165.7,1049652,176,"AverageApproachDistanceBirdieorBetter",2006
37,37,"John Engler Jr",69,165.7,1079647,181,"AverageApproachDistanceBirdieorBetter",2006
37,37,"Brad Faxon",78,165.7,1336311,224,"AverageApproachDistanceBirdieorBetter",2006
40,40,"Heath Slocum",96,165.9,1785922,299,"AverageApproachDistanceBirdieorBetter",2006
41,41,"Adam Scott",70,166,1242804,208,"AverageApproachDistanceBirdieorBetter",2006
42,42,"Chris DiMarco",83,166.1,1226112,205,"AverageApproachDistanceBirdieorBetter",2006
42,42,"Scott Verplank",88,166.1,1494922,250,"AverageApproachDistanceBirdieorBetter",2006
44,44,"Lee Janzen",79,166.2,1388104,232,"AverageApproachDistanceBirdieorBetter",2006
44,44,"Pat Perez",50,166.2,897591,150,"AverageApproachDistanceBirdieorBetter",2006
46,46,"Corey Pavin",74,166.3,1011534,169,"AverageApproachDistanceBirdieorBetter",2006
47,47,"John Senden",96,166.4,1707626,285,"AverageApproachDistanceBirdieorBetter",2006
48,48,"Luke Donald",66,166.5,1006745,168,"AverageApproachDistanceBirdieorBetter",2006
48,48,"Jim Furyk",89,166.5,1738687,290,"AverageApproachDistanceBirdieorBetter",2006
48,48,"Todd Hamilton",72,166.5,977048,163,"AverageApproachDistanceBirdieorBetter",2006
48,48,"Zach Johnson",98,166.5,1612215,269,"AverageApproachDistanceBirdieorBetter",2006
48,48,"Stephen Leaney",84,166.5,1588819,265,"AverageApproachDistanceBirdieorBetter",2006
53,53,"Doug Barron",74,166.6,1265305,211,"AverageApproachDistanceBirdieorBetter",2006
53,53,"Jerry Kelly",100,166.6,1817385,303,"AverageApproachDistanceBirdieorBetter",2006
53,53,"Ian Poulter",53,166.6,989814,165,"AverageApproachDistanceBirdieorBetter",2006
56,56,"Kenny Perry",73,166.7,1278042,213,"AverageApproachDistanceBirdieorBetter",2006
57,57,"John Huston",74,166.9,1369508,228,"AverageApproachDistanceBirdieorBetter",2006
57,57,"Richard Johnson",94,166.9,1754058,292,"AverageApproachDistanceBirdieorBetter",2006
59,59,"Hidemichi Tanaka",74,167,1010209,168,"AverageApproachDistanceBirdieorBetter",2006
60,60,"Robert Damron",91,167.1,1677985,279,"AverageApproachDistanceBirdieorBetter",2006
61,61,"David Toms",76,167.3,1530011,254,"AverageApproachDistanceBirdieorBetter",2006
62,62,"Eric Axley",91,167.4,1807673,300,"AverageApproachDistanceBirdieorBetter",2006
63,63,"Daisuke Maruyama",83,167.5,1470933,244,"AverageApproachDistanceBirdieorBetter",2006
64,64,"Briny Baird",81,167.7,1606054,266,"AverageApproachDistanceBirdieorBetter",2006
64,64,"Stewart Cink",93,167.7,1708099,283,"AverageApproachDistanceBirdieorBetter",2006
64,64,"Brian Davis",92,167.7,1720743,285,"AverageApproachDistanceBirdieorBetter",2006
67,67,"Rod Pampling",89,167.8,1510320,250,"AverageApproachDistanceBirdieorBetter",2006
68,68,"Justin Rose",98,168,2050261,339,"AverageApproachDistanceBirdieorBetter",2006
69,69,"Danny Ellis",68,168.1,1270895,210,"AverageApproachDistanceBirdieorBetter",2006
70,70,"Mike Weir",88,168.4,1400539,231,"AverageApproachDistanceBirdieorBetter",2006
71,71,"Freddie Jacobson",56,168.7,1184410,195,"AverageApproachDistanceBirdieorBetter",2006
72,72,"Woody Austin",107,168.8,2041409,336,"AverageApproachDistanceBirdieorBetter",2006
72,72,"Peter Lonard",77,168.8,1172747,193,"AverageApproachDistanceBirdieorBetter",2006
72,72,"Bob Tway",81,168.8,1342628,221,"AverageApproachDistanceBirdieorBetter",2006
75,75,"Billy Andrade",78,169.4,1213482,199,"AverageApproachDistanceBirdieorBetter",2006
76,76,"Bernhard Langer",77,169.5,1257078,206,"AverageApproachDistanceBirdieorBetter",2006
77,77,"KJ Choi",93,169.6,1690955,277,"AverageApproachDistanceBirdieorBetter",2006
77,77,"Kris Cox",83,169.6,1587797,260,"AverageApproachDistanceBirdieorBetter",2006
79,79,"Vaughn Taylor",88,169.9,1993725,326,"AverageApproachDistanceBirdieorBetter",2006
80,80,"David Branshaw",98,170.1,1837229,300,"AverageApproachDistanceBirdieorBetter",2006
81,81,"David Duval",71,170.3,1170812,191,"AverageApproachDistanceBirdieorBetter",2006
81,81,"Shaun Micheel",96,170.3,1680021,274,"AverageApproachDistanceBirdieorBetter",2006
83,83,"Steve Jones",83,170.4,1330916,217,"AverageApproachDistanceBirdieorBetter",2006
83,83,"Jeff Sluman",101,170.4,1889365,308,"AverageApproachDistanceBirdieorBetter",2006
