"AverageDistanceofPuttsmade_RANKTHISWEEK_2008","AverageDistanceofPuttsmade_RANKLASTWEEK_2008","AverageDistanceofPuttsmade_PLAYERNAME_2008","AverageDistanceofPuttsmade_ROUNDS_2008","AverageDistanceofPuttsmade_AVG_2008","AverageDistanceofPuttsmade_TOTALDISTINCHES_2008","AverageDistanceofPuttsmade_TOTALROUNDS_2008","AverageDistanceofPuttsmade_AVGDIST_2008","AverageDistanceofPuttsmade_BESTROUND_2008","stat_name","year"
1,1,"Ben Crane",86,NA,74276,75,NA,NA,"AverageDistanceofPuttsmade",2008
2,2,"Corey Pavin",69,NA,55038,56,NA,NA,"AverageDistanceofPuttsmade",2008
3,3,"Jeff Quinney",87,NA,71520,73,NA,NA,"AverageDistanceofPuttsmade",2008
4,4,"Ryan Palmer",69,NA,58051,60,NA,NA,"AverageDistanceofPuttsmade",2008
5,5,"Rory Sabbatini",77,NA,60493,63,NA,NA,"AverageDistanceofPuttsmade",2008
6,6,"Marc Turnesa",87,NA,72772,76,NA,NA,"AverageDistanceofPuttsmade",2008
7,7,"Woody Austin",109,NA,83960,88,NA,NA,"AverageDistanceofPuttsmade",2008
8,8,"Richard Johnson",77,NA,64835,68,NA,NA,"AverageDistanceofPuttsmade",2008
8,8,"Bob Tway",70,NA,54334,57,NA,NA,"AverageDistanceofPuttsmade",2008
10,10,"Craig Kanada",65,NA,52349,55,NA,NA,"AverageDistanceofPuttsmade",2008
10,10,"Pat Perez",93,NA,74224,78,NA,NA,"AverageDistanceofPuttsmade",2008
12,12,"Jesper Parnevik",88,NA,71347,75,NA,NA,"AverageDistanceofPuttsmade",2008
13,13,"Scott McCarron",63,NA,51166,54,NA,NA,"AverageDistanceofPuttsmade",2008
14,14,"KJ Choi",74,NA,53987,57,NA,NA,"AverageDistanceofPuttsmade",2008
14,14,"Mathias Gronberg",87,NA,73852,78,NA,NA,"AverageDistanceofPuttsmade",2008
16,16,"Mark Hensby",71,NA,60572,64,NA,NA,"AverageDistanceofPuttsmade",2008
17,17,"Chad Campbell",94,NA,80109,85,NA,NA,"AverageDistanceofPuttsmade",2008
18,18,"Nathan Green",95,NA,85609,91,NA,NA,"AverageDistanceofPuttsmade",2008
18,18,"Hunter Mahan",87,NA,67729,72,NA,NA,"AverageDistanceofPuttsmade",2008
18,18,"Mark Wilson",107,NA,97870,104,NA,NA,"AverageDistanceofPuttsmade",2008
21,21,"Dudley Hart",74,NA,62998,67,NA,NA,"AverageDistanceofPuttsmade",2008
21,21,"Tim Petrovic",97,NA,76153,81,NA,NA,"AverageDistanceofPuttsmade",2008
24,24,"Daniel Chopra",84,NA,64811,69,NA,NA,"AverageDistanceofPuttsmade",2008
25,25,"Stewart Cink",87,NA,60044,64,NA,NA,"AverageDistanceofPuttsmade",2008
26,26,"Steve Lowery",74,NA,62599,67,NA,NA,"AverageDistanceofPuttsmade",2008
