"DistancetoApex_RANKTHISWEEK_2009","DistancetoApex_RANKLASTWEEK_2009","DistancetoApex_PLAYERNAME_2009","DistancetoApex_ROUNDS_2009","DistancetoApex_AVG_2009","DistancetoApex_TOTALAPEXRANGE_2009","DistancetoApex_TOTALATTEMPTS_2009","DistancetoApex_LONGESTDISTTOAPEX_2009","DistancetoApex_SHORTESTDISTTOAPEX_2009","stat_name","year"
1,1,"Dustin Johnson",85,202,12927.1,64,217.8,172.8,"DistancetoApex",2009
2,2,"Gary Woodland",53,201.7,6051,30,215.1,171.1,"DistancetoApex",2009
3,3,"JB Holmes",74,201.1,10254.5,51,220.9,153.3,"DistancetoApex",2009
4,4,"Bubba Watson",73,200.5,9625,48,217.4,161.8,"DistancetoApex",2009
5,5,"Tag Ridings",50,198.9,8155.9,41,213.4,181,"DistancetoApex",2009
6,6,"Robert Garrigus",83,198.4,11907,60,217.3,172.7,"DistancetoApex",2009
7,7,"Charley Hoffman",97,198,15836.7,80,213.5,169,"DistancetoApex",2009
7,7,"Tiger Woods",64,198,7920.7,40,210.6,176.5,"DistancetoApex",2009
9,9,"Nick Watney",86,196.2,14322.8,73,216.8,173.9,"DistancetoApex",2009
10,10,"Adam Scott",53,196,8426.1,43,212.5,149,"DistancetoApex",2009
11,11,"Phil Mickelson",66,195.9,8421.7,43,211.4,175.9,"DistancetoApex",2009
12,12,"Martin Laird",72,195.3,9567.7,49,211.4,171.1,"DistancetoApex",2009
13,13,"Angel Cabrera",55,194.7,7008.5,36,206.5,158.3,"DistancetoApex",2009
14,14,"Bill Haas",91,194,15523.2,80,205.9,178.7,"DistancetoApex",2009
15,15,"Marc Leishman",91,192.6,13672.1,71,205.4,159.4,"DistancetoApex",2009
16,16,"George McNeill",82,192.2,14220.5,74,203.4,176.4,"DistancetoApex",2009
17,17,"Davis Love III",89,191.7,12653,66,204.8,139.6,"DistancetoApex",2009
18,18,"Troy Matteson",95,191.2,16247.8,85,208.3,163.7,"DistancetoApex",2009
18,18,"John Senden",100,191.2,14910.6,78,200.7,170.6,"DistancetoApex",2009
20,20,"Jimmy Walker",74,190.8,9540.4,50,204.4,164.9,"DistancetoApex",2009
21,21,"Sergio Garcia",59,190.6,8004.8,42,202.8,152.7,"DistancetoApex",2009
22,22,"Greg Owen",97,190,16149.3,85,205.2,171.3,"DistancetoApex",2009
23,23,"Harrison Frazar",93,189.9,13670.9,72,200.9,166.1,"DistancetoApex",2009
24,24,"Lucas Glover",93,189.7,13277.4,70,205,168.4,"DistancetoApex",2009
24,24,"Leif Olson",51,189.7,7210.3,38,202.5,162.9,"DistancetoApex",2009
26,26,"Charles Howell III",99,189.6,16117.2,85,209,169.5,"DistancetoApex",2009
26,26,"Matt Jones",56,189.6,7393.9,39,202.7,162.1,"DistancetoApex",2009
28,28,"Jason Day",61,189.3,9087.2,48,201.7,160.9,"DistancetoApex",2009
29,29,"Andres Romero",58,189,9447.5,50,202.7,154.8,"DistancetoApex",2009
30,30,"Daniel Chopra",89,188.8,16233.6,86,207.6,157.5,"DistancetoApex",2009
31,31,"Aaron Baddeley",66,188.7,9055.7,48,209.2,165.7,"DistancetoApex",2009
32,32,"Anthony Kim",76,188.5,10745.7,57,213.9,158.8,"DistancetoApex",2009
33,33,"Kevin Streelman",97,188.2,15993.7,85,199.7,162.4,"DistancetoApex",2009
34,34,"John Merrick",91,187.9,12964.4,69,202,156.9,"DistancetoApex",2009
35,35,"Ricky Barnes",67,187.8,9013,48,204.1,142.6,"DistancetoApex",2009
36,36,"Bo Van Pelt",100,187.5,13690.9,73,206.3,169,"DistancetoApex",2009
37,37,"Jonathan Byrd",89,187.4,11616.2,62,201.5,153.2,"DistancetoApex",2009
37,37,"David Duval",56,187.4,6558.7,35,199.2,149.2,"DistancetoApex",2009
39,39,"Retief Goosen",74,187.3,10113.8,54,203.1,162,"DistancetoApex",2009
40,40,"Fred Couples",54,186.9,7664.3,41,200.3,171,"DistancetoApex",2009
41,41,"JJ Henry",97,186.7,14935.3,80,222.8,148.5,"DistancetoApex",2009
42,42,"Geoff Ogilvy",78,186.2,12478.7,67,199.4,145.2,"DistancetoApex",2009
42,42,"Boo Weekley",79,186.2,13779.6,74,196.2,166.1,"DistancetoApex",2009
44,44,"Scott Piercy",85,186,11345.9,61,199.4,156.5,"DistancetoApex",2009
45,45,"Mathew Goggin",76,185.9,10409.4,56,198.4,173.4,"DistancetoApex",2009
46,46,"Charles Warren",63,185.8,8733.7,47,198.2,169.1,"DistancetoApex",2009
47,47,"Stewart Cink",79,185.5,11871.9,64,201.7,156.2,"DistancetoApex",2009
47,47,"Ryan Palmer",78,185.5,12611.5,68,200.4,166.5,"DistancetoApex",2009
49,49,"DJ Trahan",96,185.3,14080,76,203.6,153.8,"DistancetoApex",2009
50,50,"Steve Marino",98,185.1,15176.4,82,197.6,167.1,"DistancetoApex",2009
51,51,"James Nitties",86,184.6,10337.5,56,200.4,157.1,"DistancetoApex",2009
52,52,"Robert Allenby",71,184.2,10128.6,55,196.8,153.3,"DistancetoApex",2009
53,53,"Vijay Singh",71,184,11037.8,60,197.2,163.3,"DistancetoApex",2009
54,54,"Stephen Ames",77,183.9,11033.4,60,201.5,163.6,"DistancetoApex",2009
55,55,"Brendon de Jonge",90,183.7,12308.3,67,196.5,166,"DistancetoApex",2009
56,56,"YE Yang",83,183.5,12293.6,67,198.5,161.4,"DistancetoApex",2009
57,57,"Brett Quigley",92,183.3,12829.3,70,197.5,156.6,"DistancetoApex",2009
58,58,"Will Ma Kenzie",69,183.2,11174.5,61,194.4,152.6,"DistancetoApex",2009
59,59,"Kevin Sutherland",96,183,11710.6,64,209.6,128.5,"DistancetoApex",2009
60,60,"Derek Fathauer",63,182.9,8228.3,45,195.1,171.6,"DistancetoApex",2009
60,60,"Ted Purdy",101,182.9,14448.1,79,200.2,134.4,"DistancetoApex",2009
62,62,"Pat Perez",74,182.8,11513.7,63,202.1,162.3,"DistancetoApex",2009
63,63,"John Rollins",92,182.6,14245.4,78,206.9,165.3,"DistancetoApex",2009
64,64,"Scott McCarron",91,182.4,13494.9,74,201.4,158.8,"DistancetoApex",2009
65,65,"Stuart Appleby",79,182.2,11658.6,64,194.3,158.2,"DistancetoApex",2009
65,65,"Matt Bettencourt",98,182.2,14757.9,81,198.2,140.9,"DistancetoApex",2009
65,65,"Sean OHair",80,182.2,10387.1,57,197.4,139.2,"DistancetoApex",2009
68,68,"Peter Tomasulo",61,182.1,7648.9,42,193.3,158.5,"DistancetoApex",2009
68,68,"Brian Vranesh",51,182.1,6190.5,34,196.1,158.3,"DistancetoApex",2009
70,70,"Chad Campbell",90,182,12921.3,71,198.4,160,"DistancetoApex",2009
71,71,"Woody Austin",84,181.9,14366.6,79,193.4,162.8,"DistancetoApex",2009
