"BestSubParRoundsStreak_RANKTHISWEEK_2010","BestSubParRoundsStreak_RANKLASTWEEK_2010","BestSubParRoundsStreak_PLAYERNAME_2010","BestSubParRoundsStreak__2010","BestSubParRoundsStreak_CAREERBESTSTREAK_2010","BestSubParRoundsStreak_BESTYTDSTREAK_2010","BestSubParRoundsStreak_CURRENTSTREAK_2010","stat_name","year"
1,1,"Tim Petrovic",NA,26,7,NA,"BestSubParRoundsStreak",2010
2,2,"Jeff Sluman",NA,23,NA,NA,"BestSubParRoundsStreak",2010
3,3,"Tim Clark",NA,22,9,NA,"BestSubParRoundsStreak",2010
3,3,"Fred Couples",NA,22,6,NA,"BestSubParRoundsStreak",2010
3,3,"Scott McCarron",NA,22,9,NA,"BestSubParRoundsStreak",2010
6,6,"Stuart Appleby",NA,21,4,NA,"BestSubParRoundsStreak",2010
6,6,"Bob Estes",NA,21,6,NA,"BestSubParRoundsStreak",2010
6,6,"Scott Verplank",NA,21,5,NA,"BestSubParRoundsStreak",2010
9,9,"Jay Don Blake",NA,20,NA,NA,"BestSubParRoundsStreak",2010
9,9,"Joey Sindelar",NA,20,NA,NA,"BestSubParRoundsStreak",2010
11,11,"Ben Crane",NA,19,6,NA,"BestSubParRoundsStreak",2010
11,11,"Joe Durant",NA,19,8,NA,"BestSubParRoundsStreak",2010
11,11,"Jesper Parnevik",NA,19,2,NA,"BestSubParRoundsStreak",2010
11,11,"Dan Pohl",NA,19,NA,NA,"BestSubParRoundsStreak",2010
15,15,"Glen Day",NA,18,5,NA,"BestSubParRoundsStreak",2010
15,15,"Chris DiMarco",NA,18,4,NA,"BestSubParRoundsStreak",2010
15,15,"Retief Goosen",NA,18,6,NA,"BestSubParRoundsStreak",2010
15,15,"Charles Howell III",NA,18,12,NA,"BestSubParRoundsStreak",2010
15,15,"Ryan Moore",NA,18,10,NA,"BestSubParRoundsStreak",2010
15,15,"Craig Parry",NA,18,NA,NA,"BestSubParRoundsStreak",2010
21,21,"Ronnie Black",NA,17,1,NA,"BestSubParRoundsStreak",2010
21,21,"Jonathan Byrd",NA,17,7,NA,"BestSubParRoundsStreak",2010
21,21,"Brendon de Jonge",NA,17,17,NA,"BestSubParRoundsStreak",2010
21,21,"Ed Fiori",NA,17,NA,NA,"BestSubParRoundsStreak",2010
21,21,"Donnie Hammond",NA,17,NA,NA,"BestSubParRoundsStreak",2010
21,21,"Roger Maltbie",NA,17,NA,NA,"BestSubParRoundsStreak",2010
21,21,"Shigeki Maruyama",NA,17,2,NA,"BestSubParRoundsStreak",2010
21,21,"Mark OMeara",NA,17,2,NA,"BestSubParRoundsStreak",2010
21,21,"Vijay Singh",NA,17,6,NA,"BestSubParRoundsStreak",2010
21,21,"Kirk Triplett",NA,17,5,NA,"BestSubParRoundsStreak",2010
21,21,"Tiger Woods",NA,17,4,NA,"BestSubParRoundsStreak",2010
32,32,"Ken Green",NA,16,NA,NA,"BestSubParRoundsStreak",2010
32,32,"Lee Janzen",NA,16,5,NA,"BestSubParRoundsStreak",2010
32,32,"Jerry Kelly",NA,16,8,NA,"BestSubParRoundsStreak",2010
32,32,"Troy Matteson",NA,16,8,NA,"BestSubParRoundsStreak",2010
32,32,"Blaine McCallister",NA,16,NA,NA,"BestSubParRoundsStreak",2010
32,32,"Steve Pate",NA,16,NA,NA,"BestSubParRoundsStreak",2010
32,32,"Corey Pavin",NA,16,8,NA,"BestSubParRoundsStreak",2010
32,32,"Kenny Perry",NA,16,6,NA,"BestSubParRoundsStreak",2010
32,32,"Chris Riley",NA,16,15,NA,"BestSubParRoundsStreak",2010
32,32,"Mike Weir",NA,16,6,NA,"BestSubParRoundsStreak",2010
42,42,"Stephen Ames",NA,15,6,NA,"BestSubParRoundsStreak",2010
42,42,"Brian Davis",NA,15,7,NA,"BestSubParRoundsStreak",2010
42,42,"Carlos Franco",NA,15,3,NA,"BestSubParRoundsStreak",2010
