"Scrambling30ydsRTPScore_RANKTHISWEEK_2007","Scrambling30ydsRTPScore_RANKLASTWEEK_2007","Scrambling30ydsRTPScore_PLAYERNAME_2007","Scrambling30ydsRTPScore_ROUNDS_2007","Scrambling30ydsRTPScore_AVGRTP_2007","Scrambling30ydsRTPScore_TOTALHOLES_2007","Scrambling30ydsRTPScore_TOTALRTP_2007","stat_name","year"
1,1,"Rory Sabbatini",81,0.625,72,45,"Scrambling30ydsRTPScore",2007
2,2,"Sean OHair",98,0.633,90,57,"Scrambling30ydsRTPScore",2007
3,3,"Alex Cejka",80,0.681,47,32,"Scrambling30ydsRTPScore",2007
4,4,"Jeff Overton",60,0.684,38,26,"Scrambling30ydsRTPScore",2007
5,5,"Woody Austin",95,0.685,89,61,"Scrambling30ydsRTPScore",2007
6,6,"Brandt Snedeker",105,0.69,113,78,"Scrambling30ydsRTPScore",2007
7,7,"Ian Poulter",63,0.692,39,27,"Scrambling30ydsRTPScore",2007
8,8,"Steve Stricker",81,0.698,86,60,"Scrambling30ydsRTPScore",2007
9,9,"Tiger Woods",63,0.722,36,26,"Scrambling30ydsRTPScore",2007
10,10,"Kevin Sutherland",85,0.723,83,60,"Scrambling30ydsRTPScore",2007
11,11,"Gavin Coles",87,0.732,82,60,"Scrambling30ydsRTPScore",2007
12,12,"Bob Tway",103,0.735,98,72,"Scrambling30ydsRTPScore",2007
13,13,"Mark Wilson",87,0.74,100,74,"Scrambling30ydsRTPScore",2007
14,14,"Mathias Gronberg",95,0.744,90,67,"Scrambling30ydsRTPScore",2007
15,15,"Nathan Green",103,0.748,103,77,"Scrambling30ydsRTPScore",2007
16,16,"Chris Stroud",66,0.763,59,45,"Scrambling30ydsRTPScore",2007
17,17,"Paul Goydos",60,0.766,64,49,"Scrambling30ydsRTPScore",2007
17,17,"David Toms",80,0.766,77,59,"Scrambling30ydsRTPScore",2007
19,19,"Matt Kuchar",85,0.773,88,68,"Scrambling30ydsRTPScore",2007
20,20,"Justin Leonard",95,0.774,115,89,"Scrambling30ydsRTPScore",2007
21,21,"Jerry Kelly",101,0.775,71,55,"Scrambling30ydsRTPScore",2007
22,22,"Shaun Micheel",91,0.776,76,59,"Scrambling30ydsRTPScore",2007
22,22,"Jay Williamson",50,0.776,49,38,"Scrambling30ydsRTPScore",2007
24,24,"Parker McLachlin",83,0.778,90,70,"Scrambling30ydsRTPScore",2007
25,25,"Jason Gore",86,0.78,82,64,"Scrambling30ydsRTPScore",2007
26,26,"Glen Day",85,0.781,96,75,"Scrambling30ydsRTPScore",2007
27,27,"Paul Gow",70,0.783,69,54,"Scrambling30ydsRTPScore",2007
28,28,"KJ Choi",87,0.784,74,58,"Scrambling30ydsRTPScore",2007
28,28,"Brian Gay",107,0.784,111,87,"Scrambling30ydsRTPScore",2007
28,28,"Lucas Glover",98,0.784,74,58,"Scrambling30ydsRTPScore",2007
31,31,"Tom Pernice Jr",104,0.792,101,80,"Scrambling30ydsRTPScore",2007
31,31,"Mike Weir",82,0.792,72,57,"Scrambling30ydsRTPScore",2007
33,33,"Aaron Baddeley",83,0.793,87,69,"Scrambling30ydsRTPScore",2007
34,34,"DJ Brigman",67,0.794,68,54,"Scrambling30ydsRTPScore",2007
34,34,"Vijay Singh",102,0.794,68,54,"Scrambling30ydsRTPScore",2007
36,36,"Bo Van Pelt",104,0.8,90,72,"Scrambling30ydsRTPScore",2007
37,37,"Bob Estes",88,0.804,107,86,"Scrambling30ydsRTPScore",2007
37,37,"Tripp Isenhour",86,0.804,102,82,"Scrambling30ydsRTPScore",2007
39,39,"Justin Rose",63,0.805,41,33,"Scrambling30ydsRTPScore",2007
40,40,"Fred Funk",65,0.806,67,54,"Scrambling30ydsRTPScore",2007
40,40,"Kent Jones",97,0.806,108,87,"Scrambling30ydsRTPScore",2007
42,42,"Jim Furyk",84,0.808,52,42,"Scrambling30ydsRTPScore",2007
43,43,"John Rollins",102,0.809,89,72,"Scrambling30ydsRTPScore",2007
44,44,"Padraig Harrington",64,0.811,53,43,"Scrambling30ydsRTPScore",2007
45,45,"Tommy Armour III",81,0.812,69,56,"Scrambling30ydsRTPScore",2007
46,46,"Ben Curtis",80,0.813,91,74,"Scrambling30ydsRTPScore",2007
46,46,"Jarrod Lyle",77,0.813,80,65,"Scrambling30ydsRTPScore",2007
48,48,"Camilo Villegas",82,0.814,59,48,"Scrambling30ydsRTPScore",2007
49,49,"Ryuji Imada",104,0.816,136,111,"Scrambling30ydsRTPScore",2007
50,50,"Carl Pettersson",111,0.818,110,90,"Scrambling30ydsRTPScore",2007
51,51,"Freddie Jacobson",70,0.819,83,68,"Scrambling30ydsRTPScore",2007
