"ScramblingfromtheFringe_RANKTHISWEEK_2006","ScramblingfromtheFringe_RANKLASTWEEK_2006","ScramblingfromtheFringe_PLAYERNAME_2006","ScramblingfromtheFringe_ROUNDS_2006","ScramblingfromtheFringe_Pct_2006","ScramblingfromtheFringe_SUCCESSES_2006","ScramblingfromtheFringe_ATTEMPTS_2006","stat_name","year"
1,1,"Jose Maria Olazabal",62,97.3,36,37,"ScramblingfromtheFringe",2006
2,2,"Luke Donald",66,97.22,35,36,"ScramblingfromtheFringe",2006
3,3,"Greg Owen",79,95.74,90,94,"ScramblingfromtheFringe",2006
4,4,"Ian Poulter",53,94.87,37,39,"ScramblingfromtheFringe",2006
5,5,"Justin Leonard",83,94.74,72,76,"ScramblingfromtheFringe",2006
6,6,"Aaron Baddeley",78,94.37,67,71,"ScramblingfromtheFringe",2006
7,7,"Corey Pavin",74,94.12,80,85,"ScramblingfromtheFringe",2006
8,8,"Brian Bateman",69,94.03,63,67,"ScramblingfromtheFringe",2006
9,9,"Steve Stricker",64,94,47,50,"ScramblingfromtheFringe",2006
10,10,"Tiger Woods",55,93.94,31,33,"ScramblingfromtheFringe",2006
11,11,"Padraig Harrington",54,93.48,43,46,"ScramblingfromtheFringe",2006
12,12,"Dean Wilson",115,92.98,106,114,"ScramblingfromtheFringe",2006
13,13,"Ben Crane",85,92.21,71,77,"ScramblingfromtheFringe",2006
14,14,"Geoff Ogilvy",76,92.06,58,63,"ScramblingfromtheFringe",2006
15,15,"Chad Campbell",91,91.95,80,87,"ScramblingfromtheFringe",2006
16,16,"David Toms",76,91.94,57,62,"ScramblingfromtheFringe",2006
17,17,"Paul Goydos",72,91.86,79,86,"ScramblingfromtheFringe",2006
18,18,"Jim Furyk",89,91.67,77,84,"ScramblingfromtheFringe",2006
19,19,"Retief Goosen",68,91.49,43,47,"ScramblingfromtheFringe",2006
20,20,"Greg Chalmers",71,91.43,64,70,"ScramblingfromtheFringe",2006
21,21,"Bob Tway",81,91.01,81,89,"ScramblingfromtheFringe",2006
22,22,"Rich Beem",85,90.91,70,77,"ScramblingfromtheFringe",2006
23,23,"Ben Curtis",86,90.79,69,76,"ScramblingfromtheFringe",2006
24,24,"Brad Faxon",78,90.65,97,107,"ScramblingfromtheFringe",2006
25,25,"Kirk Triplett",58,90.63,58,64,"ScramblingfromtheFringe",2006
26,26,"John Senden",96,90.48,76,84,"ScramblingfromtheFringe",2006
27,27,"Robert Gamez",94,90.38,94,104,"ScramblingfromtheFringe",2006
28,28,"Brian Gay",107,90.14,128,142,"ScramblingfromtheFringe",2006
29,29,"Shigeki Maruyama",94,90.09,100,111,"ScramblingfromtheFringe",2006
30,30,"Steve Flesch",119,90,108,120,"ScramblingfromtheFringe",2006
30,30,"Rod Pampling",89,90,63,70,"ScramblingfromtheFringe",2006
32,32,"Jeff Sluman",101,89.91,98,109,"ScramblingfromtheFringe",2006
