"FirstTeeLatePar4ScoringAverage_RANKTHISWEEK_2016","FirstTeeLatePar4ScoringAverage_RANKLASTWEEK_2016","FirstTeeLatePar4ScoringAverage_PLAYERNAME_2016","FirstTeeLatePar4ScoringAverage_ROUNDS_2016","FirstTeeLatePar4ScoringAverage_AVG_2016","FirstTeeLatePar4ScoringAverage_TOTALSTROKES_2016","FirstTeeLatePar4ScoringAverage_TOTALHOLES_2016","stat_name","year"
1,1,"Jason Bohn",37,3.86,328,85,"FirstTeeLatePar4ScoringAverage",2016
2,2,"Kevin Na",52,3.88,629,162,"FirstTeeLatePar4ScoringAverage",2016
3,5,"Stuart Appleby",39,3.93,118,30,"FirstTeeLatePar4ScoringAverage",2016
3,4,"Kevin Kisner",49,3.93,901,229,"FirstTeeLatePar4ScoringAverage",2016
5,8,"Rickie Fowler",42,3.94,1004,255,"FirstTeeLatePar4ScoringAverage",2016
6,3,"Steve Marino",40,3.95,320,81,"FirstTeeLatePar4ScoringAverage",2016
6,6,"Webb Simpson",34,3.95,411,104,"FirstTeeLatePar4ScoringAverage",2016
6,8,"Scott Stallings",46,3.95,257,65,"FirstTeeLatePar4ScoringAverage",2016
6,8,"Nick Taylor",57,3.95,514,130,"FirstTeeLatePar4ScoringAverage",2016
10,14,"Ryan Moore",40,3.96,515,130,"FirstTeeLatePar4ScoringAverage",2016
10,8,"Henrik Norlander",41,3.96,400,101,"FirstTeeLatePar4ScoringAverage",2016
10,14,"Brandt Snedeker",47,3.96,895,226,"FirstTeeLatePar4ScoringAverage",2016
10,6,"Chris Stroud",52,3.96,448,113,"FirstTeeLatePar4ScoringAverage",2016
14,26,"Thomas Aiken",42,3.97,246,62,"FirstTeeLatePar4ScoringAverage",2016
14,17,"Jason Dufner",53,3.97,623,157,"FirstTeeLatePar4ScoringAverage",2016
14,17,"Hunter Mahan",43,3.97,437,110,"FirstTeeLatePar4ScoringAverage",2016
14,17,"Charl Schwartzel",29,3.97,548,138,"FirstTeeLatePar4ScoringAverage",2016
14,8,"John Senden",48,3.97,608,153,"FirstTeeLatePar4ScoringAverage",2016
