"LowestRound_RANKTHISWEEK_2007","LowestRound_RANKLASTWEEK_2007","LowestRound_PLAYERNAME_2007","LowestRound_ROUNDS_2007","LowestRound_VALUE_2007","LowestRound_TOURNCOURSE_2007","LowestRound_ROUND_2007","stat_name","year"
1,1,"Zach Johnson",76,60,NA,3,"LowestRound",2007
2,2,"Mark Hensby",81,61,NA,2,"LowestRound",2007
2,2,"Jesper Parnevik",88,61,NA,1,"LowestRound",2007
2,2,"Brandt Snedeker",105,61,NA,1,"LowestRound",2007
5,5,"Woody Austin",95,62,NA,4,"LowestRound",2007
5,5,"Mark Calcavecchia",93,62,NA,3,"LowestRound",2007
5,5,"Tim Clark",66,62,NA,1,"LowestRound",2007
5,5,"Fred Funk",65,62,NA,1,"LowestRound",2007
5,5,"Brent Geiberger",45,62,NA,2,"LowestRound",2007
5,5,"Hunter Mahan",91,62,NA,3,"LowestRound",2007
5,5,"Geoff Ogilvy",84,62,NA,3,"LowestRound",2007
5,5,"Rory Sabbatini",81,62,NA,3,"LowestRound",2007
5,5,"Adam Scott",69,62,NA,2,"LowestRound",2007
5,5,"Heath Slocum",101,62,NA,4,"LowestRound",2007
5,5,"Garrett Willis",38,62,NA,2,"LowestRound",2007
16,16,"Michael Allen",74,63,NA,1,"LowestRound",2007
16,16,"Robert Allenby",90,63,NA,1,"LowestRound",2007
16,16,"Stephen Ames",81,63,NA,2,"LowestRound",2007
16,16,"Briny Baird",115,63,NA,1,"LowestRound",2007
16,16,"Chad Campbell",96,63,NA,2,"LowestRound",2007
16,16,"John Daly",59,63,NA,2,"LowestRound",2007
16,16,"Brendon de Jonge",76,63,NA,1,"LowestRound",2007
16,16,"Luke Donald",69,63,NA,1,"LowestRound",2007
16,16,"Steve Flesch",100,63,NA,1,"LowestRound",2007
16,16,"Robert Garrigus",95,63,NA,2,"LowestRound",2007
16,16,"Brian Gay",107,63,NA,2,"LowestRound",2007
16,16,"Jason Gore",86,63,NA,1,"LowestRound",2007
16,16,"Paul Goydos",60,63,NA,2,"LowestRound",2007
16,16,"Nathan Green",103,63,NA,2,"LowestRound",2007
16,16,"Padraig Harrington",64,63,NA,1,"LowestRound",2007
16,16,"Charles Howell III",89,63,NA,2,"LowestRound",2007
16,16,"Jerry Kelly",101,63,NA,1,"LowestRound",2007
16,16,"Skip Kendall",15,63,NA,3,"LowestRound",2007
16,16,"Anthony Kim",93,63,NA,1,"LowestRound",2007
16,16,"Bernhard Langer",47,63,NA,3,"LowestRound",2007
16,16,"Jeff Maggert",79,63,NA,1,"LowestRound",2007
16,16,"Bob May",49,63,NA,1,"LowestRound",2007
16,16,"Ryan Moore",92,63,NA,2,"LowestRound",2007
16,16,"Kevin Na",84,63,NA,1,"LowestRound",2007
16,16,"Joe Ogilvie",102,63,NA,2,"LowestRound",2007
16,16,"Kenny Perry",83,63,NA,2,"LowestRound",2007
16,16,"Jeff Quinney",95,63,NA,2,"LowestRound",2007
16,16,"John Rollins",102,63,NA,4,"LowestRound",2007
16,16,"Kevin Sutherland",85,63,NA,2,"LowestRound",2007
16,16,"Bob Tway",103,63,NA,2,"LowestRound",2007
16,16,"Scott Verplank",82,63,NA,3,"LowestRound",2007
16,16,"Camilo Villegas",82,63,NA,1,"LowestRound",2007
16,16,"Charles Warren",101,63,NA,2,"LowestRound",2007
16,16,"Charlie Wi",90,63,NA,1,"LowestRound",2007
16,16,"Tiger Woods",63,63,NA,2,"LowestRound",2007
16,16,"Fabrizio Zanotti",4,63,NA,2,"LowestRound",2007
52,52,"Steve Allan",63,64,NA,1,"LowestRound",2007
52,52,"Tommy Armour III",81,64,NA,1,"LowestRound",2007
52,52,"Ryan Armour",107,64,NA,2,"LowestRound",2007
52,52,"Arjun Atwal",36,64,NA,4,"LowestRound",2007
52,52,"Aaron Baddeley",83,64,NA,4,"LowestRound",2007
52,52,"Cameron Beckman",96,64,NA,1,"LowestRound",2007
52,52,"Rich Beem",89,64,NA,1,"LowestRound",2007
52,52,"Bart Bryant",87,64,NA,4,"LowestRound",2007
52,52,"Jonathan Byrd",73,64,NA,1,"LowestRound",2007
52,52,"Paul Casey",38,64,NA,1,"LowestRound",2007
52,52,"Alex Cejka",80,64,NA,4,"LowestRound",2007
52,52,"KJ Choi",87,64,NA,1,"LowestRound",2007
52,52,"Daniel Chopra",106,64,NA,3,"LowestRound",2007
52,52,"Jose Coceres",50,64,NA,1,"LowestRound",2007
52,52,"Ben Curtis",80,64,NA,1,"LowestRound",2007
52,52,"Chris DiMarco",79,64,NA,1,"LowestRound",2007
52,52,"Jason Dufner",100,64,NA,2,"LowestRound",2007
52,52,"Ken Duke",112,64,NA,3,"LowestRound",2007
52,52,"Simon Dyson",4,64,NA,4,"LowestRound",2007
52,52,"Bob Estes",88,64,NA,1,"LowestRound",2007
52,52,"Jim Furyk",84,64,NA,4,"LowestRound",2007
52,52,"Sergio Garcia",68,64,NA,3,"LowestRound",2007
52,52,"Richard Green",17,64,NA,4,"LowestRound",2007
52,52,"Mathias Gronberg",95,64,NA,2,"LowestRound",2007
52,52,"Anders Hansen",55,64,NA,2,"LowestRound",2007
52,52,"Dudley Hart",37,64,NA,1,"LowestRound",2007
52,52,"Bob Heintz",85,64,NA,2,"LowestRound",2007
52,52,"JJ Henry",86,64,NA,4,"LowestRound",2007
52,52,"Tim Herron",98,64,NA,2,"LowestRound",2007
52,52,"Colt Knost",14,64,NA,2,"LowestRound",2007
52,52,"Matt Kuchar",85,64,NA,3,"LowestRound",2007
52,52,"Neal Lancaster",41,64,NA,1,"LowestRound",2007
52,52,"Justin Leonard",95,64,NA,3,"LowestRound",2007
52,52,"Jarrod Lyle",77,64,NA,3,"LowestRound",2007
52,52,"Will Ma Kenzie",100,64,NA,1,"LowestRound",2007
52,52,"Troy Matteson",87,64,NA,2,"LowestRound",2007
52,52,"Billy Mayfair",98,64,NA,2,"LowestRound",2007
52,52,"George McNeill",95,64,NA,2,"LowestRound",2007
52,52,"Rocco Mediate",72,64,NA,1,"LowestRound",2007
52,52,"John Merrick",92,64,NA,2,"LowestRound",2007
52,52,"Phil Mickelson",73,64,NA,2,"LowestRound",2007
52,52,"Arron Oberholser",69,64,NA,1,"LowestRound",2007
52,52,"Carl Pettersson",111,64,NA,3,"LowestRound",2007
52,52,"Dicky Pride",71,64,NA,4,"LowestRound",2007
52,52,"Ted Purdy",102,64,NA,1,"LowestRound",2007
52,52,"Kyle Reifers",71,64,NA,1,"LowestRound",2007
52,52,"Andrew Ruthkoski",8,64,NA,2,"LowestRound",2007
52,52,"John Senden",97,64,NA,1,"LowestRound",2007
52,52,"Vijay Singh",102,64,NA,4,"LowestRound",2007
52,52,"Darron Stiles",65,64,NA,4,"LowestRound",2007
52,52,"Steve Stricker",81,64,NA,3,"LowestRound",2007
52,52,"Chris Stroud",66,64,NA,2,"LowestRound",2007
52,52,"Vaughn Taylor",91,64,NA,1,"LowestRound",2007
52,52,"Bo Van Pelt",104,64,NA,4,"LowestRound",2007
52,52,"Johnson Wagner",97,64,NA,3,"LowestRound",2007
52,52,"Bubba Watson",80,64,NA,3,"LowestRound",2007
52,52,"Boo Weekley",101,64,NA,1,"LowestRound",2007
52,52,"Mike Weir",82,64,NA,2,"LowestRound",2007
110,110,"Billy Andrade",88,65,NA,2,"LowestRound",2007
110,110,"Paul Azinger",39,65,NA,2,"LowestRound",2007
110,110,"Rich Barcelo",80,65,NA,2,"LowestRound",2007
110,110,"Brian Bateman",55,65,NA,1,"LowestRound",2007
110,110,"Craig Bowden",78,65,NA,2,"LowestRound",2007
110,110,"Jeff Brehaut",59,65,NA,3,"LowestRound",2007
110,110,"DJ Brigman",67,65,NA,2,"LowestRound",2007
110,110,"Mark Brooks",53,65,NA,2,"LowestRound",2007
110,110,"Andrew Buckle",77,65,NA,4,"LowestRound",2007
110,110,"Angel Cabrera",43,65,NA,3,"LowestRound",2007
110,110,"Stewart Cink",91,65,NA,4,"LowestRound",2007
110,110,"Gavin Coles",87,65,NA,2,"LowestRound",2007
110,110,"Chris Couch",76,65,NA,1,"LowestRound",2007
110,110,"Ben Crane",29,65,NA,4,"LowestRound",2007
110,110,"Brian Davis",101,65,NA,2,"LowestRound",2007
110,110,"Marco Dawson",73,65,NA,1,"LowestRound",2007
110,110,"Glen Day",85,65,NA,2,"LowestRound",2007
110,110,"Jay Delsing",37,65,NA,2,"LowestRound",2007
110,110,"Ernie Els",59,65,NA,1,"LowestRound",2007
110,110,"Brad Faxon",46,65,NA,1,"LowestRound",2007
110,110,"Tony Finau",4,65,NA,2,"LowestRound",2007
110,110,"Dan Forsman",33,65,NA,1,"LowestRound",2007
110,110,"Robert Gamez",88,65,NA,1,"LowestRound",2007
110,110,"Lucas Glover",98,65,NA,1,"LowestRound",2007
110,110,"Jeff Gove",103,65,NA,1,"LowestRound",2007
110,110,"Scott Gutschewski",67,65,NA,1,"LowestRound",2007
110,110,"JP Hayes",89,65,NA,1,"LowestRound",2007
110,110,"David Hearn",4,65,NA,1,"LowestRound",2007
110,110,"Matt Hendrix",63,65,NA,1,"LowestRound",2007
110,110,"Charley Hoffman",97,65,NA,2,"LowestRound",2007
110,110,"JB Holmes",71,65,NA,3,"LowestRound",2007
110,110,"John Huston",46,65,NA,2,"LowestRound",2007
110,110,"Tripp Isenhour",86,65,NA,3,"LowestRound",2007
110,110,"Freddie Jacobson",70,65,NA,2,"LowestRound",2007
110,110,"Richard Johnson",93,65,NA,4,"LowestRound",2007
110,110,"Kent Jones",97,65,NA,2,"LowestRound",2007
110,110,"Craig Kanada",109,65,NA,2,"LowestRound",2007
110,110,"Cliff Kresge",107,65,NA,2,"LowestRound",2007
110,110,"Doug LaBelle II",104,65,NA,4,"LowestRound",2007
110,110,"Frank Lickliter II",95,65,NA,1,"LowestRound",2007
110,110,"Craig Lile",77,65,NA,2,"LowestRound",2007
110,110,"Peter Lonard",85,65,NA,1,"LowestRound",2007
110,110,"Davis Love III",66,65,NA,2,"LowestRound",2007
110,110,"Steve Lowery",74,65,NA,2,"LowestRound",2007
110,110,"John Mallinger",96,65,NA,3,"LowestRound",2007
110,110,"Steve Marino",106,65,NA,1,"LowestRound",2007
110,110,"Shigeki Maruyama",84,65,NA,3,"LowestRound",2007
110,110,"Daisuke Maruyama",86,65,NA,2,"LowestRound",2007
110,110,"Parker McLachlin",83,65,NA,3,"LowestRound",2007
110,110,"Larry Mize",31,65,NA,4,"LowestRound",2007
110,110,"Sean OHair",98,65,NA,1,"LowestRound",2007
110,110,"Nick OHern",72,65,NA,1,"LowestRound",2007
110,110,"Jose Maria Olazabal",52,65,NA,1,"LowestRound",2007
110,110,"Jeff Overton",60,65,NA,1,"LowestRound",2007
110,110,"Rod Pampling",92,65,NA,1,"LowestRound",2007
110,110,"Pat Perez",84,65,NA,2,"LowestRound",2007
110,110,"Tom Pernice Jr",104,65,NA,2,"LowestRound",2007
