"Last15EventsPutting_RANKTHISWEEK_2010","Last15EventsPutting_RANKLASTWEEK_2010","Last15EventsPutting_PLAYERNAME_2010","Last15EventsPutting_EVENTS_2010","Last15EventsPutting_RATING_2010","stat_name","year"
1,1,"Corey Pavin",6,8.8,"Last15EventsPutting",2010
2,2,"Brad Faxon",4,8.7,"Last15EventsPutting",2010
2,2,"Todd Fischer",1,8.7,"Last15EventsPutting",2010
2,2,"Robert Gamez",1,8.7,"Last15EventsPutting",2010
2,2,"Brian Gay",7,8.7,"Last15EventsPutting",2010
2,2,"Padraig Harrington",8,8.7,"Last15EventsPutting",2010
2,2,"Carl Pettersson",7,8.7,"Last15EventsPutting",2010
2,2,"Fran Quinn",1,8.7,"Last15EventsPutting",2010
9,9,"Rich Barcelo",3,8.6,"Last15EventsPutting",2010
9,9,"Martin Flores",5,8.6,"Last15EventsPutting",2010
9,9,"Carlos Franco",4,8.6,"Last15EventsPutting",2010
12,12,"Matt Bettencourt",7,8.5,"Last15EventsPutting",2010
12,12,"Rob Grube",1,8.5,"Last15EventsPutting",2010
12,12,"Jamie Lovemark",3,8.5,"Last15EventsPutting",2010
12,12,"Shigeki Maruyama",1,8.5,"Last15EventsPutting",2010
12,12,"Jordan Spieth",1,8.5,"Last15EventsPutting",2010
12,12,"Willie Wood",1,8.5,"Last15EventsPutting",2010
18,18,"Ken Duke",5,8.4,"Last15EventsPutting",2010
18,18,"John Ellis",1,8.4,"Last15EventsPutting",2010
18,18,"Zach Johnson",10,8.4,"Last15EventsPutting",2010
18,18,"Justin Leonard",9,8.4,"Last15EventsPutting",2010
18,18,"Frank Lickliter II",3,8.4,"Last15EventsPutting",2010
18,18,"Justin Rose",10,8.4,"Last15EventsPutting",2010
24,24,"Greg Chalmers",10,8.3,"Last15EventsPutting",2010
24,24,"Chad Collins",8,8.3,"Last15EventsPutting",2010
24,24,"Luke Donald",8,8.3,"Last15EventsPutting",2010
24,24,"Marcus Fraser",1,8.3,"Last15EventsPutting",2010
24,24,"Tadd Fujikawa",1,8.3,"Last15EventsPutting",2010
24,24,"Paul Goydos",7,8.3,"Last15EventsPutting",2010
24,24,"Matt Kuchar",9,8.3,"Last15EventsPutting",2010
24,24,"Troy Merritt",7,8.3,"Last15EventsPutting",2010
