"Puttingfrom510_RANKTHISWEEK_2007","Puttingfrom510_RANKLASTWEEK_2007","Puttingfrom510_PLAYERNAME_2007","Puttingfrom510_ROUNDS_2007","Puttingfrom510_Pct_2007","Puttingfrom510_ATTEMPTS_2007","Puttingfrom510_PUTTSMADE_2007","stat_name","year"
1,1,"Arron Oberholser",69,64.81,216,140,"Puttingfrom510",2007
2,2,"Doug LaBelle II",104,63.89,360,230,"Puttingfrom510",2007
3,3,"Tim Clark",66,63.79,232,148,"Puttingfrom510",2007
4,4,"Chris Tidland",59,63,227,143,"Puttingfrom510",2007
5,5,"Kevin Na",84,62.9,345,217,"Puttingfrom510",2007
6,6,"KJ Choi",87,62.36,271,169,"Puttingfrom510",2007
7,7,"Frank Lickliter II",95,61.52,369,227,"Puttingfrom510",2007
8,8,"Brian Gay",107,61.33,375,230,"Puttingfrom510",2007
9,9,"Craig Lile",77,61.28,297,182,"Puttingfrom510",2007
10,10,"John Rollins",102,61.22,343,210,"Puttingfrom510",2007
11,11,"Stewart Cink",91,61.11,288,176,"Puttingfrom510",2007
12,12,"Cliff Kresge",107,60.95,420,256,"Puttingfrom510",2007
13,13,"Bob Estes",88,60.75,321,195,"Puttingfrom510",2007
14,14,"Jose Maria Olazabal",52,60.63,160,97,"Puttingfrom510",2007
14,14,"David Toms",80,60.63,287,174,"Puttingfrom510",2007
16,16,"Hunter Mahan",91,60.59,307,186,"Puttingfrom510",2007
17,17,"Tim Petrovic",106,60.57,388,235,"Puttingfrom510",2007
18,18,"Zach Johnson",76,60.5,238,144,"Puttingfrom510",2007
19,19,"George McNeill",95,60.49,324,196,"Puttingfrom510",2007
20,20,"Paul Goydos",60,60.44,225,136,"Puttingfrom510",2007
21,21,"Ryuji Imada",104,60.41,389,235,"Puttingfrom510",2007
22,22,"Aaron Baddeley",83,60.39,255,154,"Puttingfrom510",2007
23,23,"Gavin Coles",87,60.38,313,189,"Puttingfrom510",2007
24,24,"Jesper Parnevik",88,60.27,292,176,"Puttingfrom510",2007
25,25,"Rory Sabbatini",81,60.15,261,157,"Puttingfrom510",2007
26,26,"Tripp Isenhour",86,59.82,331,198,"Puttingfrom510",2007
27,27,"Nathan Green",103,59.73,365,218,"Puttingfrom510",2007
27,27,"Chris Riley",59,59.73,221,132,"Puttingfrom510",2007
29,29,"Brandt Snedeker",105,59.67,362,216,"Puttingfrom510",2007
30,30,"Brian Bateman",55,59.59,193,115,"Puttingfrom510",2007
31,31,"Craig Bowden",78,59.57,329,196,"Puttingfrom510",2007
32,32,"Parker McLachlin",83,59.43,318,189,"Puttingfrom510",2007
33,33,"Lucas Glover",98,59.38,320,190,"Puttingfrom510",2007
34,34,"Phil Mickelson",73,59.35,214,127,"Puttingfrom510",2007
35,35,"Stephen Leaney",82,59.06,298,176,"Puttingfrom510",2007
36,36,"Ryan Palmer",91,59.03,349,206,"Puttingfrom510",2007
37,37,"Bo Van Pelt",104,58.93,431,254,"Puttingfrom510",2007
38,38,"Charlie Wi",90,58.79,313,184,"Puttingfrom510",2007
39,39,"Rod Pampling",92,58.65,312,183,"Puttingfrom510",2007
39,39,"Dicky Pride",71,58.65,266,156,"Puttingfrom510",2007
41,41,"Woody Austin",95,58.48,395,231,"Puttingfrom510",2007
42,42,"Mathew Goggin",97,58.47,354,207,"Puttingfrom510",2007
43,43,"Chris DiMarco",79,58.46,272,159,"Puttingfrom510",2007
44,44,"John Daly",59,58.44,231,135,"Puttingfrom510",2007
45,45,"Jason Dufner",100,58.21,390,227,"Puttingfrom510",2007
46,46,"Briny Baird",115,58.2,433,252,"Puttingfrom510",2007
47,47,"Mathias Gronberg",95,58.17,404,235,"Puttingfrom510",2007
48,48,"Sean OHair",98,58.16,380,221,"Puttingfrom510",2007
49,49,"Bart Bryant",87,58.13,289,168,"Puttingfrom510",2007
50,50,"Jay Williamson",50,58.1,210,122,"Puttingfrom510",2007
51,51,"Jeff Overton",60,57.98,238,138,"Puttingfrom510",2007
52,52,"Michael Sim",52,57.89,209,121,"Puttingfrom510",2007
53,53,"John Mallinger",96,57.88,368,213,"Puttingfrom510",2007
54,54,"Richard Johnson",93,57.87,356,206,"Puttingfrom510",2007
55,55,"Stephen Ames",81,57.84,268,155,"Puttingfrom510",2007
56,56,"Mark Brooks",53,57.76,161,93,"Puttingfrom510",2007
56,56,"Dean Wilson",92,57.76,303,175,"Puttingfrom510",2007
58,58,"Tom Pernice Jr",104,57.7,357,206,"Puttingfrom510",2007
59,59,"Andrew Buckle",77,57.69,312,180,"Puttingfrom510",2007
60,60,"Steve Elkington",87,57.65,307,177,"Puttingfrom510",2007
61,61,"Steve Stricker",81,57.52,266,153,"Puttingfrom510",2007
62,62,"Matt Kuchar",85,57.44,289,166,"Puttingfrom510",2007
63,63,"Tom Byrum",50,57.23,159,91,"Puttingfrom510",2007
64,64,"Joe Ogilvie",102,57.22,381,218,"Puttingfrom510",2007
