"BirdieorBetterPercentage200yards_RANKTHISWEEK_2015","BirdieorBetterPercentage200yards_RANKLASTWEEK_2015","BirdieorBetterPercentage200yards_PLAYERNAME_2015","BirdieorBetterPercentage200yards_ROUNDS_2015","BirdieorBetterPercentage200yards_Pct_2015","BirdieorBetterPercentage200yards_TOTALBIRDIES_2015","BirdieorBetterPercentage200yards_TOTALHOLES_2015","stat_name","year"
1,1,"Jason Day",75,42.69,111,260,"BirdieorBetterPercentage200yards",2015
2,2,"Justin Thomas",106,39.45,159,403,"BirdieorBetterPercentage200yards",2015
3,3,"Tony Finau",106,38.7,149,385,"BirdieorBetterPercentage200yards",2015
4,4,"Will Wilcox",58,38.3,54,141,"BirdieorBetterPercentage200yards",2015
5,5,"Matt Jones",89,38.11,109,286,"BirdieorBetterPercentage200yards",2015
6,6,"Dustin Johnson",75,37.39,83,222,"BirdieorBetterPercentage200yards",2015
7,7,"Patrick Rodgers",57,37.34,59,158,"BirdieorBetterPercentage200yards",2015
8,8,"Boo Weekley",79,37.31,97,260,"BirdieorBetterPercentage200yards",2015
9,9,"Carlos Ortiz",100,36.99,128,346,"BirdieorBetterPercentage200yards",2015
10,10,"Justin Rose",69,36.62,78,213,"BirdieorBetterPercentage200yards",2015
11,11,"Charlie Beljan",76,36.32,73,201,"BirdieorBetterPercentage200yards",2015
12,12,"Jhonattan Vegas",90,36.24,104,287,"BirdieorBetterPercentage200yards",2015
13,13,"Sam Saunders",83,36.18,89,246,"BirdieorBetterPercentage200yards",2015
14,14,"Keegan Bradley",87,36.17,102,282,"BirdieorBetterPercentage200yards",2015
15,15,"Jordan Spieth",91,35.96,96,267,"BirdieorBetterPercentage200yards",2015
16,16,"Graham DeLaet",65,35.9,70,195,"BirdieorBetterPercentage200yards",2015
17,17,"Bubba Watson",71,35.85,95,265,"BirdieorBetterPercentage200yards",2015
18,18,"Jason Kokrak",88,35.76,113,316,"BirdieorBetterPercentage200yards",2015
19,19,"Derek Ernst",75,35.5,82,231,"BirdieorBetterPercentage200yards",2015
20,20,"Robert Streb",110,35.22,137,389,"BirdieorBetterPercentage200yards",2015
21,21,"Charl Schwartzel",67,34.97,57,163,"BirdieorBetterPercentage200yards",2015
22,22,"Seung Yul Noh",65,34.85,69,198,"BirdieorBetterPercentage200yards",2015
23,23,"Martin Laird",77,34.84,100,287,"BirdieorBetterPercentage200yards",2015
24,24,"Jimmy Walker",89,34.83,93,267,"BirdieorBetterPercentage200yards",2015
25,25,"Aaron Baddeley",76,34.77,89,256,"BirdieorBetterPercentage200yards",2015
26,26,"Robert Garrigus",70,34.33,69,201,"BirdieorBetterPercentage200yards",2015
27,27,"Brendan Steele",88,34.3,118,344,"BirdieorBetterPercentage200yards",2015
28,28,"Roger Sloan",56,34.27,49,143,"BirdieorBetterPercentage200yards",2015
29,29,"Hudson Swafford",97,33.96,108,318,"BirdieorBetterPercentage200yards",2015
30,30,"JB Holmes",89,33.9,99,292,"BirdieorBetterPercentage200yards",2015
31,31,"Webb Simpson",81,33.8,96,284,"BirdieorBetterPercentage200yards",2015
32,32,"Hideki Matsuyama",95,33.67,100,297,"BirdieorBetterPercentage200yards",2015
33,33,"Vijay Singh",78,33.59,88,262,"BirdieorBetterPercentage200yards",2015
34,34,"Charles Howell III",105,33.51,127,379,"BirdieorBetterPercentage200yards",2015
35,35,"Rickie Fowler",76,33.47,84,251,"BirdieorBetterPercentage200yards",2015
36,36,"Matt Kuchar",97,33.44,106,317,"BirdieorBetterPercentage200yards",2015
37,37,"Daniel Berger",97,33.43,117,350,"BirdieorBetterPercentage200yards",2015
37,37,"Nick Taylor",91,33.43,110,329,"BirdieorBetterPercentage200yards",2015
39,39,"Ben Martin",93,33.21,92,277,"BirdieorBetterPercentage200yards",2015
40,40,"Shawn Stefani",94,33.14,115,347,"BirdieorBetterPercentage200yards",2015
41,41,"Morgan Hoffmann",85,33.12,104,314,"BirdieorBetterPercentage200yards",2015
42,42,"Louis Oosthuizen",68,32.84,66,201,"BirdieorBetterPercentage200yards",2015
43,43,"John Senden",80,32.77,77,235,"BirdieorBetterPercentage200yards",2015
44,44,"Brooks Koepka",84,32.71,87,266,"BirdieorBetterPercentage200yards",2015
45,45,"Lucas Glover",79,32.69,85,260,"BirdieorBetterPercentage200yards",2015
46,46,"Michael Thompson",83,32.59,88,270,"BirdieorBetterPercentage200yards",2015
47,47,"Geoff Ogilvy",50,32.53,54,166,"BirdieorBetterPercentage200yards",2015
48,48,"Brian Harman",90,32.41,94,290,"BirdieorBetterPercentage200yards",2015
49,49,"Ernie Els",57,32.39,57,176,"BirdieorBetterPercentage200yards",2015
50,50,"Scott Stallings",60,32.2,66,205,"BirdieorBetterPercentage200yards",2015
51,51,"Marc Leishman",74,32.16,73,227,"BirdieorBetterPercentage200yards",2015
52,52,"Derek Fathauer",81,32.08,77,240,"BirdieorBetterPercentage200yards",2015
