"DrivingPctMeasured_RANKTHISWEEK_2010","DrivingPctMeasured_RANKLASTWEEK_2010","DrivingPctMeasured_PLAYERNAME_2010","DrivingPctMeasured_ROUNDS_2010","DrivingPctMeasured_Pct_2010","DrivingPctMeasured_TOTALDRIVESFOR_2010","DrivingPctMeasured_TOTALDRVSOVERALL_2010","DrivingPctMeasured_RELATIVETOPAR_2010","stat_name","year"
1,1,"Mike Weir",59,10.64,10,94,0.1,"DrivingPctMeasured",2010
2,2,"Craig Bowden",56,9.8,10,102,0,"DrivingPctMeasured",2010
3,3,"Brad Faxon",58,9.26,10,108,0.1,"DrivingPctMeasured",2010
4,4,"Tim Clark",88,6.49,10,154,-0.1,"DrivingPctMeasured",2010
5,5,"Brian Gay",101,5.98,11,184,0,"DrivingPctMeasured",2010
6,6,"Luke Donald",71,5.17,6,116,0.33,"DrivingPctMeasured",2010
6,6,"Jeff Quinney",91,5.17,9,174,-0.11,"DrivingPctMeasured",2010
8,8,"Sergio Garcia",58,5,4,80,0,"DrivingPctMeasured",2010
9,9,"Scott Verplank",74,4.92,6,122,0.17,"DrivingPctMeasured",2010
10,10,"Greg Chalmers",93,4.84,9,186,0.11,"DrivingPctMeasured",2010
11,11,"Paul Goydos",78,4.73,7,148,0.14,"DrivingPctMeasured",2010
12,12,"Kevin Johnson",62,4.46,5,112,0,"DrivingPctMeasured",2010
13,13,"Trevor Immelman",55,4.44,4,90,0,"DrivingPctMeasured",2010
14,14,"Greg Kraft",52,4.35,4,92,0.75,"DrivingPctMeasured",2010
15,15,"Steve Flesch",78,4.29,6,140,0.5,"DrivingPctMeasured",2010
16,16,"Kevin Na",94,4.12,7,170,0.14,"DrivingPctMeasured",2010
17,17,"Mark Calcavecchia",50,3.95,3,76,0,"DrivingPctMeasured",2010
18,18,"Brent Delahoussaye",57,3.92,4,102,0.25,"DrivingPctMeasured",2010
19,19,"Richard Johnson",90,3.85,6,156,0.33,"DrivingPctMeasured",2010
19,19,"Vance Veazey",58,3.85,4,104,0.75,"DrivingPctMeasured",2010
21,21,"Chad Collins",87,3.8,6,158,0.17,"DrivingPctMeasured",2010
22,22,"Jim Furyk",76,3.79,5,132,0.2,"DrivingPctMeasured",2010
23,23,"Omar Uresti",74,3.68,5,136,0,"DrivingPctMeasured",2010
23,23,"Charlie Wi",95,3.68,7,190,0.43,"DrivingPctMeasured",2010
25,25,"Jerry Kelly",99,3.53,6,170,0.17,"DrivingPctMeasured",2010
26,26,"Alex Cejka",81,3.33,5,150,0.6,"DrivingPctMeasured",2010
26,26,"JP Hayes",79,3.33,5,150,0,"DrivingPctMeasured",2010
26,26,"Camilo Villegas",78,3.33,4,120,0.75,"DrivingPctMeasured",2010
29,29,"David Duval",71,3.28,4,122,0.25,"DrivingPctMeasured",2010
30,30,"Jerod Turner",54,3.26,3,92,0.67,"DrivingPctMeasured",2010
31,31,"Paul Casey",64,3.13,3,96,-0.33,"DrivingPctMeasured",2010
32,32,"Justin Bolli",55,3.06,3,98,0,"DrivingPctMeasured",2010
33,33,"Jason Bohn",84,3.05,5,164,-0.2,"DrivingPctMeasured",2010
34,34,"Henrik Bjornstad",72,3.03,4,132,0,"DrivingPctMeasured",2010
35,35,"Heath Slocum",97,3.01,5,166,0,"DrivingPctMeasured",2010
36,36,"Chris Riley",73,2.99,4,134,0.75,"DrivingPctMeasured",2010
37,37,"Michael Bradley",77,2.74,4,146,0,"DrivingPctMeasured",2010
38,38,"Jason Dufner",87,2.6,4,154,0.5,"DrivingPctMeasured",2010
38,38,"Bob Estes",79,2.6,4,154,1,"DrivingPctMeasured",2010
40,40,"Garrett Willis",82,2.56,4,156,0.75,"DrivingPctMeasured",2010
41,41,"Justin Leonard",89,2.5,4,160,0.25,"DrivingPctMeasured",2010
42,42,"Nathan Green",86,2.44,4,164,0.5,"DrivingPctMeasured",2010
43,43,"Rich Barcelo",70,2.42,3,124,1,"DrivingPctMeasured",2010
43,43,"Brenden Pappas",66,2.42,3,124,0.33,"DrivingPctMeasured",2010
45,45,"Nicholas Thompson",88,2.38,4,168,0.25,"DrivingPctMeasured",2010
46,46,"Vaughn Taylor",87,2.3,4,174,0,"DrivingPctMeasured",2010
47,47,"Chad Campbell",95,2.25,4,178,1,"DrivingPctMeasured",2010
48,48,"Rocco Mediate",71,2.24,3,134,1.67,"DrivingPctMeasured",2010
49,49,"Scott McCarron",90,2.22,4,180,0.25,"DrivingPctMeasured",2010
50,50,"Jeff Maggert",76,2.21,3,136,0,"DrivingPctMeasured",2010
51,51,"Cliff Kresge",50,2.17,2,92,1.5,"DrivingPctMeasured",2010
