"Puttingfrom510_RANKTHISWEEK_2009","Puttingfrom510_RANKLASTWEEK_2009","Puttingfrom510_PLAYERNAME_2009","Puttingfrom510_ROUNDS_2009","Puttingfrom510_Pct_2009","Puttingfrom510_ATTEMPTS_2009","Puttingfrom510_PUTTSMADE_2009","stat_name","year"
1,1,"Aaron Baddeley",66,64.96,254,165,"Puttingfrom510",2009
2,2,"Joe Ogilvie",85,64.06,320,205,"Puttingfrom510",2009
3,3,"Brian Gay",96,63.58,346,220,"Puttingfrom510",2009
4,4,"Padraig Harrington",66,63.27,196,124,"Puttingfrom510",2009
5,5,"Bryce Molder",69,63.23,223,141,"Puttingfrom510",2009
6,6,"Colt Knost",71,62.56,227,142,"Puttingfrom510",2009
7,7,"Hunter Mahan",94,62.38,303,189,"Puttingfrom510",2009
8,8,"Kevin Sutherland",96,62.13,301,187,"Puttingfrom510",2009
9,9,"Tiger Woods",64,62.09,182,113,"Puttingfrom510",2009
10,10,"Angel Cabrera",55,62.03,158,98,"Puttingfrom510",2009
11,11,"Jason Day",61,62.01,179,111,"Puttingfrom510",2009
12,12,"Harrison Frazar",93,61.72,337,208,"Puttingfrom510",2009
12,12,"Ryan Palmer",78,61.72,303,187,"Puttingfrom510",2009
14,14,"Spencer Levin",75,61.62,271,167,"Puttingfrom510",2009
15,15,"Brandt Snedeker",81,61.48,270,166,"Puttingfrom510",2009
16,16,"Woody Austin",84,61.39,360,221,"Puttingfrom510",2009
16,16,"Mike Weir",85,61.39,303,186,"Puttingfrom510",2009
18,18,"Mark Calcavecchia",72,61.09,275,168,"Puttingfrom510",2009
19,19,"Parker McLachlin",71,60.88,317,193,"Puttingfrom510",2009
20,20,"Ryan Moore",89,60.81,347,211,"Puttingfrom510",2009
21,21,"Freddie Jacobson",83,60.67,300,182,"Puttingfrom510",2009
22,22,"Matt Jones",56,60.66,183,111,"Puttingfrom510",2009
23,23,"Luke Donald",79,60.63,254,154,"Puttingfrom510",2009
24,24,"Nathan Green",104,60.44,412,249,"Puttingfrom510",2009
25,25,"George McNeill",82,60.12,321,193,"Puttingfrom510",2009
26,26,"Cliff Kresge",78,60,300,180,"Puttingfrom510",2009
26,26,"Webb Simpson",94,60,395,237,"Puttingfrom510",2009
28,28,"Brad Adamonis",70,59.91,232,139,"Puttingfrom510",2009
29,29,"Mark Wilson",99,59.75,395,236,"Puttingfrom510",2009
30,30,"Andres Romero",58,59.61,203,121,"Puttingfrom510",2009
31,31,"Stephen Ames",77,59.48,232,138,"Puttingfrom510",2009
32,32,"Steve Marino",98,59.36,342,203,"Puttingfrom510",2009
33,33,"Matt Kuchar",82,59.35,310,184,"Puttingfrom510",2009
34,34,"Richard Johnson",85,59.24,314,186,"Puttingfrom510",2009
35,35,"Brian Vranesh",51,59.11,203,120,"Puttingfrom510",2009
36,36,"Eric Axley",71,58.91,258,152,"Puttingfrom510",2009
37,37,"Paul Goydos",79,58.9,292,172,"Puttingfrom510",2009
38,38,"Brian Davis",103,58.82,408,240,"Puttingfrom510",2009
39,39,"Tim Clark",81,58.8,250,147,"Puttingfrom510",2009
40,40,"Bill Lunde",83,58.75,320,188,"Puttingfrom510",2009
41,41,"Dustin Johnson",85,58.67,271,159,"Puttingfrom510",2009
42,42,"Jeff Overton",92,58.66,358,210,"Puttingfrom510",2009
43,43,"Jeff Maggert",79,58.64,324,190,"Puttingfrom510",2009
44,44,"Steve Lowery",83,58.6,343,201,"Puttingfrom510",2009
45,45,"Stewart Cink",79,58.58,239,140,"Puttingfrom510",2009
46,46,"Ben Curtis",63,58.52,176,103,"Puttingfrom510",2009
47,47,"Zach Johnson",94,58.51,323,189,"Puttingfrom510",2009
47,47,"David Mathis",82,58.51,335,196,"Puttingfrom510",2009
49,49,"Brendon Todd",53,58.43,178,104,"Puttingfrom510",2009
50,50,"Johnson Wagner",81,58.31,307,179,"Puttingfrom510",2009
51,51,"Jim Furyk",86,58.17,263,153,"Puttingfrom510",2009
52,52,"Retief Goosen",74,58.11,222,129,"Puttingfrom510",2009
53,53,"Leif Olson",51,58.08,198,115,"Puttingfrom510",2009
54,54,"Cameron Beckman",87,57.96,314,182,"Puttingfrom510",2009
55,55,"Marc Leishman",91,57.92,366,212,"Puttingfrom510",2009
56,56,"Chris Riley",77,57.77,251,145,"Puttingfrom510",2009
57,57,"Charlie Wi",92,57.74,336,194,"Puttingfrom510",2009
58,58,"Anthony Kim",76,57.69,260,150,"Puttingfrom510",2009
59,59,"Jerry Kelly",90,57.51,313,180,"Puttingfrom510",2009
59,59,"Kevin Streelman",97,57.51,386,222,"Puttingfrom510",2009
61,61,"Jeff Klauk",97,57.42,364,209,"Puttingfrom510",2009
62,62,"Pat Perez",74,57.38,244,140,"Puttingfrom510",2009
63,63,"Scott Piercy",85,57.36,326,187,"Puttingfrom510",2009
64,64,"Nick Watney",86,57.28,302,173,"Puttingfrom510",2009
65,65,"Ian Poulter",59,57.22,180,103,"Puttingfrom510",2009
66,66,"KJ Choi",65,57.21,215,123,"Puttingfrom510",2009
67,67,"Kevin Na",91,57.14,350,200,"Puttingfrom510",2009
68,68,"Scott McCarron",91,57.1,324,185,"Puttingfrom510",2009
69,69,"Brad Faxon",59,57.02,228,130,"Puttingfrom510",2009
70,70,"Bob Heintz",59,56.95,223,127,"Puttingfrom510",2009
71,71,"Lucas Glover",93,56.94,353,201,"Puttingfrom510",2009
72,72,"Aron Price",89,56.92,325,185,"Puttingfrom510",2009
73,73,"Robert Garrigus",83,56.54,306,173,"Puttingfrom510",2009
74,74,"Briny Baird",89,56.42,296,167,"Puttingfrom510",2009
75,75,"Tommy Armour III",58,56.4,250,141,"Puttingfrom510",2009
76,76,"Ryuji Imada",85,56.39,305,172,"Puttingfrom510",2009
77,77,"Tim Herron",87,56.27,327,184,"Puttingfrom510",2009
78,78,"Jason Bohn",88,56.23,329,185,"Puttingfrom510",2009
79,79,"Tom Pernice Jr",82,56.19,315,177,"Puttingfrom510",2009
80,80,"Geoff Ogilvy",78,56.18,251,141,"Puttingfrom510",2009
81,81,"Ted Purdy",101,56.17,381,214,"Puttingfrom510",2009
82,82,"Tim Petrovic",97,56.12,376,211,"Puttingfrom510",2009
82,82,"Darron Stiles",52,56.12,196,110,"Puttingfrom510",2009
84,84,"Kenny Perry",92,56.1,328,184,"Puttingfrom510",2009
85,85,"Greg Chalmers",85,56.09,312,175,"Puttingfrom510",2009
86,86,"Ben Crane",93,56.08,362,203,"Puttingfrom510",2009
87,87,"Bo Van Pelt",100,56.07,387,217,"Puttingfrom510",2009
87,87,"Matt Weibring",65,56.07,239,134,"Puttingfrom510",2009
89,89,"Bill Haas",91,55.87,358,200,"Puttingfrom510",2009
90,90,"Jeff Quinney",78,55.84,308,172,"Puttingfrom510",2009
90,90,"David Toms",98,55.84,317,177,"Puttingfrom510",2009
92,92,"Brian Bateman",55,55.78,199,111,"Puttingfrom510",2009
93,93,"Todd Hamilton",83,55.68,273,152,"Puttingfrom510",2009
94,94,"YE Yang",83,55.66,309,172,"Puttingfrom510",2009
95,95,"Steve Stricker",81,55.64,257,143,"Puttingfrom510",2009
96,96,"Carl Pettersson",86,55.59,295,164,"Puttingfrom510",2009
96,96,"John Rollins",92,55.59,340,189,"Puttingfrom510",2009
98,98,"Corey Pavin",73,55.51,227,126,"Puttingfrom510",2009
99,99,"Jay Williamson",69,55.5,218,121,"Puttingfrom510",2009
100,100,"Steve Flesch",77,55.44,294,163,"Puttingfrom510",2009
101,101,"Chad Campbell",90,55.41,296,164,"Puttingfrom510",2009
101,101,"Vaughn Taylor",88,55.41,314,174,"Puttingfrom510",2009
103,103,"Marc Turnesa",77,55.29,293,162,"Puttingfrom510",2009
104,104,"Daniel Chopra",89,55.25,362,200,"Puttingfrom510",2009
105,105,"Jason Dufner",90,55.18,328,181,"Puttingfrom510",2009
106,106,"John Mallinger",90,55.17,290,160,"Puttingfrom510",2009
107,107,"Bob Estes",78,55.09,285,157,"Puttingfrom510",2009
