"TenthTeeLateRound5ScoringAverage_RANKTHISWEEK_2010","TenthTeeLateRound5ScoringAverage_RANKLASTWEEK_2010","TenthTeeLateRound5ScoringAverage_PLAYERNAME_2010","TenthTeeLateRound5ScoringAverage__2010","TenthTeeLateRound5ScoringAverage_AVG_2010","TenthTeeLateRound5ScoringAverage_TOTALSTROKES_2010","TenthTeeLateRound5ScoringAverage_TOTALROUNDS_2010","stat_name","year"
1,1,"Chris Couch",NA,66,66,1,"TenthTeeLateRound5ScoringAverage",2010
1,1,"Joe Durant",NA,66,66,1,"TenthTeeLateRound5ScoringAverage",2010
3,3,"Brian Davis",NA,68,68,1,"TenthTeeLateRound5ScoringAverage",2010
3,3,"Josh Teater",NA,68,68,1,"TenthTeeLateRound5ScoringAverage",2010
3,3,"Chris Wilson",NA,68,68,1,"TenthTeeLateRound5ScoringAverage",2010
6,6,"Tom Gillis",NA,69,69,1,"TenthTeeLateRound5ScoringAverage",2010
6,6,"Billy Mayfair",NA,69,69,1,"TenthTeeLateRound5ScoringAverage",2010
8,8,"Bob Estes",NA,70,70,1,"TenthTeeLateRound5ScoringAverage",2010
8,8,"Michael Sim",NA,70,70,1,"TenthTeeLateRound5ScoringAverage",2010
10,10,"Brenden Pappas",NA,71,71,1,"TenthTeeLateRound5ScoringAverage",2010
10,10,"Omar Uresti",NA,71,71,1,"TenthTeeLateRound5ScoringAverage",2010
12,12,"Greg Owen",NA,72,72,1,"TenthTeeLateRound5ScoringAverage",2010
