"AverageApproachDistanceBogeyorWorse_RANKTHISWEEK_2011","AverageApproachDistanceBogeyorWorse_RANKLASTWEEK_2011","AverageApproachDistanceBogeyorWorse_PLAYERNAME_2011","AverageApproachDistanceBogeyorWorse_ROUNDS_2011","AverageApproachDistanceBogeyorWorse_AVGYARDS_2011","AverageApproachDistanceBogeyorWorse_TOTALDISTANCEINCHES_2011","AverageApproachDistanceBogeyorWorse_NUMBEROFAPPROACHSHOTS_2011","stat_name","year"
1,1,"Steven Bowditch",86,148.3,1473848,276,"AverageApproachDistanceBogeyorWorse",2011
2,2,"Jim Renner",65,152.5,873115,159,"AverageApproachDistanceBogeyorWorse",2011
3,3,"Bill Lunde",92,152.6,1230782,224,"AverageApproachDistanceBogeyorWorse",2011
4,4,"Derek Lamely",65,153,1206097,219,"AverageApproachDistanceBogeyorWorse",2011
5,5,"Stuart Appleby",65,153.3,1114753,202,"AverageApproachDistanceBogeyorWorse",2011
6,6,"Shaun Micheel",77,153.4,1121393,203,"AverageApproachDistanceBogeyorWorse",2011
7,7,"Andres Romero",77,153.6,1238645,224,"AverageApproachDistanceBogeyorWorse",2011
8,8,"Graeme McDowell",50,154.1,610111,110,"AverageApproachDistanceBogeyorWorse",2011
9,9,"Tom Gillis",55,154.2,893602,161,"AverageApproachDistanceBogeyorWorse",2011
9,9,"Josh Teater",104,154.2,1587197,286,"AverageApproachDistanceBogeyorWorse",2011
11,11,"David Duval",67,154.3,1127361,203,"AverageApproachDistanceBogeyorWorse",2011
12,12,"Zack Miller",86,154.5,1574263,283,"AverageApproachDistanceBogeyorWorse",2011
13,13,"Steve Elkington",50,154.7,640559,115,"AverageApproachDistanceBogeyorWorse",2011
14,14,"Keegan Bradley",91,155,1361920,244,"AverageApproachDistanceBogeyorWorse",2011
15,15,"Tommy Gainey",104,155.1,1574137,282,"AverageApproachDistanceBogeyorWorse",2011
15,15,"Trevor Immelman",84,155.1,927087,166,"AverageApproachDistanceBogeyorWorse",2011
17,17,"Will Strickler",51,155.6,918578,164,"AverageApproachDistanceBogeyorWorse",2011
18,18,"Billy Horschel",75,155.8,1082394,193,"AverageApproachDistanceBogeyorWorse",2011
19,19,"Andres Gonzales",60,156.1,854114,152,"AverageApproachDistanceBogeyorWorse",2011
19,19,"Matt McQuillan",59,156.1,825897,147,"AverageApproachDistanceBogeyorWorse",2011
19,19,"Bo Van Pelt",92,156.1,1118483,199,"AverageApproachDistanceBogeyorWorse",2011
22,22,"Lee Janzen",62,156.2,967140,172,"AverageApproachDistanceBogeyorWorse",2011
23,23,"Bobby Gates",82,156.3,1372859,244,"AverageApproachDistanceBogeyorWorse",2011
23,23,"Nate Smith",66,156.3,961991,171,"AverageApproachDistanceBogeyorWorse",2011
23,23,"Garrett Willis",71,156.3,1091482,194,"AverageApproachDistanceBogeyorWorse",2011
26,26,"Freddie Jacobson",92,156.4,1047327,186,"AverageApproachDistanceBogeyorWorse",2011
26,26,"Troy Matteson",91,156.4,1407557,250,"AverageApproachDistanceBogeyorWorse",2011
28,28,"JB Holmes",57,156.5,822466,146,"AverageApproachDistanceBogeyorWorse",2011
29,29,"Ryan Palmer",82,156.6,992492,176,"AverageApproachDistanceBogeyorWorse",2011
30,30,"Cameron Beckman",71,156.8,1224940,217,"AverageApproachDistanceBogeyorWorse",2011
30,30,"Michael Bradley",74,156.8,1004624,178,"AverageApproachDistanceBogeyorWorse",2011
30,30,"JJ Henry",96,156.8,1208155,214,"AverageApproachDistanceBogeyorWorse",2011
30,30,"Cameron Tringale",110,156.8,1569708,278,"AverageApproachDistanceBogeyorWorse",2011
34,34,"Webb Simpson",98,156.9,1073136,190,"AverageApproachDistanceBogeyorWorse",2011
34,34,"Boo Weekley",66,156.9,1061704,188,"AverageApproachDistanceBogeyorWorse",2011
36,36,"Scott Stallings",84,157.1,1261142,223,"AverageApproachDistanceBogeyorWorse",2011
37,37,"Bio Kim",71,157.3,1279503,226,"AverageApproachDistanceBogeyorWorse",2011
37,37,"Troy Merritt",63,157.3,1042109,184,"AverageApproachDistanceBogeyorWorse",2011
37,37,"Kevin Stadler",88,157.3,1313487,232,"AverageApproachDistanceBogeyorWorse",2011
40,40,"Jonathan Byrd",83,157.5,1066034,188,"AverageApproachDistanceBogeyorWorse",2011
41,41,"Justin Leonard",82,157.6,1174667,207,"AverageApproachDistanceBogeyorWorse",2011
41,41,"Mark Wilson",89,157.6,981759,173,"AverageApproachDistanceBogeyorWorse",2011
43,43,"Kevin Chappell",78,157.7,1067517,188,"AverageApproachDistanceBogeyorWorse",2011
43,43,"Brandt Jobe",100,157.7,1231564,217,"AverageApproachDistanceBogeyorWorse",2011
45,45,"Shane Bertsch",62,157.8,863599,152,"AverageApproachDistanceBogeyorWorse",2011
45,45,"John Rollins",85,157.8,1084903,191,"AverageApproachDistanceBogeyorWorse",2011
47,47,"Jeff Overton",92,157.9,1290247,227,"AverageApproachDistanceBogeyorWorse",2011
48,48,"David Hearn",88,158,1171975,206,"AverageApproachDistanceBogeyorWorse",2011
49,49,"Jason Day",76,158.1,842623,148,"AverageApproachDistanceBogeyorWorse",2011
49,49,"Billy Mayfair",94,158.1,1371398,241,"AverageApproachDistanceBogeyorWorse",2011
49,49,"Alex Prugh",82,158.1,1451129,255,"AverageApproachDistanceBogeyorWorse",2011
