"PercentageofAvailablePurseWon_RANKTHISWEEK_2011","PercentageofAvailablePurseWon_RANKLASTWEEK_2011","PercentageofAvailablePurseWon_PLAYERNAME_2011","PercentageofAvailablePurseWon_EVENTS_2011","PercentageofAvailablePurseWon_Pct_2011","PercentageofAvailablePurseWon_OFFICIALMONEYWON_2011","PercentageofAvailablePurseWon_TOTALPURSEAVAILABLE_2011","stat_name","year"
1,1,"John Cook",1,6.8,251600,3700000,"PercentageofAvailablePurseWon",2011
2,2,"Darren Clarke",3,6.27,1491328,23800000,"PercentageofAvailablePurseWon",2011
3,3,"Luke Donald",19,4.85,6683213,137700000,"PercentageofAvailablePurseWon",2011
4,4,"Webb Simpson",26,3.81,6347351,166700000,"PercentageofAvailablePurseWon",2011
5,5,"Nick Watney",22,3.37,5290672,1.57e+08,"PercentageofAvailablePurseWon",2011
6,6,"Rory McIlroy",10,3.16,2344609,74200000,"PercentageofAvailablePurseWon",2011
7,7,"Steve Stricker",19,2.9,3992783,137900000,"PercentageofAvailablePurseWon",2011
8,8,"Adam Scott",18,2.84,3764796,132700000,"PercentageofAvailablePurseWon",2011
9,9,"Dustin Johnson",21,2.82,4309960,152800000,"PercentageofAvailablePurseWon",2011
10,10,"KJ Choi",22,2.8,4434689,158200000,"PercentageofAvailablePurseWon",2011
11,11,"Jason Day",21,2.66,3962645,149200000,"PercentageofAvailablePurseWon",2011
12,12,"David Toms",23,2.57,3858088,1.5e+08,"PercentageofAvailablePurseWon",2011
13,13,"Matt Kuchar",24,2.56,4233917,165300000,"PercentageofAvailablePurseWon",2011
14,14,"Phil Mickelson",21,2.47,3763485,152600000,"PercentageofAvailablePurseWon",2011
15,15,"Charl Schwartzel",15,2.36,2604556,110300000,"PercentageofAvailablePurseWon",2011
16,16,"Bill Haas",26,2.27,4088634,179800000,"PercentageofAvailablePurseWon",2011
17,17,"Bubba Watson",22,2.25,3477808,154400000,"PercentageofAvailablePurseWon",2011
18,18,"Anders Hansen",7,2.19,1195566,54500000,"PercentageofAvailablePurseWon",2011
19,19,"Justin Rose",23,2.1,3401419,162200000,"PercentageofAvailablePurseWon",2011
20,20,"Keegan Bradley",28,2.09,3758598,180200000,"PercentageofAvailablePurseWon",2011
21,21,"Brandt Snedeker",26,2.08,3587204,172500000,"PercentageofAvailablePurseWon",2011
22,22,"Gary Woodland",25,2.05,3448587,168200000,"PercentageofAvailablePurseWon",2011
23,23,"Aaron Baddeley",22,2.03,3094691,152500000,"PercentageofAvailablePurseWon",2011
23,23,"Tim Clark",4,2.03,571000,28100000,"PercentageofAvailablePurseWon",2011
25,25,"Jason Dufner",23,2.02,3057858,151600000,"PercentageofAvailablePurseWon",2011
26,26,"Hunter Mahan",25,1.99,3503538,175800000,"PercentageofAvailablePurseWon",2011
27,27,"Bud Cauley",8,1.86,735149,39500000,"PercentageofAvailablePurseWon",2011
28,28,"Lee Westwood",10,1.79,1306945,7.3e+07,"PercentageofAvailablePurseWon",2011
29,29,"Mark Wilson",26,1.78,3158474,177500000,"PercentageofAvailablePurseWon",2011
30,30,"YE Yang",18,1.74,2314864,132900000,"PercentageofAvailablePurseWon",2011
31,31,"Martin Kaymer",10,1.73,1339958,77300000,"PercentageofAvailablePurseWon",2011
32,32,"Martin Laird",23,1.68,2676507,159700000,"PercentageofAvailablePurseWon",2011
33,33,"Jonathan Byrd",26,1.67,2938918,175700000,"PercentageofAvailablePurseWon",2011
34,34,"Adam Hadwin",5,1.59,440751,27700000,"PercentageofAvailablePurseWon",2011
35,35,"Shigeki Maruyama",2,1.57,177375,11300000,"PercentageofAvailablePurseWon",2011
36,36,"Thomas Bjorn",5,1.54,626739,40800000,"PercentageofAvailablePurseWon",2011
37,37,"Freddie Jacobson",25,1.53,2488321,162700000,"PercentageofAvailablePurseWon",2011
38,38,"George Coetzee",1,1.5,109712,7300000,"PercentageofAvailablePurseWon",2011
38,38,"Rory Sabbatini",24,1.5,2420653,161500000,"PercentageofAvailablePurseWon",2011
