"BestRoundsin60sStreak_RANKTHISWEEK_2005","BestRoundsin60sStreak_RANKLASTWEEK_2005","BestRoundsin60sStreak_PLAYERNAME_2005","BestRoundsin60sStreak__2005","BestRoundsin60sStreak_CAREERBESTSTREAK_2005","BestRoundsin60sStreak_BESTYTDSTREAK_2005","BestRoundsin60sStreak_CURRENTSTREAK_2005","stat_name","year"
1,1,"Bob Estes",NA,17,4,NA,"BestRoundsin60sStreak",2005
2,2,"Charles Howell III",NA,16,3,NA,"BestRoundsin60sStreak",2005
3,3,"Chris DiMarco",NA,14,2,NA,"BestRoundsin60sStreak",2005
3,3,"Scott Hoch",NA,14,1,NA,"BestRoundsin60sStreak",2005
5,5,"Harrison Frazar",NA,13,13,NA,"BestRoundsin60sStreak",2005
5,5,"Davis Love III",NA,13,4,NA,"BestRoundsin60sStreak",2005
7,7,"Joe Durant",NA,12,3,NA,"BestRoundsin60sStreak",2005
7,7,"Shigeki Maruyama",NA,12,5,NA,"BestRoundsin60sStreak",2005
7,7,"Mark OMeara",NA,12,4,NA,"BestRoundsin60sStreak",2005
7,7,"Tim Petrovic",NA,12,3,NA,"BestRoundsin60sStreak",2005
11,11,"Brian Bateman",NA,11,2,NA,"BestRoundsin60sStreak",2005
11,11,"David Edwards",NA,11,2,NA,"BestRoundsin60sStreak",2005
11,11,"Jim Furyk",NA,11,9,NA,"BestRoundsin60sStreak",2005
11,11,"JP Hayes",NA,11,11,NA,"BestRoundsin60sStreak",2005
11,11,"Bernhard Langer",NA,11,7,NA,"BestRoundsin60sStreak",2005
11,11,"Bruce Lietzke",NA,11,NA,NA,"BestRoundsin60sStreak",2005
11,11,"Mark McCumber",NA,11,1,NA,"BestRoundsin60sStreak",2005
11,11,"Jerry Pate",NA,11,NA,NA,"BestRoundsin60sStreak",2005
11,11,"Tiger Woods",NA,11,6,NA,"BestRoundsin60sStreak",2005
20,20,"Fred Couples",NA,10,5,NA,"BestRoundsin60sStreak",2005
20,20,"Steve Flesch",NA,10,3,NA,"BestRoundsin60sStreak",2005
20,20,"Carlos Franco",NA,10,4,NA,"BestRoundsin60sStreak",2005
20,20,"David Frost",NA,10,2,NA,"BestRoundsin60sStreak",2005
20,20,"Robert Gamez",NA,10,4,NA,"BestRoundsin60sStreak",2005
20,20,"Rocco Mediate",NA,10,10,NA,"BestRoundsin60sStreak",2005
20,20,"Corey Pavin",NA,10,4,NA,"BestRoundsin60sStreak",2005
20,20,"David Peoples",NA,10,3,NA,"BestRoundsin60sStreak",2005
20,20,"Carl Pettersson",NA,10,6,NA,"BestRoundsin60sStreak",2005
20,20,"Mike Reid",NA,10,NA,NA,"BestRoundsin60sStreak",2005
20,20,"Chris Riley",NA,10,3,NA,"BestRoundsin60sStreak",2005
20,20,"Loren Roberts",NA,10,7,NA,"BestRoundsin60sStreak",2005
20,20,"Gene Sauers",NA,10,2,NA,"BestRoundsin60sStreak",2005
20,20,"Tom Sieckmann",NA,10,NA,NA,"BestRoundsin60sStreak",2005
