"PresidentsCupInternational_RANKTHISWEEK_2015","PresidentsCupInternational_RANKLASTWEEK_2015","PresidentsCupInternational_PLAYERNAME_2015","PresidentsCupInternational_EVENTS_2015","PresidentsCupInternational_AVGPOINTS_2015","PresidentsCupInternational_TOTALPOINTS_2015","PresidentsCupInternational_POINTSLOST_2015","PresidentsCupInternational_POINTSGAINED_2015","stat_name","year"
1,1,"Jason Day",40,11.05,441.88,-163.41,372.85,"PresidentsCupInternational",2015
2,2,"Louis Oosthuizen",47,4.69,220.23,-66.36,167.78,"PresidentsCupInternational",2015
3,3,"Adam Scott",42,4.57,192.04,-204.89,73.11,"PresidentsCupInternational",2015
4,4,"Hideki Matsuyama",52,4.26,221.56,-133.24,145.29,"PresidentsCupInternational",2015
5,5,"Branden Grace",52,3.83,198.92,-64.18,171.6,"PresidentsCupInternational",2015
6,6,"Marc Leishman",51,2.91,148.36,-76.07,89.17,"PresidentsCupInternational",2015
7,7,"Anirban Lahiri",52,2.66,138.31,-59.58,104.45,"PresidentsCupInternational",2015
8,8,"Charl Schwartzel",52,2.61,135.54,-109.52,90.28,"PresidentsCupInternational",2015
9,9,"Thongchai Jaidee",52,2.58,134.07,-87.45,75.45,"PresidentsCupInternational",2015
10,10,"Danny Lee",52,2.39,124.26,-24.97,110.73,"PresidentsCupInternational",2015
11,11,"Steven Bowditch",52,2.38,123.74,-45.62,86.55,"PresidentsCupInternational",2015
12,12,"Byeong Hun An",52,2.29,118.87,-30.33,99.47,"PresidentsCupInternational",2015
13,13,"John Senden",52,2.26,117.51,-72.6,60.96,"PresidentsCupInternational",2015
14,14,"Matt Jones",52,2.19,113.76,-68.65,88.4,"PresidentsCupInternational",2015
15,15,"George Coetzee",52,2.19,113.64,-56.2,78.38,"PresidentsCupInternational",2015
16,16,"Kiradech Aphibarnrat",52,2.01,104.57,-48.83,83.53,"PresidentsCupInternational",2015
17,17,"Hiroshi Iwata",52,1.73,89.84,-39.77,34.53,"PresidentsCupInternational",2015
18,18,"Cameron Smith",40,1.72,68.7,-16.78,48.68,"PresidentsCupInternational",2015
19,19,"Sangmoon Bae",52,1.67,86.72,-51.92,48.73,"PresidentsCupInternational",2015
20,20,"Tim Clark",40,1.63,65.35,-53.48,5.6,"PresidentsCupInternational",2015
21,21,"Graham DeLaet",48,1.55,74.47,-88.62,43.31,"PresidentsCupInternational",2015
22,22,"Emiliano Grillo",52,1.54,79.86,-41.25,54.94,"PresidentsCupInternational",2015
23,23,"Koumei Oda",52,1.53,79.32,-65.07,25.23,"PresidentsCupInternational",2015
24,24,"Geoff Ogilvy",46,1.5,68.81,-41.59,31.61,"PresidentsCupInternational",2015
25,25,"David Hearn",52,1.48,77.16,-43.44,53.84,"PresidentsCupInternational",2015
26,26,"Prayad Marksaeng",52,1.41,73.17,-35.92,47.15,"PresidentsCupInternational",2015
27,27,"KT Kim",49,1.4,68.83,-21.76,57.36,"PresidentsCupInternational",2015
28,28,"Brendon de Jonge",52,1.38,71.76,-59.8,39.73,"PresidentsCupInternational",2015
29,29,"Jaco Van Zyl",40,1.34,53.45,-19.77,53.64,"PresidentsCupInternational",2015
30,30,"Ernie Els",52,1.33,69.09,-77.42,30.13,"PresidentsCupInternational",2015
31,31,"Rory Sabbatini",51,1.33,67.59,-38.74,56.93,"PresidentsCupInternational",2015
32,32,"Ryan Fox",40,1.32,52.97,-14.25,39.04,"PresidentsCupInternational",2015
33,33,"Thomas Aiken",52,1.23,63.82,-39,44.55,"PresidentsCupInternational",2015
34,34,"Brad Kennedy",47,1.21,56.8,-26.43,40.65,"PresidentsCupInternational",2015
35,35,"Fabian Gomez",52,1.2,62.36,-19.53,42.38,"PresidentsCupInternational",2015
36,36,"Camilo Villegas",52,1.19,62.04,-35.51,35.82,"PresidentsCupInternational",2015
37,37,"Angel Cabrera",47,1.18,55.36,-57.96,19.79,"PresidentsCupInternational",2015
38,38,"Seung Yul Noh",52,1.14,59.03,-45.56,27.47,"PresidentsCupInternational",2015
39,39,"Yuta Ikeda",52,1.12,58.31,-37.79,21.1,"PresidentsCupInternational",2015
40,40,"Richard Green",46,1.11,51.09,-22.9,35.79,"PresidentsCupInternational",2015
41,41,"Fabrizio Zanotti",48,1.11,53.12,-36.38,12.96,"PresidentsCupInternational",2015
42,42,"Tomohiro Kondo",47,1.09,51.39,-35.5,10.05,"PresidentsCupInternational",2015
43,43,"Toshinori Muto",46,1.09,50.18,-17.93,27.84,"PresidentsCupInternational",2015
44,44,"Marcus Fraser",40,1.09,43.51,-24.72,28.33,"PresidentsCupInternational",2015
45,45,"Dean Burmester",48,1.07,51.55,-9.18,51.45,"PresidentsCupInternational",2015
46,46,"Prom Meesawat",49,1.07,52.31,-28.86,24.08,"PresidentsCupInternational",2015
47,47,"Adam Hadwin",52,1.06,55.03,-25.75,31.23,"PresidentsCupInternational",2015
48,48,"Shingo Katayama",40,1.05,41.81,-44.81,7.1,"PresidentsCupInternational",2015
49,49,"Scott Hend",52,1.04,54.27,-42.24,25.22,"PresidentsCupInternational",2015
50,50,"Andrew Dodt",40,1.04,41.7,-17.01,32.02,"PresidentsCupInternational",2015
51,51,"Hao Tong Li",48,1.03,49.23,-17,29.56,"PresidentsCupInternational",2015
52,52,"Hyung Sung Kim",52,1.01,52.71,-49.98,21.81,"PresidentsCupInternational",2015
53,53,"Wu Ashun",47,1.01,47.61,-28.61,31.45,"PresidentsCupInternational",2015
54,54,"Carlos Ortiz",50,0.99,49.37,-26.6,27.81,"PresidentsCupInternational",2015
55,55,"Retief Goosen",52,0.96,50.16,-21.76,32.16,"PresidentsCupInternational",2015
56,56,"Hur Inhoi",44,0.96,42.25,-23.97,11.2,"PresidentsCupInternational",2015
57,57,"KJ Choi",47,0.96,45.04,-45.77,19.64,"PresidentsCupInternational",2015
58,58,"Rod Pampling",48,0.95,45.81,-16.56,25.15,"PresidentsCupInternational",2015
59,59,"Hiroyuki Fujita",51,0.95,48.55,-33.62,9.98,"PresidentsCupInternational",2015
60,60,"Hideto Tanihara",47,0.92,43.38,-44.4,8.77,"PresidentsCupInternational",2015
61,61,"Ryo Ishikawa",52,0.91,47.21,-50.57,24.91,"PresidentsCupInternational",2015
