"BogeyAvoidance_RANKTHISWEEK_2010","BogeyAvoidance_RANKLASTWEEK_2010","BogeyAvoidance_PLAYERNAME_2010","BogeyAvoidance_ROUNDS_2010","BogeyAvoidance_PctMAKESBOGEY_2010","BogeyAvoidance_BOGEYS_2010","BogeyAvoidance_HOLESPLAYED_2010","stat_name","year"
1,1,"Dean Wilson",54,12.14,118,972,"BogeyAvoidance",2010
2,2,"Charles Howell III",103,12.41,230,1854,"BogeyAvoidance",2010
3,3,"Steve Elkington",74,12.46,166,1332,"BogeyAvoidance",2010
3,3,"Matt Kuchar",97,12.46,213,1710,"BogeyAvoidance",2010
5,5,"Kevin Sutherland",86,12.98,201,1548,"BogeyAvoidance",2010
6,6,"Steve Stricker",73,13.12,170,1296,"BogeyAvoidance",2010
7,7,"Retief Goosen",75,13.38,171,1278,"BogeyAvoidance",2010
8,8,"Chris Riley",73,13.47,177,1314,"BogeyAvoidance",2010
9,9,"Luke Donald",71,13.48,165,1224,"BogeyAvoidance",2010
10,10,"Charlie Wi",95,13.74,235,1710,"BogeyAvoidance",2010
11,11,"Brian Gay",101,13.83,244,1764,"BogeyAvoidance",2010
12,12,"Chad Collins",87,13.86,217,1566,"BogeyAvoidance",2010
13,13,"Greg Chalmers",93,13.92,233,1674,"BogeyAvoidance",2010
14,14,"Joe Durant",67,13.93,168,1206,"BogeyAvoidance",2010
15,15,"Chris DiMarco",88,13.95,221,1584,"BogeyAvoidance",2010
16,16,"Tom Pernice Jr",74,13.96,186,1332,"BogeyAvoidance",2010
17,17,"Kevin Na",94,14.04,235,1674,"BogeyAvoidance",2010
18,18,"Mark Wilson",87,14.05,220,1566,"BogeyAvoidance",2010
19,19,"Freddie Jacobson",83,14.06,210,1494,"BogeyAvoidance",2010
20,20,"Paul Casey",64,14.08,147,1044,"BogeyAvoidance",2010
21,21,"Briny Baird",87,14.11,221,1566,"BogeyAvoidance",2010
21,21,"Jim Furyk",76,14.11,188,1332,"BogeyAvoidance",2010
23,23,"Tim Clark",88,14.12,216,1530,"BogeyAvoidance",2010
24,24,"Heath Slocum",97,14.15,247,1746,"BogeyAvoidance",2010
25,25,"Spencer Levin",110,14.19,281,1980,"BogeyAvoidance",2010
26,26,"John Senden",103,14.29,265,1854,"BogeyAvoidance",2010
27,27,"Jonathan Byrd",85,14.31,219,1530,"BogeyAvoidance",2010
28,28,"Pat Perez",90,14.32,232,1620,"BogeyAvoidance",2010
29,29,"Justin Rose",78,14.39,202,1404,"BogeyAvoidance",2010
30,30,"Bo Van Pelt",104,14.42,270,1872,"BogeyAvoidance",2010
31,31,"KJ Choi",82,14.43,213,1476,"BogeyAvoidance",2010
31,31,"JJ Henry",92,14.43,239,1656,"BogeyAvoidance",2010
33,33,"Omar Uresti",74,14.56,194,1332,"BogeyAvoidance",2010
34,34,"Jeev Milkha Singh",59,14.58,147,1008,"BogeyAvoidance",2010
34,34,"Boo Weekley",88,14.58,231,1584,"BogeyAvoidance",2010
36,36,"Ernie Els",72,14.6,184,1260,"BogeyAvoidance",2010
37,37,"Richard Johnson",90,14.69,238,1620,"BogeyAvoidance",2010
38,38,"Rickie Fowler",98,14.74,260,1764,"BogeyAvoidance",2010
39,39,"Carl Pettersson",99,14.76,263,1782,"BogeyAvoidance",2010
40,40,"David Toms",86,14.77,226,1530,"BogeyAvoidance",2010
41,41,"Michael Bradley",77,14.79,205,1386,"BogeyAvoidance",2010
42,42,"Graham DeLaet",88,14.84,235,1584,"BogeyAvoidance",2010
43,43,"Paul Stankowski",62,14.87,166,1116,"BogeyAvoidance",2010
44,44,"Michael Sim",64,14.9,169,1134,"BogeyAvoidance",2010
45,45,"Brendon de Jonge",114,14.91,306,2052,"BogeyAvoidance",2010
46,46,"Aron Price",70,15.08,190,1260,"BogeyAvoidance",2010
47,47,"Ryuji Imada",90,15.12,245,1620,"BogeyAvoidance",2010
48,48,"Chad Campbell",95,15.13,256,1692,"BogeyAvoidance",2010
49,49,"Ben Curtis",78,15.17,213,1404,"BogeyAvoidance",2010
50,50,"Charley Hoffman",85,15.23,233,1530,"BogeyAvoidance",2010
51,51,"Stephen Ames",75,15.24,203,1332,"BogeyAvoidance",2010
52,52,"Scott McCarron",90,15.25,247,1620,"BogeyAvoidance",2010
53,53,"Bill Haas",87,15.26,239,1566,"BogeyAvoidance",2010
54,54,"Troy Matteson",84,15.28,231,1512,"BogeyAvoidance",2010
54,54,"Brett Quigley",96,15.28,264,1728,"BogeyAvoidance",2010
56,56,"Sean OHair",84,15.31,226,1476,"BogeyAvoidance",2010
