"PuttingInside10_RANKTHISWEEK_2006","PuttingInside10_RANKLASTWEEK_2006","PuttingInside10_PLAYERNAME_2006","PuttingInside10_ROUNDS_2006","PuttingInside10_PctMADE_2006","PuttingInside10_ATTEMPTS_2006","PuttingInside10_PUTTSMADE_2006","stat_name","year"
1,1,"Jim Furyk",89,91.14,1185,1080,"PuttingInside10",2006
2,2,"Steve Stricker",64,90.22,920,830,"PuttingInside10",2006
3,3,"Richard Johnson",94,89.26,1518,1355,"PuttingInside10",2006
4,4,"Rod Pampling",89,89.24,1143,1020,"PuttingInside10",2006
5,5,"Aaron Baddeley",78,89.22,1225,1093,"PuttingInside10",2006
6,6,"Brett Quigley",109,89.15,1678,1496,"PuttingInside10",2006
7,7,"Stewart Cink",93,88.97,1297,1154,"PuttingInside10",2006
8,8,"KJ Choi",93,88.81,1439,1278,"PuttingInside10",2006
9,9,"Larry Mize",53,88.76,747,663,"PuttingInside10",2006
10,10,"Dean Wilson",115,88.69,1653,1466,"PuttingInside10",2006
11,11,"Harrison Frazar",95,88.66,1367,1212,"PuttingInside10",2006
12,12,"Daniel Chopra",110,88.65,1621,1437,"PuttingInside10",2006
13,13,"John Cook",67,88.63,1003,889,"PuttingInside10",2006
14,14,"Scott Verplank",88,88.51,1236,1094,"PuttingInside10",2006
15,15,"JJ Henry",96,88.5,1400,1239,"PuttingInside10",2006
16,16,"Dudley Hart",83,88.42,1295,1145,"PuttingInside10",2006
17,17,"Bob Estes",85,88.4,1362,1204,"PuttingInside10",2006
18,18,"Ryan Moore",68,88.37,1058,935,"PuttingInside10",2006
19,19,"Nathan Green",108,88.36,1701,1503,"PuttingInside10",2006
20,20,"Tiger Woods",55,88.35,661,584,"PuttingInside10",2006
21,21,"Ben Crane",85,88.31,1078,952,"PuttingInside10",2006
21,21,"Brian Gay",107,88.31,1796,1586,"PuttingInside10",2006
23,23,"Jesper Parnevik",84,88.25,1328,1172,"PuttingInside10",2006
24,24,"Eric Axley",91,88.22,1452,1281,"PuttingInside10",2006
25,25,"Brian Bateman",69,88.2,1076,949,"PuttingInside10",2006
26,26,"David Branshaw",98,88.16,1588,1400,"PuttingInside10",2006
26,26,"Shaun Micheel",96,88.16,1436,1266,"PuttingInside10",2006
28,28,"Padraig Harrington",54,88.15,717,632,"PuttingInside10",2006
29,29,"Trevor Immelman",86,88.11,1346,1186,"PuttingInside10",2006
30,30,"John Rollins",93,88.08,1393,1227,"PuttingInside10",2006
31,31,"Stephen Ames",63,88.07,788,694,"PuttingInside10",2006
32,32,"Robert Allenby",79,88.06,1089,959,"PuttingInside10",2006
32,32,"Billy Mayfair",94,88.06,1415,1246,"PuttingInside10",2006
32,32,"Tom Pernice Jr",108,88.06,1574,1386,"PuttingInside10",2006
35,35,"Paul Azinger",87,88.02,1469,1293,"PuttingInside10",2006
36,36,"David Howell",52,88,550,484,"PuttingInside10",2006
36,36,"Jeff Sluman",101,88,1525,1342,"PuttingInside10",2006
38,38,"Jeff Gove",91,87.98,1514,1332,"PuttingInside10",2006
38,38,"Geoff Ogilvy",76,87.98,957,842,"PuttingInside10",2006
40,40,"Kevin Sutherland",100,87.96,1603,1410,"PuttingInside10",2006
41,41,"Charles Howell III",96,87.95,1461,1285,"PuttingInside10",2006
42,42,"Brad Faxon",78,87.93,1334,1173,"PuttingInside10",2006
43,43,"Jimmy Walker",60,87.92,1035,910,"PuttingInside10",2006
44,44,"Jose Maria Olazabal",62,87.91,703,618,"PuttingInside10",2006
45,45,"Justin Leonard",83,87.85,1210,1063,"PuttingInside10",2006
46,46,"Vance Veazey",59,87.83,994,873,"PuttingInside10",2006
47,47,"Freddie Jacobson",56,87.82,977,858,"PuttingInside10",2006
47,47,"Patrick Sheehan",104,87.82,1601,1406,"PuttingInside10",2006
49,49,"Chris Smith",67,87.77,1055,926,"PuttingInside10",2006
50,50,"Tag Ridings",103,87.76,1642,1441,"PuttingInside10",2006
51,51,"Marco Dawson",87,87.73,1418,1244,"PuttingInside10",2006
51,51,"Ryuji Imada",105,87.73,1605,1408,"PuttingInside10",2006
53,53,"Bart Bryant",87,87.64,1319,1156,"PuttingInside10",2006
53,53,"Ryan Hietala",61,87.64,963,844,"PuttingInside10",2006
55,55,"Carl Pettersson",95,87.61,1356,1188,"PuttingInside10",2006
56,56,"Vijay Singh",103,87.59,1555,1362,"PuttingInside10",2006
57,57,"Ian Leggatt",80,87.57,1303,1141,"PuttingInside10",2006
58,58,"Bernhard Langer",77,87.56,1085,950,"PuttingInside10",2006
59,59,"Todd Fischer",101,87.55,1646,1441,"PuttingInside10",2006
60,60,"Frank Lickliter II",99,87.54,1557,1363,"PuttingInside10",2006
61,61,"Chris DiMarco",83,87.53,1131,990,"PuttingInside10",2006
62,62,"Ben Curtis",86,87.47,1229,1075,"PuttingInside10",2006
62,62,"Joe Ogilvie",95,87.47,1445,1264,"PuttingInside10",2006
64,64,"Michael Allen",84,87.45,1323,1157,"PuttingInside10",2006
64,64,"Olin Browne",108,87.45,1570,1373,"PuttingInside10",2006
66,66,"Skip Kendall",72,87.44,1107,968,"PuttingInside10",2006
66,66,"Ryan Palmer",101,87.44,1505,1316,"PuttingInside10",2006
68,68,"Danny Ellis",68,87.43,1106,967,"PuttingInside10",2006
69,69,"Bubba Watson",83,87.42,1343,1174,"PuttingInside10",2006
70,70,"JL Lewis",57,87.38,935,817,"PuttingInside10",2006
71,71,"Duffy Waldorf",96,87.37,1520,1328,"PuttingInside10",2006
72,72,"Zach Johnson",98,87.35,1423,1243,"PuttingInside10",2006
73,73,"Charles Warren",93,87.34,1509,1318,"PuttingInside10",2006
74,74,"Mike Sposa",68,87.32,1088,950,"PuttingInside10",2006
75,75,"DA Points",82,87.31,1316,1149,"PuttingInside10",2006
75,75,"Bo Van Pelt",102,87.31,1655,1445,"PuttingInside10",2006
77,77,"Greg Chalmers",71,87.26,1060,925,"PuttingInside10",2006
78,78,"Stuart Appleby",83,87.24,1176,1026,"PuttingInside10",2006
