"StrokesGainedTotal_RANKTHISWEEK_2009","StrokesGainedTotal_RANKLASTWEEK_2009","StrokesGainedTotal_PLAYERNAME_2009","StrokesGainedTotal_ROUNDS_2009","StrokesGainedTotal_AVERAGE_2009","StrokesGainedTotal_TOTALSGT_2009","StrokesGainedTotal_TOTALSGT2G_2009","StrokesGainedTotal_TOTALSGP_2009","StrokesGainedTotal_MEASUREDROUNDS_2009","stat_name","year"
1,1,"Tiger Woods",64,3.189,153.06,110.998,42.062,48,"StrokesGainedTotal",2009
2,2,"Steve Stricker",81,1.824,113.105,100.432,12.673,62,"StrokesGainedTotal",2009
3,3,"Jim Furyk",86,1.66,107.89,61.797,46.093,65,"StrokesGainedTotal",2009
4,4,"Zach Johnson",94,1.538,121.529,91.498,30.031,79,"StrokesGainedTotal",2009
5,5,"Tim Clark",81,1.224,72.189,55.845,16.344,59,"StrokesGainedTotal",2009
6,6,"Hunter Mahan",94,1.221,91.572,60.877,30.695,75,"StrokesGainedTotal",2009
7,7,"Ian Poulter",59,1.206,50.648,47.165,3.483,42,"StrokesGainedTotal",2009
8,8,"Kenny Perry",92,1.205,87.976,68.457,19.519,73,"StrokesGainedTotal",2009
9,9,"Sean OHair",80,1.169,67.8,75.336,-7.536,58,"StrokesGainedTotal",2009
10,10,"Padraig Harrington",66,1.163,55.831,33.385,22.446,48,"StrokesGainedTotal",2009
10,10,"Matt Kuchar",82,1.163,82.598,32.922,49.676,71,"StrokesGainedTotal",2009
12,12,"David Toms",98,1.155,92.395,84.496,7.899,80,"StrokesGainedTotal",2009
13,13,"Nick Watney",86,1.077,73.204,57.457,15.747,68,"StrokesGainedTotal",2009
14,14,"Geoff Ogilvy",78,1.06,61.504,32.427,29.077,58,"StrokesGainedTotal",2009
15,15,"John Senden",100,1.012,93.102,88.977,4.125,92,"StrokesGainedTotal",2009
16,16,"Luke Donald",79,1.01,61.584,4.561,57.023,61,"StrokesGainedTotal",2009
17,17,"Robert Allenby",71,0.987,55.293,90.908,-35.615,56,"StrokesGainedTotal",2009
18,18,"Steve Marino",98,0.974,81.798,73.011,8.787,84,"StrokesGainedTotal",2009
19,19,"Retief Goosen",74,0.971,54.375,28.502,25.873,56,"StrokesGainedTotal",2009
20,20,"Justin Leonard",95,0.934,70.087,63.17,6.917,75,"StrokesGainedTotal",2009
21,21,"Kevin Na",91,0.928,72.415,35.324,37.091,78,"StrokesGainedTotal",2009
22,22,"Ernie Els",70,0.921,49.738,70.781,-21.043,54,"StrokesGainedTotal",2009
23,23,"Scott Verplank",88,0.885,69.887,67.401,2.486,79,"StrokesGainedTotal",2009
24,24,"Jason Day",61,0.848,42.421,17.733,24.688,50,"StrokesGainedTotal",2009
25,25,"Dustin Johnson",85,0.801,51.269,49.205,2.064,64,"StrokesGainedTotal",2009
26,26,"Camilo Villegas",76,0.786,44.014,55.608,-11.594,56,"StrokesGainedTotal",2009
