"GIRPuttingAvg2530_RANKTHISWEEK_2013","GIRPuttingAvg2530_RANKLASTWEEK_2013","GIRPuttingAvg2530_PLAYERNAME_2013","GIRPuttingAvg2530_ROUNDS_2013","GIRPuttingAvg2530_PctMADE_2013","GIRPuttingAvg2530_ATTEMPTS_2013","GIRPuttingAvg2530_PUTTSMADE_2013","stat_name","year"
1,1,"Steve Stricker",51,2.5,44,11,"GIRPuttingAvg2530",2013
2,2,"Zach Johnson",84,1.67,78,13,"GIRPuttingAvg2530",2013
2,2,"Graeme McDowell",53,1.67,42,7,"GIRPuttingAvg2530",2013
4,4,"Ryan Palmer",79,1.65,85,14,"GIRPuttingAvg2530",2013
5,5,"Dustin Johnson",71,1.63,49,8,"GIRPuttingAvg2530",2013
6,6,"DJ Trahan",48,1.59,44,7,"GIRPuttingAvg2530",2013
7,7,"Aaron Baddeley",68,1.5,60,9,"GIRPuttingAvg2530",2013
8,8,"Padraig Harrington",52,1.46,41,6,"GIRPuttingAvg2530",2013
9,9,"Scott Langley",79,1.43,77,11,"GIRPuttingAvg2530",2013
9,9,"Geoff Ogilvy",57,1.43,42,6,"GIRPuttingAvg2530",2013
11,11,"Sergio Garcia",65,1.41,64,9,"GIRPuttingAvg2530",2013
12,12,"Sangmoon Bae",83,1.4,57,8,"GIRPuttingAvg2530",2013
13,13,"Charles Howell III",87,1.39,79,11,"GIRPuttingAvg2530",2013
14,14,"Phil Mickelson",78,1.38,58,8,"GIRPuttingAvg2530",2013
15,15,"Chris Kirk",89,1.36,66,9,"GIRPuttingAvg2530",2013
15,15,"Charl Schwartzel",69,1.36,66,9,"GIRPuttingAvg2530",2013
17,17,"Ted Potter Jr",65,1.35,52,7,"GIRPuttingAvg2530",2013
18,18,"Greg Chalmers",77,1.32,76,10,"GIRPuttingAvg2530",2013
18,18,"Will Claxton",67,1.32,68,9,"GIRPuttingAvg2530",2013
18,18,"Bob Estes",66,1.32,68,9,"GIRPuttingAvg2530",2013
18,18,"Boo Weekley",100,1.32,106,14,"GIRPuttingAvg2530",2013
22,22,"Derek Ernst",58,1.3,46,6,"GIRPuttingAvg2530",2013
23,23,"Jordan Spieth",82,1.29,62,8,"GIRPuttingAvg2530",2013
23,23,"Kevin Stadler",83,1.29,62,8,"GIRPuttingAvg2530",2013
23,23,"Mike Weir",60,1.29,31,4,"GIRPuttingAvg2530",2013
26,26,"Bo Van Pelt",72,1.27,55,7,"GIRPuttingAvg2530",2013
27,27,"Ryo Ishikawa",72,1.25,64,8,"GIRPuttingAvg2530",2013
28,28,"Russell Henley",80,1.24,89,11,"GIRPuttingAvg2530",2013
29,29,"Robert Allenby",58,1.22,41,5,"GIRPuttingAvg2530",2013
29,29,"Rory McIlroy",56,1.22,41,5,"GIRPuttingAvg2530",2013
29,29,"Jin Park",52,1.22,49,6,"GIRPuttingAvg2530",2013
32,32,"Carl Pettersson",82,1.21,66,8,"GIRPuttingAvg2530",2013
32,32,"Tag Ridings",69,1.21,58,7,"GIRPuttingAvg2530",2013
34,34,"Daniel Summerhays",83,1.18,85,10,"GIRPuttingAvg2530",2013
35,35,"Tommy Gainey",84,1.17,60,7,"GIRPuttingAvg2530",2013
35,35,"John Senden",79,1.17,60,7,"GIRPuttingAvg2530",2013
37,37,"Roberto Castro",97,1.16,86,10,"GIRPuttingAvg2530",2013
37,37,"Matt Every",89,1.16,69,8,"GIRPuttingAvg2530",2013
39,39,"Colt Knost",69,1.15,61,7,"GIRPuttingAvg2530",2013
39,39,"Richard Lee",81,1.15,87,10,"GIRPuttingAvg2530",2013
41,41,"Andrew Svoboda",46,1.14,35,4,"GIRPuttingAvg2530",2013
42,42,"Jason Bohn",70,1.13,53,6,"GIRPuttingAvg2530",2013
42,42,"Doug LaBelle II",72,1.13,53,6,"GIRPuttingAvg2530",2013
42,42,"Gary Woodland",94,1.13,71,8,"GIRPuttingAvg2530",2013
45,45,"Luke Guthrie",82,1.11,63,7,"GIRPuttingAvg2530",2013
46,46,"Martin Laird",68,1.09,55,6,"GIRPuttingAvg2530",2013
47,47,"John Rollins",77,1.08,74,8,"GIRPuttingAvg2530",2013
48,48,"Keegan Bradley",88,1.07,75,8,"GIRPuttingAvg2530",2013
48,48,"Scott Gardiner",61,1.07,56,6,"GIRPuttingAvg2530",2013
48,48,"Jim Herman",59,1.07,56,6,"GIRPuttingAvg2530",2013
51,51,"Chris Stroud",88,1.05,86,9,"GIRPuttingAvg2530",2013
52,52,"Tim Herron",45,1.03,39,4,"GIRPuttingAvg2530",2013
53,53,"Brandt Snedeker",79,1.02,59,6,"GIRPuttingAvg2530",2013
54,54,"Angel Cabrera",73,1.01,69,7,"GIRPuttingAvg2530",2013
54,54,"Brendan Steele",86,1.01,99,10,"GIRPuttingAvg2530",2013
54,54,"Nick Watney",88,1.01,89,9,"GIRPuttingAvg2530",2013
54,54,"Charlie Wi",75,1.01,69,7,"GIRPuttingAvg2530",2013
58,58,"Charley Hoffman",84,0.99,81,8,"GIRPuttingAvg2530",2013
58,58,"Henrik Norlander",70,0.99,81,8,"GIRPuttingAvg2530",2013
60,60,"Tim Clark",64,0.98,41,4,"GIRPuttingAvg2530",2013
60,60,"Harris English",95,0.98,92,9,"GIRPuttingAvg2530",2013
60,60,"Martin Flores",83,0.98,82,8,"GIRPuttingAvg2530",2013
63,63,"Steven Bowditch",67,0.97,62,6,"GIRPuttingAvg2530",2013
63,63,"Jason Dufner",78,0.97,62,6,"GIRPuttingAvg2530",2013
65,65,"Jeff Maggert",63,0.96,73,7,"GIRPuttingAvg2530",2013
65,65,"Ryan Moore",72,0.96,73,7,"GIRPuttingAvg2530",2013
65,65,"Lee Williams",62,0.96,52,5,"GIRPuttingAvg2530",2013
68,68,"Stuart Appleby",88,0.95,95,9,"GIRPuttingAvg2530",2013
68,68,"Ben Crane",62,0.95,63,6,"GIRPuttingAvg2530",2013
70,70,"Erik Compton",74,0.94,53,5,"GIRPuttingAvg2530",2013
70,70,"Mark Wilson",56,0.94,64,6,"GIRPuttingAvg2530",2013
72,72,"George McNeill",68,0.92,65,6,"GIRPuttingAvg2530",2013
72,72,"Josh Teater",86,0.92,65,6,"GIRPuttingAvg2530",2013
74,74,"Brandt Jobe",62,0.91,66,6,"GIRPuttingAvg2530",2013
74,74,"Lee Westwood",70,0.91,44,4,"GIRPuttingAvg2530",2013
76,76,"James Driscoll",76,0.9,78,7,"GIRPuttingAvg2530",2013
76,76,"Rickie Fowler",75,0.9,67,6,"GIRPuttingAvg2530",2013
78,78,"Brian Harman",89,0.89,79,7,"GIRPuttingAvg2530",2013
78,78,"Shawn Stefani",63,0.89,45,4,"GIRPuttingAvg2530",2013
80,80,"Kevin Streelman",86,0.88,68,6,"GIRPuttingAvg2530",2013
80,80,"Aaron Watkins",46,0.88,34,3,"GIRPuttingAvg2530",2013
82,82,"Ben Curtis",59,0.87,46,4,"GIRPuttingAvg2530",2013
82,82,"DA Points",87,0.87,69,6,"GIRPuttingAvg2530",2013
84,84,"Robert Karlsson",56,0.85,47,4,"GIRPuttingAvg2530",2013
85,85,"Ricky Barnes",74,0.83,60,5,"GIRPuttingAvg2530",2013
85,85,"Brad Fritsch",81,0.83,72,6,"GIRPuttingAvg2530",2013
85,85,"Vijay Singh",61,0.83,48,4,"GIRPuttingAvg2530",2013
88,88,"Brian Gay",79,0.82,49,4,"GIRPuttingAvg2530",2013
89,89,"Ian Poulter",59,0.81,37,3,"GIRPuttingAvg2530",2013
90,90,"Charlie Beljan",62,0.79,63,5,"GIRPuttingAvg2530",2013
90,90,"Ken Duke",87,0.79,101,8,"GIRPuttingAvg2530",2013
90,90,"Bryce Molder",82,0.79,76,6,"GIRPuttingAvg2530",2013
93,93,"Billy Horschel",96,0.78,90,7,"GIRPuttingAvg2530",2013
93,93,"Rory Sabbatini",86,0.78,77,6,"GIRPuttingAvg2530",2013
95,95,"Cameron Percy",68,0.77,52,4,"GIRPuttingAvg2530",2013
96,96,"Dicky Pride",71,0.76,79,6,"GIRPuttingAvg2530",2013
97,97,"Bud Cauley",67,0.75,53,4,"GIRPuttingAvg2530",2013
97,97,"DH Lee",65,0.75,67,5,"GIRPuttingAvg2530",2013
99,99,"Pat Perez",69,0.74,68,5,"GIRPuttingAvg2530",2013
100,100,"Graham DeLaet",94,0.73,109,8,"GIRPuttingAvg2530",2013
101,101,"Chad Campbell",78,0.71,84,6,"GIRPuttingAvg2530",2013
101,101,"Jim Furyk",80,0.71,85,6,"GIRPuttingAvg2530",2013
101,101,"David Mathis",71,0.71,70,5,"GIRPuttingAvg2530",2013
104,104,"Alistair Presnell",59,0.7,57,4,"GIRPuttingAvg2530",2013
105,105,"Peter Hanson",45,0.69,29,2,"GIRPuttingAvg2530",2013
