"ConsecutiveSandSaves_RANKTHISWEEK_2008","ConsecutiveSandSaves_RANKLASTWEEK_2008","ConsecutiveSandSaves_PLAYERNAME_2008","ConsecutiveSandSaves_EVENTS_2008","ConsecutiveSandSaves_STREAK_2008","ConsecutiveSandSaves_CURRENTSTREAK_2008","ConsecutiveSandSaves_ROUND_2008","ConsecutiveSandSaves_HOLE_2008","ConsecutiveSandSaves_YEARTOURN_2008","stat_name","year"
1,1,"Briny Baird",30,14,6,2,8,2008160,"ConsecutiveSandSaves",2008
2,2,"Phil Mickelson",21,13,5,3,1,2008210,"ConsecutiveSandSaves",2008
2,2,"Joe Ogilvie",29,13,3,3,8,2008220,"ConsecutiveSandSaves",2008
4,4,"Brad Elder",23,12,NA,1,17,2008310,"ConsecutiveSandSaves",2008
4,4,"Bo Van Pelt",32,12,5,2,2,2008290,"ConsecutiveSandSaves",2008
6,6,"Rich Beem",29,11,1,1,6,2008190,"ConsecutiveSandSaves",2008
6,6,"Sergio Garcia",19,11,NA,1,2,2008430,"ConsecutiveSandSaves",2008
6,6,"Freddie Jacobson",24,11,5,3,17,2008350,"ConsecutiveSandSaves",2008
6,6,"Rod Pampling",28,11,NA,1,14,2008070,"ConsecutiveSandSaves",2008
10,10,"Guy Boros",6,10,1,2,13,2008060,"ConsecutiveSandSaves",2008
10,10,"Daniel Chopra",27,10,NA,2,16,2008260,"ConsecutiveSandSaves",2008
10,10,"Chris DiMarco",29,10,1,3,13,2008240,"ConsecutiveSandSaves",2008
10,10,"Cody Freeman",26,10,3,2,7,2008100,"ConsecutiveSandSaves",2008
10,10,"Ryuji Imada",25,10,6,3,16,2008430,"ConsecutiveSandSaves",2008
10,10,"Neal Lancaster",9,10,10,4,4,2008340,"ConsecutiveSandSaves",2008
10,10,"Jeff Maggert",28,10,NA,2,8,2008020,"ConsecutiveSandSaves",2008
10,10,"Corey Pavin",20,10,NA,4,16,2008190,"ConsecutiveSandSaves",2008
10,10,"Pat Perez",27,10,NA,1,8,2008390,"ConsecutiveSandSaves",2008
10,10,"Nicholas Thompson",36,10,1,2,17,2008330,"ConsecutiveSandSaves",2008
20,20,"Stuart Appleby",23,9,1,1,9,2008380,"ConsecutiveSandSaves",2008
20,20,"Ben Curtis",22,9,NA,2,12,2008360,"ConsecutiveSandSaves",2008
20,20,"Jim Furyk",26,9,2,1,17,2008330,"ConsecutiveSandSaves",2008
20,20,"JP Hayes",26,9,2,4,4,2008280,"ConsecutiveSandSaves",2008
20,20,"Charles Howell III",31,9,NA,4,5,2008180,"ConsecutiveSandSaves",2008
20,20,"Matt Jones",31,9,NA,1,10,2008100,"ConsecutiveSandSaves",2008
20,20,"Tom Lehman",17,9,NA,2,13,2008240,"ConsecutiveSandSaves",2008
20,20,"Steve Marino",32,9,NA,1,16,2008480,"ConsecutiveSandSaves",2008
20,20,"Parker McLachlin",27,9,NA,2,16,2008330,"ConsecutiveSandSaves",2008
20,20,"Kevin Na",29,9,NA,4,2,2008050,"ConsecutiveSandSaves",2008
20,20,"Brenden Pappas",24,9,NA,3,5,2008270,"ConsecutiveSandSaves",2008
20,20,"Ted Purdy",25,9,NA,2,6,2008220,"ConsecutiveSandSaves",2008
20,20,"Mike Weir",26,9,3,3,10,2008050,"ConsecutiveSandSaves",2008
20,20,"Mark Wilson",29,9,NA,1,3,2008210,"ConsecutiveSandSaves",2008
34,34,"Jason Allred",23,8,1,2,1,2008020,"ConsecutiveSandSaves",2008
34,34,"Craig Barlow",15,8,NA,1,15,2008060,"ConsecutiveSandSaves",2008
34,34,"Shane Bertsch",29,8,2,3,3,2008100,"ConsecutiveSandSaves",2008
34,34,"Mark Brooks",17,8,NA,1,17,2008360,"ConsecutiveSandSaves",2008
34,34,"Stewart Cink",23,8,1,1,1,2008040,"ConsecutiveSandSaves",2008
34,34,"Gavin Coles",16,8,8,1,16,2008480,"ConsecutiveSandSaves",2008
34,34,"Ben Crane",25,8,1,4,6,2008180,"ConsecutiveSandSaves",2008
34,34,"John Daly",17,8,1,1,7,2008360,"ConsecutiveSandSaves",2008
34,34,"Glen Day",19,8,NA,1,17,2008100,"ConsecutiveSandSaves",2008
34,34,"Ken Duke",33,8,2,3,12,2008250,"ConsecutiveSandSaves",2008
34,34,"Bob Estes",28,8,NA,2,15,2008370,"ConsecutiveSandSaves",2008
34,34,"Alastair Forsyth",2,8,8,3,9,2008360,"ConsecutiveSandSaves",2008
34,34,"Fred Funk",14,8,NA,4,14,2008050,"ConsecutiveSandSaves",2008
34,34,"Brian Gay",31,8,2,3,18,2008220,"ConsecutiveSandSaves",2008
